GEO_ID,B09002_001E,B09002_001M,B09002_002E,B09002_002M,B09002_003E,B09002_003M,B09002_004E,B09002_004M,B09002_005E,B09002_005M,B09002_006E,B09002_006M,B09002_007E,B09002_007M,B09002_008E,B09002_008M,B09002_009E,B09002_009M,B09002_010E,B09002_010M,B09002_011E,B09002_011M,B09002_012E,B09002_012M,B09002_013E,B09002_013M,B09002_014E,B09002_014M,B09002_015E,B09002_015M,B09002_016E,B09002_016M,B09002_017E,B09002_017M,B09002_018E,B09002_018M,B09002_019E,B09002_019M,B09002_020E,B09002_020M,NAME,B09002_001EA,B09002_001MA,B09002_002MA,B09002_002EA,B09002_003MA,B09002_003EA,B09002_004EA,B09002_004MA,B09002_005EA,B09002_005MA,B09002_006EA,B09002_006MA,B09002_007EA,B09002_007MA,B09002_008MA,B09002_008EA,B09002_009MA,B09002_009EA,B09002_010EA,B09002_010MA,B09002_011EA,B09002_011MA,B09002_012EA,B09002_012MA,B09002_013MA,B09002_013EA,B09002_014MA,B09002_014EA,B09002_015EA,B09002_015MA,B09002_016EA,B09002_016MA,B09002_017EA,B09002_017MA,B09002_018MA,B09002_018EA,B09002_019MA,B09002_019EA,B09002_020MA,B09002_020EA,state
0400000US01,951458,9794,635721,11721,93285,4030,70785,3674,34358,2433,216049,7015,221244,6690,315737,10942,51204,5248,6828,1642,5891,1471,2394,749,15176,2446,20915,3339,264533,10326,36318,3531,29639,3018,14634,1750,90267,5598,93675,5439,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,161108,2208,116713,4385,17767,1608,13010,1165,6237,1099,39541,2246,40158,2795,44395,3767,11105,1917,2014,679,1006,419,651,292,2963,701,4471,1147,33290,3843,5226,1266,3160,845,1578,687,11659,1761,11667,1845,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1424307,10565,1006159,15399,177167,6122,120606,4567,60440,4201,332124,6996,315822,7476,418148,14328,109079,9568,20711,2927,12832,2314,6333,1218,35495,4966,33708,3640,309069,12217,44655,4638,32503,3442,14594,2079,103434,6312,113883,5949,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,592800,7053,404857,9007,63369,2872,46333,2643,27863,2392,135617,5204,131675,4933,187943,8396,39047,4211,6142,1390,3925,1183,1996,773,13464,1859,13520,2152,148896,7557,23809,2899,17898,2116,8852,1694,47983,3679,50354,4177,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8323391,25396,6061578,35579,1016985,16200,696504,9552,321029,9678,2004764,18214,2022296,19914,2261813,31552,577859,19897,107706,7670,65610,4882,31189,3332,180540,7852,192814,9112,1683954,30888,208268,8701,163800,8613,81185,4694,566895,15291,663806,16272,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1061477,6518,788404,12083,133600,4833,97599,4530,45599,3347,263082,6423,248524,6028,273073,12760,63823,5995,10499,2030,6557,1363,4145,1350,19653,2513,22969,2726,209250,10880,30002,3274,24621,2724,11187,2022,68941,5473,74499,4979,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,753150,5037,558482,8727,83604,3375,60782,2715,32477,2610,189527,5576,192092,5495,194668,7614,35346,4139,5790,1240,2914,869,2095,859,10728,1822,13819,2077,159322,7114,18377,2038,13957,1866,8142,1655,52079,3864,66767,3984,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,177084,3425,122838,5109,20779,1746,13157,1700,6552,1148,41333,2764,41017,2769,54246,4866,10992,2512,2924,1256,1344,727,434,285,2851,1135,3439,962,43254,4196,5094,1196,4636,1335,2748,799,14788,2479,15988,2322,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,88641,3149,38557,3430,10153,1588,5763,1473,2075,885,11237,1773,9329,1789,50084,3714,6097,2329,443,374,179,231,422,521,1976,1218,3077,1180,43987,3940,5422,1633,3856,1120,2621,939,15270,2274,16818,2226,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3512820,15693,2401377,26371,391785,9184,277840,6969,129729,6468,796327,15273,805696,13893,1111443,25309,216595,9666,41956,3963,25488,3260,10657,1715,62524,5047,75970,5076,894848,23532,128617,7028,90248,6309,45425,3840,289019,11403,341539,12326,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
