GEO_ID,B07004G_001E,B07004G_001M,B07004G_002E,B07004G_002M,B07004G_003E,B07004G_003M,B07004G_004E,B07004G_004M,B07004G_005E,B07004G_005M,B07004G_006E,B07004G_006M,NAME,B07004G_001MA,B07004G_001EA,B07004G_002EA,B07004G_002MA,B07004G_003EA,B07004G_003MA,B07004G_004EA,B07004G_004MA,B07004G_005MA,B07004G_005EA,B07004G_006MA,B07004G_006EA,state
0400000US01,45633,3835,36841,3427,4836,1450,2071,1063,1563,612,322,231,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,52493,4694,40292,4483,7926,2102,2401,949,1826,818,48,63,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,144523,10506,108837,8458,22290,3666,3621,1230,8679,2693,1096,629,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,42792,4200,31677,3177,6440,1629,2415,950,2111,1359,149,173,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1169643,25683,952329,24286,143122,9322,50836,4633,19111,2868,4245,1145,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,119211,6869,92966,5922,13165,2446,6688,1960,5813,1701,579,330,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,61839,5664,50280,4891,6849,1644,2138,864,2221,830,351,396,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11224,1951,8674,1625,1879,855,430,289,241,237,0,261,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8494,2177,6506,1828,416,277,0,292,1460,945,112,145,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,304692,13091,238466,9967,36159,5072,13023,2752,13421,2703,3623,1338,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,113140,8523,83567,5391,12825,2932,6448,1701,8674,3082,1626,722,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,269033,11540,227764,10841,32503,5437,1404,562,5448,1607,1914,952,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,30526,2359,23088,2309,4018,1235,1739,706,1046,397,635,554,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,191863,10157,152661,9113,24920,3755,8762,1910,5179,1257,341,200,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,86652,5214,63229,4974,13617,2005,4212,1512,5416,1769,178,235,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,39790,3413,27667,2986,6225,1761,2576,1040,3018,1083,304,321,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
