GEO_ID,B13001_001E,B13001_001M,B13001_002E,B13001_002M,B13001_003E,B13001_003M,B13001_004E,B13001_004M,B13001_005E,B13001_005M,B13001_006E,B13001_006M,B13001_007E,B13001_007M,B13001_008E,B13001_008M,B13001_009E,B13001_009M,NAME,B13001_001MA,B13001_001EA,B13001_002EA,B13001_002MA,B13001_003EA,B13001_003MA,B13001_004MA,B13001_004EA,B13001_005MA,B13001_005EA,B13001_006MA,B13001_006EA,B13001_007EA,B13001_007MA,B13001_008EA,B13001_008MA,B13001_009MA,B13001_009EA,state
0400000US01,1162158,4285,580555,9235,4427,1112,204882,5738,371246,6156,581603,10024,160362,3192,249075,5303,172166,6556,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,179420,1863,91002,3226,270,172,32786,2251,57946,2351,88418,3410,28176,1788,35012,2091,25230,2204,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1504850,3586,738857,9755,6159,1422,292594,6875,440104,6667,765993,9481,201961,2350,335881,7570,228151,6524,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,687522,3095,365652,6135,3504,1095,146948,4176,215200,4303,321870,6099,91212,2736,130908,5025,99750,4080,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9446645,8577,4567419,24158,33429,3106,1617519,17921,2916471,18099,4879226,24926,1299853,5173,2177335,18225,1402038,16919,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1235374,3066,649367,9210,3892,936,238213,6252,407262,6228,586007,10155,152240,2539,260584,6759,173183,6141,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890870,2835,440285,7176,2167,753,120498,4737,317620,5143,450585,7465,120779,1389,189144,4562,140662,5361,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219889,1528,103425,4145,174,164,35259,2251,67992,2891,116464,3949,30932,934,49627,2330,35905,2655,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,169915,984,43612,3232,736,599,16651,1984,26225,1982,126303,3182,19236,1566,66935,2359,40132,1928,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4337964,7863,2131264,17668,14811,2228,717315,10365,1399138,12852,2206700,18370,554659,4370,939085,12298,712956,13455,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2485441,6518,1185219,15236,7885,1583,427457,9826,749877,10247,1300222,15478,332892,5425,546015,10560,421315,10763,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,313915,1832,156409,4118,630,300,53479,3118,102300,2930,157506,4035,37835,1355,72873,3364,46798,2992,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,362241,2245,205277,4994,1679,634,86202,3355,117396,3251,156964,4907,53569,1794,61359,3584,42036,3215,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3297509,4834,1593135,12758,5888,1232,537994,8206,1049253,10667,1704374,13153,446931,2781,772375,7907,485068,11181,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1588677,3904,799048,8626,4265,1101,284618,6370,510165,7001,789629,9058,217976,3101,341649,6431,230004,6835,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,727204,2626,384481,5829,2044,594,135822,4139,246615,4067,342723,5705,106470,2301,144515,3996,91738,3809,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,687724,2758,365211,5537,3047,714,133412,3407,228752,4442,322513,5774,95665,2408,135894,3857,90954,4298,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1065238,3959,550957,9372,4032,934,207409,5530,339516,5944,514281,9618,138183,2680,211444,5531,164654,5715,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1096620,4675,502064,8938,3872,1105,179336,5165,318856,6068,594556,8264,163290,4239,253693,5282,177573,5497,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,328930,1759,163373,3552,306,181,47565,2357,115502,2940,165557,3734,44918,1188,68528,2457,52111,2874,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
