GEO_ID,B12002A_001E,B12002A_001M,B12002A_002E,B12002A_002M,B12002A_003E,B12002A_003M,B12002A_004E,B12002A_004M,B12002A_005E,B12002A_005M,B12002A_006E,B12002A_006M,B12002A_007E,B12002A_007M,B12002A_008E,B12002A_008M,B12002A_009E,B12002A_009M,B12002A_010E,B12002A_010M,B12002A_011E,B12002A_011M,B12002A_012E,B12002A_012M,B12002A_013E,B12002A_013M,NAME,B12002A_001MA,B12002A_001EA,B12002A_002EA,B12002A_002MA,B12002A_003EA,B12002A_003MA,B12002A_004EA,B12002A_004MA,B12002A_005MA,B12002A_005EA,B12002A_006MA,B12002A_006EA,B12002A_007MA,B12002A_007EA,B12002A_008EA,B12002A_008MA,B12002A_009EA,B12002A_009MA,B12002A_010MA,B12002A_010EA,B12002A_011MA,B12002A_011EA,B12002A_012MA,B12002A_012EA,B12002A_013EA,B12002A_013MA,state
0400000US01,2651513,3473,1286180,2552,316670,6655,769271,9410,19122,2090,34459,2624,146658,6259,1365333,2426,242776,5405,757556,9843,30047,2495,162587,4342,172367,5739,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,372696,2062,195223,1374,64502,2775,104192,3450,2552,725,2917,638,21060,2177,177473,1276,43705,2419,98578,3408,2244,670,9531,1235,23415,2635,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3790723,13969,1880388,8625,588377,10773,1000054,11676,28393,2928,53631,3883,209933,6893,1910335,7925,442840,8492,975881,12001,38582,3595,188801,6164,264231,7792,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1799931,4224,876414,2917,213255,5973,525264,7282,13667,1665,23225,2102,101003,5120,923517,2532,160182,4488,509575,8552,19085,2134,113632,4497,121043,4926,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17576634,41689,8749830,23007,3104625,27001,4478614,25467,151990,6305,220124,6301,794477,13889,8826804,23558,2401770,20294,4207043,27597,229212,9549,860708,14508,1128071,15319,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3182325,10549,1583579,6639,493666,9683,874614,11974,17959,2224,33824,2648,163516,7028,1598746,5428,386907,7282,843158,11298,32634,3029,125795,3926,210252,7432,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2313016,7515,1110013,4750,346400,5761,624497,6419,10791,1658,34045,2355,94280,5113,1203003,4117,302207,5573,623884,8203,17272,2539,128054,4104,131586,5275,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,508981,2686,244956,1671,73781,2670,135420,3589,3310,847,7893,1156,24552,2057,264025,1366,65560,3045,131262,4044,6983,1434,28452,1706,31768,2312,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,182159,2532,89796,1525,52514,2351,30280,2110,1211,572,852,424,4939,878,92363,1433,48269,2223,31037,2158,1216,566,4316,848,7525,1219,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11553950,19596,5617872,12691,1550492,16391,3131224,17699,98137,6691,194320,6651,643699,12644,5936078,11288,1185636,13299,3058862,19076,128600,6638,760787,11105,802193,14437,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4690608,9363,2311648,6599,661738,10425,1322086,13454,32108,3374,47751,3290,247965,9107,2378960,4508,504664,9069,1295566,14625,41743,3828,234043,6490,302944,8534,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,290555,2080,153987,1642,50343,2626,83351,3023,1679,619,3080,893,15534,1943,136568,1360,34754,2213,70949,2691,2175,816,10231,1256,18459,1859,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1064116,3498,531515,2294,140815,4569,311659,6612,7588,1703,11847,1596,59606,3974,532601,1883,108808,3238,301961,5861,6997,1296,45997,2439,68838,3898,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7403046,15539,3611265,9989,1156167,11740,2003859,15163,38830,3308,98960,4041,313449,8631,3791781,7620,957993,10300,1971156,15427,51594,3895,413776,8154,397262,9346,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4371650,6898,2129732,4574,615524,7852,1190540,10486,25204,2654,59520,3301,238944,7063,2241918,3548,498303,6403,1183824,9720,31481,3241,235382,5104,292928,7063,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2255889,3037,1098223,2424,320209,5614,635011,7446,10049,1430,28726,1830,104228,4220,1157666,1710,261132,5026,629599,7984,15298,1798,128770,3701,122867,4517,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1897858,5163,928709,3370,262744,5936,542703,6824,9177,1323,23862,2041,90223,3876,969149,3041,206482,4487,529469,6143,12203,1756,102481,2780,118514,4484,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3052901,3392,1478074,2748,406090,7407,828255,10693,23098,2627,44750,2946,175881,6493,1574827,1951,330255,6232,816088,11452,35129,3266,179856,5247,213499,7133,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2251551,3801,1095473,2820,310301,5847,620990,8961,16241,2440,31990,2580,115951,4448,1156078,2013,250431,6032,608940,10449,21470,2566,142418,4595,132819,5843,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1056196,2416,510821,1548,148526,4302,287200,5295,4643,1068,13934,1345,56518,3166,545375,1364,128707,3238,276133,5626,7036,1137,57499,2514,76000,3577,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2827816,7843,1369403,4707,413550,6731,774713,8174,30127,2947,36924,2235,114089,4968,1458413,4368,354500,6356,769533,8080,29887,2582,153718,4354,150775,4991,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4413736,10190,2105165,6180,754264,11360,1093452,11614,31082,2864,60949,3315,165418,6338,2308571,5779,673199,8690,1100916,12578,43566,3557,251643,6469,239247,7702,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
