GEO_ID,B11002F_001E,B11002F_001M,B11002F_002E,B11002F_002M,B11002F_003E,B11002F_003M,B11002F_004E,B11002F_004M,B11002F_005E,B11002F_005M,B11002F_006E,B11002F_006M,B11002F_007E,B11002F_007M,B11002F_008E,B11002F_008M,B11002F_009E,B11002F_009M,B11002F_010E,B11002F_010M,B11002F_011E,B11002F_011M,B11002F_012E,B11002F_012M,NAME,B11002F_001EA,B11002F_001MA,B11002F_002MA,B11002F_002EA,B11002F_003EA,B11002F_003MA,B11002F_004MA,B11002F_004EA,B11002F_005EA,B11002F_005MA,B11002F_006EA,B11002F_006MA,B11002F_007MA,B11002F_007EA,B11002F_008EA,B11002F_008MA,B11002F_009MA,B11002F_009EA,B11002F_010MA,B11002F_010EA,B11002F_011EA,B11002F_011MA,B11002F_012EA,B11002F_012MA,state
0400000US01,32544,4924,28191,4712,16464,3421,16310,3387,154,150,8591,2609,6469,1999,2122,1052,3136,1584,2922,1437,214,199,4353,1340,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11513,2805,9080,2520,6711,2260,6590,2225,121,195,362,330,349,323,13,24,2007,1621,1901,1543,106,171,2433,1618,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,617527,20601,564524,20266,378743,20956,374255,21352,4488,1975,54264,7085,45386,5979,8878,2096,131517,11889,122119,11352,9398,1811,53003,6260,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64509,6012,58751,5216,34366,6302,34069,6263,297,286,15283,4753,11936,3636,3347,1396,9102,2378,8235,2151,867,663,5758,2781,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6265329,60511,5873313,64262,3902502,58164,3830279,57579,72223,7037,713645,31122,606081,25612,107564,10933,1257166,46035,1159235,41991,97931,7966,392016,15932,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,328598,14784,298820,14557,202495,12594,200336,12477,2159,906,33228,6573,28600,5472,4628,1774,63097,10303,57474,8808,5623,2211,29778,3781,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,171846,9990,152270,9839,74766,7829,73197,7642,1569,882,20179,4308,17795,3916,2384,899,57325,6797,52293,5918,5032,1754,19576,3166,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20520,3952,18664,3943,12156,3368,11728,3090,428,557,3862,2207,3297,2102,565,390,2646,1388,2358,1240,288,269,1856,1038,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,26500,3768,20719,3896,13858,4068,13246,3861,612,625,3093,2259,2701,2015,392,427,3768,1885,3581,1755,187,238,5781,2270,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,736189,25729,645069,25344,416995,21455,410544,21107,6451,2673,81781,10989,64251,8503,17530,4422,146293,12989,133980,12093,12313,2710,91120,8716,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
