GEO_ID,B08505F_001E,B08505F_001M,B08505F_002E,B08505F_002M,B08505F_003E,B08505F_003M,B08505F_004E,B08505F_004M,B08505F_005E,B08505F_005M,B08505F_006E,B08505F_006M,B08505F_007E,B08505F_007M,NAME,B08505F_001MA,B08505F_001EA,B08505F_002EA,B08505F_002MA,B08505F_003EA,B08505F_003MA,B08505F_004EA,B08505F_004MA,B08505F_005MA,B08505F_005EA,B08505F_006MA,B08505F_006EA,B08505F_007MA,B08505F_007EA,state
0400000US01,16183,2290,9892,1656,5360,1456,48,85,359,312,403,328,121,114,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6241,1539,3242,782,1487,1058,0,265,1018,498,0,265,494,548,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,271614,10209,183302,7745,63257,6607,7697,1728,4632,1764,5880,1739,6846,1760,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,31805,3433,19744,2481,10009,2366,5,8,578,426,929,831,540,400,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2671475,29047,1796520,27413,473693,13674,204811,9508,79003,5965,58848,5691,58600,4258,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,151390,7390,105756,6102,28989,3574,7043,1849,2872,1007,3822,1477,2908,983,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,85705,6560,52577,4156,18048,3549,5820,1549,5165,1600,3325,1222,770,401,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,32608,3615,13123,2345,5636,1514,11781,2214,1192,775,772,497,104,126,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,376629,13553,251896,11044,87103,6435,8490,1716,9199,1852,12683,3519,7258,1672,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,170285,8388,94900,6781,50056,5672,9034,2668,3483,1430,8352,2297,4460,1230,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,8869,1719,5512,1261,1828,906,36,61,856,375,488,315,149,116,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,17167,2412,13070,1805,3041,1214,0,265,551,373,231,222,274,219,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
