GEO_ID,B01001D_001E,B01001D_001M,B01001D_002E,B01001D_002M,B01001D_003E,B01001D_003M,B01001D_004E,B01001D_004M,B01001D_005E,B01001D_005M,B01001D_006E,B01001D_006M,B01001D_007E,B01001D_007M,B01001D_008E,B01001D_008M,B01001D_009E,B01001D_009M,B01001D_010E,B01001D_010M,B01001D_011E,B01001D_011M,B01001D_012E,B01001D_012M,B01001D_013E,B01001D_013M,B01001D_014E,B01001D_014M,B01001D_015E,B01001D_015M,B01001D_016E,B01001D_016M,B01001D_017E,B01001D_017M,B01001D_018E,B01001D_018M,B01001D_019E,B01001D_019M,B01001D_020E,B01001D_020M,B01001D_021E,B01001D_021M,B01001D_022E,B01001D_022M,B01001D_023E,B01001D_023M,B01001D_024E,B01001D_024M,B01001D_025E,B01001D_025M,B01001D_026E,B01001D_026M,B01001D_027E,B01001D_027M,B01001D_028E,B01001D_028M,B01001D_029E,B01001D_029M,B01001D_030E,B01001D_030M,B01001D_031E,B01001D_031M,NAME,B01001D_001EA,B01001D_001MA,B01001D_002EA,B01001D_002MA,B01001D_003MA,B01001D_003EA,B01001D_004EA,B01001D_004MA,B01001D_005MA,B01001D_005EA,B01001D_006EA,B01001D_006MA,B01001D_007EA,B01001D_007MA,B01001D_008MA,B01001D_008EA,B01001D_009EA,B01001D_009MA,B01001D_010MA,B01001D_010EA,B01001D_011MA,B01001D_011EA,B01001D_012EA,B01001D_012MA,B01001D_013EA,B01001D_013MA,B01001D_014MA,B01001D_014EA,B01001D_015MA,B01001D_015EA,B01001D_016MA,B01001D_016EA,B01001D_017EA,B01001D_017MA,B01001D_018EA,B01001D_018MA,B01001D_019MA,B01001D_019EA,B01001D_020MA,B01001D_020EA,B01001D_021MA,B01001D_021EA,B01001D_022EA,B01001D_022MA,B01001D_023EA,B01001D_023MA,B01001D_024EA,B01001D_024MA,B01001D_025MA,B01001D_025EA,B01001D_026MA,B01001D_026EA,B01001D_027MA,B01001D_027EA,B01001D_028EA,B01001D_028MA,B01001D_029EA,B01001D_029MA,B01001D_030EA,B01001D_030MA,B01001D_031EA,B01001D_031MA,state
0400000US01,45882,3284,21090,2359,1478,554,1865,617,1218,509,1135,606,555,388,1510,609,1065,556,3221,1043,3889,620,2720,817,1499,526,571,462,304,232,60,86,24792,1666,1539,544,2172,662,1780,572,634,360,797,317,2351,758,2066,597,2253,671,4980,1091,2865,697,1987,634,834,418,389,275,145,127,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30151,1962,13603,1555,664,425,830,427,1374,491,553,302,526,234,620,288,1060,397,817,363,1782,557,3186,636,1382,463,502,260,103,136,204,265,16548,1015,662,222,1332,356,856,386,548,277,488,366,1412,471,671,381,1271,299,3104,610,2852,582,1538,333,1118,502,621,375,75,111,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,144858,3149,68267,2120,4948,937,4703,923,3707,755,2535,548,2132,695,4540,922,7130,721,7992,412,13446,705,7591,672,5177,524,3067,264,951,324,348,269,76591,2041,5422,899,3612,908,4335,970,2868,607,1767,513,4836,790,7468,600,8376,453,14808,619,9928,825,7069,394,3789,310,1964,327,349,208,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,28168,2264,12269,1449,639,311,1355,597,1359,779,422,306,527,355,613,312,1182,617,1135,592,1659,527,2108,554,766,320,401,270,31,69,72,122,15899,1354,1289,602,1425,688,592,294,570,358,377,324,1514,565,682,384,1905,736,2273,675,2990,821,1172,422,691,370,289,254,130,142,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4483252,16220,2156194,9442,133420,2919,126828,4397,139930,4452,88893,2028,64345,2264,157910,2883,158217,2421,185983,2680,369445,2665,314728,2297,207150,1790,120988,1319,68564,1837,19793,1834,2327058,9582,124308,2854,119036,4364,134417,4579,83382,1923,58451,1800,157349,2515,162538,2280,198475,2504,401249,2746,357763,2120,243012,1491,154362,1342,98546,2821,34170,2518,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,133079,3599,62897,2316,4772,838,4292,848,4241,806,1418,423,1837,625,5824,1281,5379,1071,7571,1038,12285,1252,8008,1131,3716,761,1893,610,1291,536,370,284,70182,2681,4787,1017,5002,986,4416,1002,2121,695,1138,482,5283,967,6235,1044,7345,655,11932,1139,10214,1315,6174,841,3393,683,1653,602,489,351,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,117054,2323,56703,1596,4383,510,4235,634,2981,674,1764,401,1052,328,4996,1006,4415,880,6813,496,11404,833,7436,666,4088,472,2240,515,664,346,232,219,60351,1297,4119,449,5450,744,2982,723,2022,387,1656,602,4104,671,6030,774,6320,485,11383,709,7886,499,4817,509,2533,554,652,395,397,250,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24413,1224,11710,936,862,242,1364,449,450,320,488,327,0,261,702,358,1282,416,1580,139,2202,271,1334,72,601,254,558,243,287,203,0,261,12703,815,1448,558,694,436,840,244,209,172,202,121,709,261,1361,238,1543,227,2381,465,1257,335,1079,124,822,136,158,131,0,261,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19827,454,8738,731,429,487,299,472,386,612,129,220,308,355,483,399,1949,545,1483,292,1267,491,1166,491,410,361,305,258,124,147,0,292,11089,733,443,455,304,346,0,292,270,354,519,298,1384,310,1835,104,1456,173,1872,490,1019,490,844,292,639,346,424,263,80,139,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,393427,4935,187370,3251,12549,975,13512,1384,10597,1250,7781,1222,7880,1290,11979,1603,12830,1278,16710,1528,35603,1845,26710,1607,17467,1101,8862,1116,4004,1007,886,474,206057,3608,12212,1385,12790,1245,10592,1251,6912,1061,4242,816,12800,1228,13649,1013,21492,1781,37969,1850,32793,1417,22947,1157,11053,1356,5118,1035,1488,554,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
