GEO_ID,B23006_001E,B23006_001M,B23006_002E,B23006_002M,B23006_003E,B23006_003M,B23006_004E,B23006_004M,B23006_005E,B23006_005M,B23006_006E,B23006_006M,B23006_007E,B23006_007M,B23006_008E,B23006_008M,B23006_009E,B23006_009M,B23006_010E,B23006_010M,B23006_011E,B23006_011M,B23006_012E,B23006_012M,B23006_013E,B23006_013M,B23006_014E,B23006_014M,B23006_015E,B23006_015M,B23006_016E,B23006_016M,B23006_017E,B23006_017M,B23006_018E,B23006_018M,B23006_019E,B23006_019M,B23006_020E,B23006_020M,B23006_021E,B23006_021M,B23006_022E,B23006_022M,B23006_023E,B23006_023M,B23006_024E,B23006_024M,B23006_025E,B23006_025M,B23006_026E,B23006_026M,B23006_027E,B23006_027M,B23006_028E,B23006_028M,B23006_029E,B23006_029M,NAME,B23006_001MA,B23006_001EA,B23006_002EA,B23006_002MA,B23006_003EA,B23006_003MA,B23006_004MA,B23006_004EA,B23006_005MA,B23006_005EA,B23006_006MA,B23006_006EA,B23006_007EA,B23006_007MA,B23006_008EA,B23006_008MA,B23006_009MA,B23006_009EA,B23006_010MA,B23006_010EA,B23006_011MA,B23006_011EA,B23006_012MA,B23006_012EA,B23006_013EA,B23006_013MA,B23006_014EA,B23006_014MA,B23006_015MA,B23006_015EA,B23006_016MA,B23006_016EA,B23006_017MA,B23006_017EA,B23006_018EA,B23006_018MA,B23006_019EA,B23006_019MA,B23006_020MA,B23006_020EA,B23006_021MA,B23006_021EA,B23006_022MA,B23006_022EA,B23006_023EA,B23006_023MA,B23006_024EA,B23006_024MA,B23006_025EA,B23006_025MA,B23006_026MA,B23006_026EA,B23006_027MA,B23006_027EA,B23006_028EA,B23006_028MA,B23006_029EA,B23006_029MA,state
0400000US01,2412507,4735,383902,10107,199833,6340,0,265,199833,6340,178021,6443,21812,2429,184069,6854,783162,13575,551399,12217,1119,503,550280,12259,518333,11910,31947,3101,231763,7689,695141,11891,530891,9929,2833,676,528058,9771,504436,9751,23622,2349,164250,6078,550302,10981,461117,10436,3560,741,457557,10441,448432,10028,9125,1377,89185,4415,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,371595,2431,31928,3118,20608,2417,0,235,20608,2417,17085,2194,3523,960,11320,2001,106678,4740,81564,3764,1010,556,80554,3823,72108,3508,8446,1615,25114,2740,130836,4835,105280,4300,4491,1070,100789,4290,94415,4283,6374,1134,25556,2687,102153,4663,86685,4184,1846,523,84839,4188,82924,4170,1915,978,15468,1695,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3163624,3823,477741,11462,300116,9447,132,164,299984,9446,277385,9207,22599,2687,177625,7149,814967,17889,592552,15532,1882,650,590670,15520,565100,15611,25570,2850,222415,8023,1036705,16488,801215,16025,4949,1186,796266,16068,768768,15820,27498,3496,235490,7832,834211,16019,691115,16016,3680,980,687435,16090,671715,15568,15720,2062,143096,6186,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1458465,3742,226001,6605,127857,4853,0,257,127857,4853,114778,4884,13079,1924,98144,5278,535354,10051,389018,9062,582,287,388436,9076,365282,8681,23154,2801,146336,5550,407600,8873,315647,7509,2786,968,312861,7455,298749,7408,14112,1934,91953,4419,289510,7622,244883,7193,1701,642,243182,7163,235830,6975,7352,1512,44627,3076,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,19205344,6412,3573815,32818,2314054,25221,540,408,2313514,25199,2110572,22749,202942,8056,1259761,19439,4350029,39489,3185577,34279,14954,2419,3170623,33797,2968585,32609,202038,7563,1164452,18000,5492975,35285,4287918,32164,33088,2765,4254830,32689,4045254,31680,209576,8693,1205057,17449,5788525,32571,4867936,31325,20280,2076,4847656,31421,4692590,30384,155066,6438,920589,14077,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2641615,4503,282687,8981,184832,6985,43,72,184789,6995,168803,6544,15986,2351,97855,5380,616561,12780,479262,11343,1745,580,477517,11376,450955,11056,26562,2613,137299,5293,793102,13088,645313,13352,5280,1100,640033,13358,612946,12669,27087,2650,147789,5217,949265,10449,809243,10017,6020,1097,803223,10109,782442,10302,20781,2150,140022,4457,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1897046,2343,164933,5806,107407,4742,218,161,107189,4695,95761,4517,11428,1966,57526,3423,542167,11530,428452,9973,762,400,427690,9961,403854,9808,23836,2654,113715,5082,496382,8876,411298,8539,2349,653,408949,8504,385029,7933,23920,2356,85084,4749,693564,11859,589930,11415,1533,533,588397,11393,573038,11316,15359,1722,103634,4881,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,451758,1199,52401,4161,31729,3328,0,261,31729,3328,29319,3089,2410,981,20672,2441,150509,5504,113506,4904,382,381,113124,4814,105988,4661,7136,1554,37003,2971,117247,5000,95544,4477,1280,513,94264,4443,90836,4275,3428,709,21703,1990,131601,5370,111974,4813,257,209,111717,4794,109592,4860,2125,631,19627,1996,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,324175,823,42082,3419,23427,2644,215,162,23212,2658,19374,2506,3838,911,18655,2415,64372,3983,46735,3722,161,175,46574,3739,39742,3419,6832,1484,17637,2540,57389,3801,45472,3770,769,410,44703,3723,40678,3508,4025,987,11917,1749,160332,4313,143674,4354,1298,519,142376,4413,137867,4071,4509,1279,16658,2212,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9426321,7485,1227164,23189,769728,19922,46,77,769682,19928,718072,18706,51610,4101,457436,12775,2842571,29882,2113342,28321,5117,1109,2108225,28403,2004288,27657,103937,5566,729229,14135,2840372,25967,2230432,24826,14485,1926,2215947,24730,2127501,23861,88446,4725,609940,13311,2516214,27893,2080698,26641,13927,1731,2066771,26552,2008932,26917,57839,3899,435516,8250,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5061371,9451,761714,14659,453925,11703,216,173,453709,11685,409790,11467,43919,3626,307789,8892,1528527,18967,1132502,14792,6763,1531,1125739,14484,1058714,14309,67025,5363,396025,10807,1345059,16548,1091556,14968,16570,2180,1074986,15259,1019871,15111,55115,4277,253503,8723,1426071,17868,1213361,16542,8641,1557,1204720,16306,1169584,16207,35136,3250,212710,7030,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
