GEO_ID,C19001I_001E,C19001I_001M,C19001I_002E,C19001I_002M,C19001I_003E,C19001I_003M,C19001I_004E,C19001I_004M,C19001I_005E,C19001I_005M,C19001I_006E,C19001I_006M,C19001I_007E,C19001I_007M,C19001I_008E,C19001I_008M,C19001I_009E,C19001I_009M,C19001I_010E,C19001I_010M,C19001I_011E,C19001I_011M,NAME,C19001I_001MA,C19001I_001EA,C19001I_002EA,C19001I_002MA,C19001I_003EA,C19001I_003MA,C19001I_004MA,C19001I_004EA,C19001I_005EA,C19001I_005MA,C19001I_006EA,C19001I_006MA,C19001I_007EA,C19001I_007MA,C19001I_008EA,C19001I_008MA,C19001I_009EA,C19001I_009MA,C19001I_010EA,C19001I_010MA,C19001I_011EA,C19001I_011MA,state
0400000US01,27266,2019,3470,1125,2810,966,3789,996,4842,1121,5159,1145,3332,799,2048,660,800,306,396,252,620,389,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9024,1129,435,412,460,323,1313,607,871,499,1105,531,1808,594,1746,607,708,352,450,350,128,122,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,469617,7026,39535,3668,29437,3386,76062,5004,71724,4334,85683,5138,87662,5026,40348,3012,28612,2802,6153,1355,4401,991,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36920,1849,2749,970,2383,831,9197,1651,6762,1481,7546,1365,5605,1089,1687,649,962,477,0,257,29,50,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3185439,15110,191305,6860,192319,6783,442022,11502,421461,9599,548861,11904,628343,10925,346241,9109,287682,8544,78044,4635,49161,4016,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,274600,5442,27734,2921,21781,2181,41947,3821,42092,4029,48909,3924,46860,3663,23931,2661,15579,1783,3887,953,1880,673,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,119370,3445,16956,2011,8786,1872,18730,2416,13235,2093,19192,2405,18781,2469,10734,1802,7294,1228,2631,896,3031,925,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,13699,1224,1894,819,432,301,2501,802,1302,533,2260,821,2259,718,1423,690,1243,488,198,237,187,173,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16152,1236,1393,680,851,464,1798,854,2360,877,2530,834,3242,927,939,448,1525,761,861,481,653,328,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1173378,10054,106390,5509,75950,5478,164819,8160,157009,7393,202942,8467,211641,7847,118282,5300,87860,5178,24542,2501,23943,2213,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,167684,5001,10268,1971,10493,1865,27316,2923,27802,2754,33509,2849,29622,3007,13709,1966,10758,1713,2410,937,1797,687,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,24922,1941,1805,728,881,457,2108,775,2434,810,3992,984,6048,1157,3793,875,2348,623,627,374,886,578,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36951,1643,3034,1108,3282,915,6788,1420,7189,1059,6208,1025,5934,1103,2630,830,1303,590,331,261,252,197,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,477969,7335,36212,3298,23368,2795,62893,3950,57487,4068,92082,4819,100998,5605,53597,4136,38478,3269,9070,1821,3784,932,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,82422,2949,8033,1347,4575,1069,14730,1962,13288,1786,13227,1612,15428,2116,7502,1558,4522,1015,762,427,355,279,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,30654,1678,2260,715,1844,795,4985,944,5449,1126,7474,1395,5070,1002,1639,518,1224,484,509,323,200,229,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,65542,2684,5864,1354,4743,1290,11367,1933,11520,1698,10507,1580,11605,2186,6475,1283,2381,572,632,388,448,327,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,22403,1847,1815,766,1179,460,4522,1068,3461,1117,4202,996,3493,1010,1852,751,1451,585,254,203,174,149,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
