GEO_ID,C25073_001E,C25073_001M,C25073_002E,C25073_002M,C25073_003E,C25073_003M,C25073_004E,C25073_004M,C25073_005E,C25073_005M,C25073_006E,C25073_006M,C25073_007E,C25073_007M,C25073_008E,C25073_008M,C25073_009E,C25073_009M,C25073_010E,C25073_010M,C25073_011E,C25073_011M,C25073_012E,C25073_012M,C25073_013E,C25073_013M,C25073_014E,C25073_014M,C25073_015E,C25073_015M,C25073_016E,C25073_016M,C25073_017E,C25073_017M,C25073_018E,C25073_018M,C25073_019E,C25073_019M,C25073_020E,C25073_020M,C25073_021E,C25073_021M,NAME,C25073_001EA,C25073_001MA,C25073_002EA,C25073_002MA,C25073_003MA,C25073_003EA,C25073_004MA,C25073_004EA,C25073_005MA,C25073_005EA,C25073_006EA,C25073_006MA,C25073_007EA,C25073_007MA,C25073_008MA,C25073_008EA,C25073_009MA,C25073_009EA,C25073_010MA,C25073_010EA,C25073_011MA,C25073_011EA,C25073_012EA,C25073_012MA,C25073_013EA,C25073_013MA,C25073_014EA,C25073_014MA,C25073_015MA,C25073_015EA,C25073_016MA,C25073_016EA,C25073_017EA,C25073_017MA,C25073_018EA,C25073_018MA,C25073_019EA,C25073_019MA,C25073_020MA,C25073_020EA,C25073_021MA,C25073_021EA,state
0400000US01,506786,9952,200794,5975,80890,4265,75208,5111,44696,2742,84333,4255,36322,2834,41028,3199,6983,1320,115769,5088,60884,4284,49912,3309,4973,1135,41174,3107,19431,1875,19493,2286,2250,747,64716,4370,26662,2922,22334,2409,15720,2084,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,81629,2772,25516,1939,11850,1484,7530,1360,6136,800,25887,2247,13010,1855,10840,1541,2037,735,16518,1781,8081,1414,6872,1244,1565,464,9996,1376,4723,1083,4404,909,869,445,3712,937,1750,631,1212,557,750,461,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,701951,12863,243796,7371,111732,6011,104395,5591,27669,2759,91613,4994,43942,3657,43642,3375,4029,1101,174277,6871,90315,4038,78820,5113,5142,1402,134426,6246,63387,4109,67433,4637,3606,987,57839,4372,26493,2954,22737,2391,8609,1709,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,350016,7559,158594,7248,65143,4415,62508,4164,30943,3030,62053,4169,30103,2939,28550,2630,3400,947,66636,4597,33344,3327,31040,3524,2252,770,22212,2370,9347,1733,11400,1744,1465,716,40521,3278,16610,2114,14575,1704,9336,1678,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5049030,24989,1696319,20893,701754,14894,863337,15829,131228,5624,837025,15517,372100,11614,441819,10995,23106,2218,1224395,16105,557402,13029,633263,11603,33730,3335,1175480,16175,503870,11637,627421,12086,44189,3779,115811,5828,44261,3040,52322,4117,19228,2337,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,577567,10807,196951,7368,86182,4352,89682,5182,21087,2717,72793,4928,33352,3324,37186,3469,2255,775,152723,6272,74642,4467,71755,4806,6326,1557,133252,5924,64593,4025,63595,4536,5064,1224,21848,2607,8855,1649,9978,1865,3015,891,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,404061,6979,72123,3696,30816,2704,31001,2639,10306,1377,160127,5977,74037,4664,80962,4294,5128,1190,83204,4867,41440,3708,39814,3343,1950,699,86458,3474,44566,3106,39728,2351,2164,845,2149,920,1047,671,769,629,333,240,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,81916,3849,28066,2400,11087,1826,13852,1663,3127,861,11539,1654,5265,1173,5855,1303,419,332,26123,2438,14046,1894,11310,1777,767,428,9471,1405,5723,1090,3439,764,309,232,6717,1402,3126,966,3185,1050,406,285,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,135870,4564,19476,2178,9606,1374,8011,1503,1859,576,20158,2169,9014,1425,10246,1700,898,610,36375,3040,18004,2195,16853,1932,1518,754,59728,3711,30586,2562,26439,2554,2703,900,133,216,133,216,0,292,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2111941,22368,666846,16215,262530,9709,330267,10989,74049,5120,327015,9580,142257,6171,171272,8154,13486,1834,549119,12603,227229,9091,297610,10506,24280,2724,416695,9422,160565,7707,234436,7880,21694,2333,152266,8213,65997,4849,63786,5438,22483,2761,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
