GEO_ID,B10057_001E,B10057_001M,B10057_002E,B10057_002M,B10057_003E,B10057_003M,B10057_004E,B10057_004M,B10057_005E,B10057_005M,B10057_006E,B10057_006M,B10057_007E,B10057_007M,B10057_008E,B10057_008M,B10057_009E,B10057_009M,B10057_010E,B10057_010M,B10057_011E,B10057_011M,NAME,B10057_001MA,B10057_001EA,B10057_002EA,B10057_002MA,B10057_003EA,B10057_003MA,B10057_004MA,B10057_004EA,B10057_005EA,B10057_005MA,B10057_006MA,B10057_006EA,B10057_007MA,B10057_007EA,B10057_008EA,B10057_008MA,B10057_009EA,B10057_009MA,B10057_010MA,B10057_010EA,B10057_011MA,B10057_011EA,state
0400000US01,112765,6610,72325,5538,43403,3868,32473,3469,10930,1996,28922,3282,40440,3182,21257,2250,13002,1746,8255,1293,19183,2302,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15714,2576,11021,2216,5064,1269,2561,815,2503,802,5957,1753,4693,1149,1331,369,639,296,692,275,3362,1060,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,132142,7426,81432,6338,38389,4880,26724,3788,11665,1941,43043,4490,50710,4022,15573,2301,10110,1970,5463,1287,35137,3523,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66016,4472,43081,4161,28598,3408,20949,2936,7649,1316,14483,2508,22935,2673,11550,1958,8506,1740,3044,814,11385,1703,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,956156,16048,636059,14379,195197,8824,128285,7327,66912,5504,440862,12121,320097,9009,77873,3833,41854,3453,36019,3155,242224,8628,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,80235,5178,54250,4817,27073,3224,18711,2376,8362,1996,27177,3138,25985,2634,8059,1511,5773,1315,2286,710,17926,2237,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,51530,4571,31485,3976,11698,2062,7837,1651,3861,982,19787,2863,20045,2624,5180,1110,3465,1004,1715,729,14865,2255,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16540,2410,9019,2093,3073,1064,1991,825,1082,655,5946,1516,7521,1427,2534,910,1746,720,788,548,4987,1281,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12185,1773,4269,1035,2269,789,1499,644,770,429,2000,716,7916,1326,3830,853,1826,628,2004,619,4086,1109,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,367645,12348,217113,10349,97815,6979,63091,5133,34724,4223,119298,7621,150532,7080,44487,3805,26902,2966,17585,2074,106045,6079,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,204536,9377,117509,7768,63460,4917,46579,4522,16881,2460,54049,5596,87027,4993,31878,2616,20689,2491,11189,1581,55149,4497,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,50597,4406,34570,4014,9379,2040,5307,1422,4072,1151,25191,3318,16027,1713,3351,914,1623,705,1728,630,12676,1652,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
