GEO_ID,B01001B_001E,B01001B_001M,B01001B_002E,B01001B_002M,B01001B_003E,B01001B_003M,B01001B_004E,B01001B_004M,B01001B_005E,B01001B_005M,B01001B_006E,B01001B_006M,B01001B_007E,B01001B_007M,B01001B_008E,B01001B_008M,B01001B_009E,B01001B_009M,B01001B_010E,B01001B_010M,B01001B_011E,B01001B_011M,B01001B_012E,B01001B_012M,B01001B_013E,B01001B_013M,B01001B_014E,B01001B_014M,B01001B_015E,B01001B_015M,B01001B_016E,B01001B_016M,B01001B_017E,B01001B_017M,B01001B_018E,B01001B_018M,B01001B_019E,B01001B_019M,B01001B_020E,B01001B_020M,B01001B_021E,B01001B_021M,B01001B_022E,B01001B_022M,B01001B_023E,B01001B_023M,B01001B_024E,B01001B_024M,B01001B_025E,B01001B_025M,B01001B_026E,B01001B_026M,B01001B_027E,B01001B_027M,B01001B_028E,B01001B_028M,B01001B_029E,B01001B_029M,B01001B_030E,B01001B_030M,B01001B_031E,B01001B_031M,NAME,B01001B_001MA,B01001B_001EA,B01001B_002EA,B01001B_002MA,B01001B_003EA,B01001B_003MA,B01001B_004MA,B01001B_004EA,B01001B_005EA,B01001B_005MA,B01001B_006MA,B01001B_006EA,B01001B_007MA,B01001B_007EA,B01001B_008EA,B01001B_008MA,B01001B_009EA,B01001B_009MA,B01001B_010MA,B01001B_010EA,B01001B_011EA,B01001B_011MA,B01001B_012MA,B01001B_012EA,B01001B_013EA,B01001B_013MA,B01001B_014EA,B01001B_014MA,B01001B_015MA,B01001B_015EA,B01001B_016EA,B01001B_016MA,B01001B_017MA,B01001B_017EA,B01001B_018MA,B01001B_018EA,B01001B_019EA,B01001B_019MA,B01001B_020EA,B01001B_020MA,B01001B_021MA,B01001B_021EA,B01001B_022MA,B01001B_022EA,B01001B_023MA,B01001B_023EA,B01001B_024EA,B01001B_024MA,B01001B_025EA,B01001B_025MA,B01001B_026MA,B01001B_026EA,B01001B_027MA,B01001B_027EA,B01001B_028MA,B01001B_028EA,B01001B_029EA,B01001B_029MA,B01001B_030EA,B01001B_030MA,B01001B_031EA,B01001B_031MA,state
0400000US17,1898346,7410,886980,5288,74599,1785,77652,4166,88234,3947,53553,1086,37246,2612,68685,2472,62316,2080,55982,2009,122246,2306,111169,1737,70253,1184,39743,1009,20481,1053,4821,1065,1011366,4193,75703,1554,74828,3827,85114,3657,51157,1151,31087,1638,74146,2018,73809,1427,65949,1571,143471,1581,138710,1677,93195,928,57342,996,33798,1738,13057,1280,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,551864,5164,262826,3343,24833,1446,23008,2075,26025,2297,14835,1143,9627,1194,20235,1540,20125,1568,19286,1243,35567,1739,32494,1548,19806,730,10331,779,5289,611,1365,496,289038,3617,24058,1632,23679,2186,23806,2129,14622,1110,9102,1110,20483,1674,21020,1233,20515,1078,40724,1613,38664,1456,24489,817,14447,733,10107,730,3322,581,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,67297,3046,33947,2219,2755,865,3926,1006,3634,687,1642,544,1599,525,2493,769,2029,654,3579,900,5168,884,3376,720,2296,586,734,372,716,306,0,221,33350,2020,3087,804,3586,1056,2943,976,1853,680,907,456,3438,1136,2701,856,2442,775,4152,1043,3354,866,2046,696,1856,652,713,298,272,243,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,153560,2984,77261,2189,5851,993,6745,1238,5878,1092,4934,923,2541,1013,8735,1472,4898,1155,4233,539,11548,995,11772,1003,5880,498,2321,529,1439,628,486,303,76299,1762,5445,988,5032,850,6412,870,4557,675,3548,1112,5420,1114,6153,832,4235,461,11598,912,10274,656,6894,484,3635,395,2095,548,1001,347,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,310146,4420,150272,3111,12873,1240,12381,1468,12181,1625,8648,1114,5708,883,12611,1279,10758,1084,9967,1184,22712,1417,20828,1524,11883,989,5968,667,3110,607,644,328,159874,3032,12221,1747,10880,1443,11639,1552,8693,895,5614,1026,14131,1216,10405,1018,10358,1194,22741,1597,23261,1427,13847,879,8723,916,4534,716,2827,659,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1356981,4406,635392,3761,57159,2554,56229,3642,59945,3428,34968,2152,28932,2366,55961,2505,43564,2463,41091,2876,79686,2623,80723,2358,53760,1394,27068,1401,13286,1205,3020,911,721589,4499,59802,2327,53732,4022,62658,3780,36410,2264,29663,2531,56210,2485,51568,2274,41631,1404,98402,1867,96139,1642,63473,1175,40121,1337,22397,1533,9383,1243,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13669,2692,7078,1532,932,404,983,486,967,696,431,245,266,204,439,334,567,250,561,336,544,360,551,240,738,504,99,147,0,223,0,223,6591,1486,747,276,604,380,735,291,720,376,669,446,891,446,74,91,393,302,1284,764,420,357,7,11,0,223,47,81,0,223,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1624858,6558,758582,4494,61676,1882,60452,3066,63403,3247,40580,1255,26725,1130,57436,1938,53874,2021,46934,1946,123685,2234,105663,1783,66061,803,33734,830,14259,1073,4100,989,866276,4275,57745,1623,56658,3086,63073,3424,42632,1149,27523,1501,60960,1965,59960,1473,59091,1186,143012,1522,130278,1429,84882,983,45840,1072,24070,1549,10552,1482,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,393207,6423,193050,3783,17977,1786,14667,1690,18194,1912,10719,962,8184,1174,16856,1427,13791,1329,13242,1100,30916,1311,24102,1107,12887,771,7139,753,3349,749,1027,386,200157,4027,15055,1547,13385,1426,15588,1671,10559,1079,7713,1019,18010,1477,13972,1238,13429,898,32993,1630,26360,1190,16517,769,9239,693,5839,1105,1498,444,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1426809,7412,671215,4837,53013,1609,56606,2775,65586,2956,42120,1012,23449,1166,48910,1765,47788,1466,45808,1315,95800,1978,87434,1315,57007,828,26933,762,16694,1013,4067,821,755594,4156,52392,1197,56218,2730,64837,2844,42723,933,22789,1184,51420,1797,54443,961,52830,1097,107717,1347,104514,1474,70908,788,39391,908,24169,1411,11243,1205,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
