GEO_ID,C18007_001E,C18007_001M,C18007_002E,C18007_002M,C18007_003E,C18007_003M,C18007_004E,C18007_004M,C18007_005E,C18007_005M,C18007_006E,C18007_006M,C18007_007E,C18007_007M,C18007_008E,C18007_008M,C18007_009E,C18007_009M,C18007_010E,C18007_010M,C18007_011E,C18007_011M,C18007_012E,C18007_012M,C18007_013E,C18007_013M,C18007_014E,C18007_014M,C18007_015E,C18007_015M,NAME,C18007_001MA,C18007_001EA,C18007_002MA,C18007_002EA,C18007_003EA,C18007_003MA,C18007_004MA,C18007_004EA,C18007_005EA,C18007_005MA,C18007_006EA,C18007_006MA,C18007_007EA,C18007_007MA,C18007_008MA,C18007_008EA,C18007_009MA,C18007_009EA,C18007_010EA,C18007_010MA,C18007_011EA,C18007_011MA,C18007_012EA,C18007_012MA,C18007_013MA,C18007_013EA,C18007_014MA,C18007_014EA,C18007_015EA,C18007_015MA,state
0400000US01,3535997,4203,1670445,3776,1427442,3763,59608,3752,1367834,5379,243003,1681,37648,2294,205355,2642,1865552,3929,1524546,3722,77489,3860,1447057,4969,341006,1418,84656,3207,256350,3113,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,495519,1967,248262,2027,228486,2076,4832,1023,223654,2384,19776,618,2203,593,17573,796,247257,1747,223958,2030,7561,1352,216397,2465,23299,849,4671,817,18628,981,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4636478,5242,2284677,4662,1936954,4703,48520,3658,1888434,6384,347723,1353,41387,2911,306336,3169,2351801,3262,1923280,3362,63225,4011,1860055,5125,428521,1140,81081,4110,347440,4421,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2146758,3947,1029759,4055,872342,4383,39524,3241,832818,5644,157417,1244,24044,1828,133373,2157,1116999,2963,904820,2917,44245,3293,860575,4505,212179,1719,51099,2775,161080,3055,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27445311,10839,13486215,8748,11846411,8943,293407,9431,11553004,12221,1639804,3067,232940,7565,1406864,8274,13959096,8591,11790801,8460,360142,10528,11430659,13430,2168295,3352,511968,9690,1656327,10031,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3637011,4295,1805116,3314,1602294,3307,35979,3401,1566315,4879,202822,1366,21725,1694,181097,2203,1831895,3313,1573638,3457,39440,3369,1534198,4378,258257,1520,48209,3146,210048,3127,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2726483,3385,1303048,2940,1117245,2770,23578,1959,1093667,3447,185803,1263,22382,1987,163421,2158,1423435,2249,1165610,2280,30516,2962,1135094,3510,257825,1301,50877,2986,206948,2957,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,658296,1628,313512,1437,265929,1329,7923,1552,258006,2110,47583,560,5815,848,41768,1015,344784,1409,282343,1325,9299,1343,273044,1820,62441,658,11331,1590,51110,1674,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,464365,4471,209525,3619,183679,3548,5255,1075,178424,3787,25846,519,2767,663,23079,825,254840,1562,212432,1486,4876,928,207556,1843,42408,500,8703,1470,33705,1579,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14232118,8522,6842162,8939,5550811,9010,160715,6462,5390096,11059,1291351,2908,146436,5761,1144915,6050,7389956,7891,5729548,7991,200729,7877,5528819,9669,1660408,2812,319221,7652,1341187,7870,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6981282,6249,3340519,6352,2979932,6442,88494,5676,2891438,7629,360587,2347,48057,3445,312530,4042,3640763,5734,3129904,5865,103474,5776,3026430,7988,510859,2546,125163,4273,385696,4918,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,976947,3510,468887,2548,393209,2532,8675,1410,384534,2506,75678,624,9615,1307,66063,1539,508060,1970,408766,1987,10376,1777,398390,2803,99294,730,20759,2021,78535,2094,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1090826,2435,542330,2691,468251,2720,11261,1347,456990,3052,74079,795,8496,1030,65583,1291,548496,1928,462260,1999,15104,1876,447156,2418,86236,1264,14510,1476,71726,1864,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9792336,6181,4748940,5030,4142103,5491,111852,4948,4030251,7011,606837,2240,74617,3722,532220,4241,5043396,5105,4199006,4688,120391,4371,4078615,6088,844390,2480,174632,5077,669758,5663,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4822984,4069,2342276,4405,2032154,4175,56123,3849,1976031,5778,310122,1303,37994,2579,272128,2927,2480708,4666,2055499,4368,80390,4334,1975109,6270,425209,1948,84978,3534,340231,3778,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2303303,2606,1124901,2636,952677,2471,22765,1955,929912,3128,172224,1313,15797,1321,156427,1911,1178402,2404,943808,2377,26337,2253,917471,2874,234594,1470,33315,2344,201279,2482,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2087760,3236,1017964,3231,876175,3091,22264,2485,853911,3967,141789,1545,14941,1693,126848,2012,1069796,2710,880015,2536,25326,2084,854689,3140,189781,1783,33602,2002,156179,2420,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3246033,4285,1556956,4472,1342646,4173,61869,3831,1280777,5308,214310,1550,33867,2495,180443,2756,1689077,4022,1393564,4024,76431,4508,1317133,6439,295513,1983,72806,3246,222707,3777,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
