GEO_ID,B17010A_001E,B17010A_001M,B17010A_002E,B17010A_002M,B17010A_003E,B17010A_003M,B17010A_004E,B17010A_004M,B17010A_005E,B17010A_005M,B17010A_006E,B17010A_006M,B17010A_007E,B17010A_007M,B17010A_008E,B17010A_008M,B17010A_009E,B17010A_009M,B17010A_010E,B17010A_010M,B17010A_011E,B17010A_011M,B17010A_012E,B17010A_012M,B17010A_013E,B17010A_013M,B17010A_014E,B17010A_014M,B17010A_015E,B17010A_015M,B17010A_016E,B17010A_016M,B17010A_017E,B17010A_017M,B17010A_018E,B17010A_018M,B17010A_019E,B17010A_019M,B17010A_020E,B17010A_020M,B17010A_021E,B17010A_021M,B17010A_022E,B17010A_022M,B17010A_023E,B17010A_023M,B17010A_024E,B17010A_024M,B17010A_025E,B17010A_025M,B17010A_026E,B17010A_026M,B17010A_027E,B17010A_027M,B17010A_028E,B17010A_028M,B17010A_029E,B17010A_029M,B17010A_030E,B17010A_030M,B17010A_031E,B17010A_031M,B17010A_032E,B17010A_032M,B17010A_033E,B17010A_033M,B17010A_034E,B17010A_034M,B17010A_035E,B17010A_035M,B17010A_036E,B17010A_036M,B17010A_037E,B17010A_037M,B17010A_038E,B17010A_038M,B17010A_039E,B17010A_039M,B17010A_040E,B17010A_040M,B17010A_041E,B17010A_041M,NAME,B17010A_001MA,B17010A_001EA,B17010A_002MA,B17010A_002EA,B17010A_003MA,B17010A_003EA,B17010A_004EA,B17010A_004MA,B17010A_005EA,B17010A_005MA,B17010A_006EA,B17010A_006MA,B17010A_007MA,B17010A_007EA,B17010A_008MA,B17010A_008EA,B17010A_009MA,B17010A_009EA,B17010A_010EA,B17010A_010MA,B17010A_011EA,B17010A_011MA,B17010A_012EA,B17010A_012MA,B17010A_013MA,B17010A_013EA,B17010A_014MA,B17010A_014EA,B17010A_015EA,B17010A_015MA,B17010A_016EA,B17010A_016MA,B17010A_017EA,B17010A_017MA,B17010A_018MA,B17010A_018EA,B17010A_019MA,B17010A_019EA,B17010A_020EA,B17010A_020MA,B17010A_021EA,B17010A_021MA,B17010A_022EA,B17010A_022MA,B17010A_023MA,B17010A_023EA,B17010A_024MA,B17010A_024EA,B17010A_025EA,B17010A_025MA,B17010A_026EA,B17010A_026MA,B17010A_027EA,B17010A_027MA,B17010A_028MA,B17010A_028EA,B17010A_029MA,B17010A_029EA,B17010A_030EA,B17010A_030MA,B17010A_031EA,B17010A_031MA,B17010A_032EA,B17010A_032MA,B17010A_033MA,B17010A_033EA,B17010A_034MA,B17010A_034EA,B17010A_035EA,B17010A_035MA,B17010A_036EA,B17010A_036MA,B17010A_037EA,B17010A_037MA,B17010A_038MA,B17010A_038EA,B17010A_039MA,B17010A_039EA,B17010A_040EA,B17010A_040MA,B17010A_041EA,B17010A_041MA,state
0400000US28,469832,7399,41311,3530,18465,1946,10506,1778,1951,806,2990,833,5565,1378,7959,1361,22846,2818,4532,995,3813,993,753,483,801,569,2259,862,719,415,18314,2708,15616,2582,2993,1142,2869,963,9754,1955,2698,867,428521,7341,357493,6882,147308,4555,25118,2439,27218,2084,94972,4112,210185,5730,71028,4469,24426,2565,12269,2293,2889,1004,1766,746,7614,1646,12157,1701,46602,3468,27839,2835,4030,1068,3598,1007,20211,2358,18763,2035,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1307498,11299,100710,5167,44092,3266,25980,2758,4553,945,9254,1641,12173,1650,18112,1723,56618,3907,8215,1309,6055,1196,1423,658,1900,849,2732,692,2160,742,48403,3770,42544,3379,11858,2236,8618,1347,22068,2549,5859,1298,1206788,11759,1005401,11413,423235,8876,81608,4232,78268,4102,263359,6403,582166,8582,201387,6366,65325,4344,36988,3064,8668,1646,4557,1353,23763,2314,28337,2421,136062,5094,85849,4660,12353,2038,11236,1725,62260,3692,50213,3086,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,221102,4245,14746,1703,7703,1239,4617,899,525,277,1479,527,2613,701,3086,695,7043,1204,1135,550,976,542,118,127,96,115,762,511,159,148,5908,1135,5305,1073,1057,429,756,313,3492,917,603,315,206356,3943,177549,3936,69188,3231,12448,1600,13333,1453,43407,2531,108361,2939,28807,2558,9873,1494,6251,1325,1348,609,561,330,4342,1043,3622,823,18934,2178,11740,1746,1592,717,785,364,9363,1531,7194,1033,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,418387,5497,27343,2265,11961,1571,7602,1202,2440,723,2452,770,2710,604,4359,831,15382,1806,2044,644,1353,514,403,341,170,213,780,365,691,362,13338,1591,12345,1490,3440,1004,3433,968,5472,1024,993,423,391044,5329,333129,4817,144776,3640,29768,2356,30707,1800,84301,2739,188353,3729,57915,3197,19037,2051,10786,1288,2393,660,1009,363,7384,1010,8251,1378,38878,2583,24207,2133,3283,866,2881,847,18043,1815,14671,1559,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,469081,7451,29867,2686,12762,1576,7052,1348,1004,471,2227,886,3821,945,5710,1044,17105,2050,3402,871,2685,796,666,382,443,328,1576,692,717,446,13703,1836,12426,1811,2243,781,3720,1171,6463,1341,1277,556,439214,7107,341329,6168,145722,4652,27490,2574,33350,2546,84882,4001,195607,4558,97885,4617,39300,3098,23638,2672,4495,1373,2850,971,16293,2091,15662,1838,58585,3322,36832,3031,4674,1232,5034,1394,27124,2570,21753,2181,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,323749,5130,15348,1987,5789,962,2948,794,444,322,1044,496,1460,545,2841,647,9559,1509,1760,741,1598,739,532,454,243,235,823,580,162,152,7799,1292,7115,1247,1871,714,1209,582,4035,949,684,358,308401,5520,253794,5989,107177,3668,19708,1978,18249,1956,69220,2765,146617,4952,54607,3655,18637,2078,10673,1437,2022,588,878,529,7773,1300,7964,1517,35970,3282,23499,2758,2820,778,1442,885,19237,2355,12471,1614,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1570498,10287,64582,3912,30583,2874,15160,1809,3125,994,5152,1086,6883,1167,15423,1798,33999,2939,5551,1381,3896,1158,652,405,463,322,2781,1019,1655,756,28448,2710,25544,2611,5100,1103,5326,1089,15118,1770,2904,867,1505916,10659,1228492,10617,563822,9423,108446,4212,98660,4617,356716,7505,664670,6866,277424,7952,84849,4567,37051,2968,8634,1735,4905,1026,23512,2523,47798,3633,192575,6077,98707,4652,10843,1921,8819,1810,79045,4247,93868,4187,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,340920,5895,37330,3463,14897,1883,9353,1585,970,418,3230,942,5153,1384,5544,1214,22433,2763,4023,1131,2630,896,802,425,589,395,1239,633,1393,633,18410,2470,16653,2363,3982,1110,4812,1195,7859,1657,1757,594,303590,5777,247251,5574,99069,4094,17239,2272,19133,2442,62697,3592,148182,4195,56339,3220,19715,2028,11048,1627,2043,681,1995,762,7010,1201,8667,1604,36624,2665,21807,2205,2958,889,2487,747,16362,1831,14817,1736,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3169759,17958,220975,7016,97098,5062,56947,3728,12936,1887,20323,2355,23688,2344,40151,2939,123877,4816,21556,2547,17060,2275,3793,1107,3130,928,10137,1711,4496,1029,102321,4617,88528,4255,18499,2388,18737,2376,51292,3456,13793,1671,2948784,17034,2379738,16303,1019206,14097,198223,6630,182796,6741,638187,9973,1360532,12027,569046,10799,178179,6734,81066,4601,18125,1972,9170,1768,53771,3610,97113,4974,390867,8652,196761,5876,26946,2598,20047,2168,149768,5342,194106,6047,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1699466,13079,119302,5939,54918,3331,31562,2796,6873,1623,10459,1813,14230,2144,23356,1780,64384,4798,10081,1764,6954,1336,2287,839,1266,571,3401,916,3127,954,54303,4509,47012,4334,8354,1580,11523,2227,27135,3281,7291,1495,1580164,13752,1332240,14616,538300,10781,104931,4941,96759,5281,336610,8428,793940,9948,247924,8024,78666,5052,45888,3968,8587,1754,4986,1359,32315,3072,32778,2510,169258,6562,101213,5206,15251,2046,8705,1737,77257,4471,68045,3786,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
