GEO_ID,B22005A_001E,B22005A_001M,B22005A_002E,B22005A_002M,B22005A_003E,B22005A_003M,NAME,B22005A_001MA,B22005A_001EA,B22005A_002MA,B22005A_002EA,B22005A_003MA,B22005A_003EA,state
0400000US01,1300598,7693,76481,4439,1224117,8499,Alabama,null,null,null,null,null,null,01
0400000US02,171704,2821,8778,1461,162926,2914,Alaska,null,null,null,null,null,null,02
0400000US04,1825775,10426,101099,5715,1724676,12247,Arizona,null,null,null,null,null,null,04
0400000US05,887577,6840,77106,4173,810471,7150,Arkansas,null,null,null,null,null,null,05
0400000US06,8048560,20064,258160,7771,7790400,20890,California,null,null,null,null,null,null,06
0400000US08,1585708,8879,64210,4287,1521498,9447,Colorado,null,null,null,null,null,null,08
0400000US09,1100308,6712,41330,3548,1058978,6994,Connecticut,null,null,null,null,null,null,09
0400000US10,243361,3102,10506,1585,232855,3220,Delaware,null,null,null,null,null,null,10
0400000US11,99845,2582,1275,683,98570,2520,District of Columbia,null,null,null,null,null,null,11
0400000US12,5718584,21712,310421,9174,5408163,21648,Florida,null,null,null,null,null,null,12
0400000US13,2208250,11303,99208,5499,2109042,11379,Georgia,null,null,null,null,null,null,13
0400000US15,144536,3209,7532,1379,137004,3023,Hawaii,null,null,null,null,null,null,15
0400000US16,518039,4243,29689,2801,488350,4347,Idaho,null,null,null,null,null,null,16
0400000US17,3567775,13227,165341,6939,3402434,14599,Illinois,null,null,null,null,null,null,17
0400000US18,2137621,9923,144977,5712,1992644,10863,Indiana,null,null,null,null,null,null,18
0400000US19,1143713,5777,75766,3862,1067947,6232,Iowa,null,null,null,null,null,null,19
0400000US20,956453,6209,51120,3232,905333,6875,Kansas,null,null,null,null,null,null,20
0400000US21,1488576,7787,177132,6392,1311444,9309,Kentucky,null,null,null,null,null,null,21
0400000US22,1071671,6890,193065,5996,878606,8795,Louisiana,null,null,null,null,null,null,22
0400000US23,532129,4062,62348,3384,469781,4855,Maine,null,null,null,null,null,null,23
0400000US24,1352932,7376,38278,3052,1314654,7432,Maryland,null,null,null,null,null,null,24
0400000US25,2090307,10601,101286,4646,1989021,11066,Massachusetts,null,null,null,null,null,null,25
0400000US26,3181299,10018,227764,6567,2953535,11742,Michigan,null,null,null,null,null,null,26
0400000US27,1860437,7068,66416,3406,1794021,7091,Minnesota,null,null,null,null,null,null,27
0400000US28,681878,6257,79339,4283,602539,6118,Mississippi,null,null,null,null,null,null,28
0400000US29,1972941,8944,162398,6415,1810543,10663,Missouri,null,null,null,null,null,null,29
0400000US30,342915,3310,20796,2146,322119,3625,Montana,null,null,null,null,null,null,30
0400000US31,636552,3922,36699,2462,599853,4491,Nebraska,null,null,null,null,null,null,31
0400000US32,730841,6255,22562,2466,708279,6463,Nevada,null,null,null,null,null,null,32
0400000US33,485537,4074,21380,2276,464157,4204,New Hampshire,null,null,null,null,null,null,33
0400000US34,2295939,10205,53572,4198,2242367,10235,New Jersey,null,null,null,null,null,null,34
0400000US35,531273,5375,34214,2652,497059,4993,New Mexico,null,null,null,null,null,null,35
0400000US36,5026741,16339,309456,8951,4717285,17212,New York,null,null,null,null,null,null,36
0400000US37,2540575,11427,136947,5988,2403628,12258,North Carolina,null,null,null,null,null,null,37
0400000US38,254089,2516,12608,1489,241481,2760,North Dakota,null,null,null,null,null,null,38
0400000US39,3830302,12134,273930,7706,3556372,13331,Ohio,null,null,null,null,null,null,39
0400000US40,1091196,7056,91771,3921,999425,7603,Oklahoma,null,null,null,null,null,null,40
0400000US41,1300635,7643,127206,5754,1173429,7661,Oregon,null,null,null,null,null,null,41
0400000US42,4181129,12264,231490,6436,3949639,12976,Pennsylvania,null,null,null,null,null,null,42
0400000US44,349958,3511,14135,1883,335823,3736,Rhode Island,null,null,null,null,null,null,44
0400000US45,1162049,7807,61726,3956,1100323,8163,South Carolina,null,null,null,null,null,null,45
0400000US46,286759,2639,14464,1691,272295,3134,South Dakota,null,null,null,null,null,null,46
0400000US47,1931649,9060,186460,5551,1745189,9189,Tennessee,null,null,null,null,null,null,47
0400000US48,5939747,20798,439274,10385,5500473,19029,Texas,null,null,null,null,null,null,48
0400000US49,743229,5418,36634,2900,706595,5878,Utah,null,null,null,null,null,null,49
0400000US50,246251,2492,21545,2232,224706,2996,Vermont,null,null,null,null,null,null,50
0400000US51,2149196,9494,84863,4499,2064333,9544,Virginia,null,null,null,null,null,null,51
0400000US53,2093066,8381,152558,5630,1940508,9333,Washington,null,null,null,null,null,null,53
0400000US54,707231,5691,83858,4094,623373,6252,West Virginia,null,null,null,null,null,null,54
0400000US55,2011192,8267,85216,3481,1925976,8757,Wisconsin,null,null,null,null,null,null,55
0400000US56,193792,2606,8960,1594,184832,2789,Wyoming,null,null,null,null,null,null,56
0400000US72,929820,8622,268657,7379,661163,8436,Puerto Rico,null,null,null,null,null,null,72
