GEO_ID,C08513_001E,C08513_001M,C08513_002E,C08513_002M,C08513_003E,C08513_003M,C08513_004E,C08513_004M,C08513_005E,C08513_005M,C08513_006E,C08513_006M,C08513_007E,C08513_007M,C08513_008E,C08513_008M,C08513_009E,C08513_009M,C08513_010E,C08513_010M,C08513_011E,C08513_011M,C08513_012E,C08513_012M,C08513_013E,C08513_013M,C08513_014E,C08513_014M,C08513_015E,C08513_015M,C08513_016E,C08513_016M,C08513_017E,C08513_017M,C08513_018E,C08513_018M,C08513_019E,C08513_019M,C08513_020E,C08513_020M,C08513_021E,C08513_021M,C08513_022E,C08513_022M,C08513_023E,C08513_023M,C08513_024E,C08513_024M,C08513_025E,C08513_025M,C08513_026E,C08513_026M,C08513_027E,C08513_027M,C08513_028E,C08513_028M,C08513_029E,C08513_029M,C08513_030E,C08513_030M,NAME,C08513_001MA,C08513_001EA,C08513_002EA,C08513_002MA,C08513_003EA,C08513_003MA,C08513_004EA,C08513_004MA,C08513_005EA,C08513_005MA,C08513_006EA,C08513_006MA,C08513_007MA,C08513_007EA,C08513_008EA,C08513_008MA,C08513_009EA,C08513_009MA,C08513_010EA,C08513_010MA,C08513_011EA,C08513_011MA,C08513_012MA,C08513_012EA,C08513_013EA,C08513_013MA,C08513_014EA,C08513_014MA,C08513_015EA,C08513_015MA,C08513_016EA,C08513_016MA,C08513_017EA,C08513_017MA,C08513_018MA,C08513_018EA,C08513_019EA,C08513_019MA,C08513_020EA,C08513_020MA,C08513_021EA,C08513_021MA,C08513_022EA,C08513_022MA,C08513_023MA,C08513_023EA,C08513_024EA,C08513_024MA,C08513_025EA,C08513_025MA,C08513_026EA,C08513_026MA,C08513_027EA,C08513_027MA,C08513_028EA,C08513_028MA,C08513_029MA,C08513_029EA,C08513_030EA,C08513_030MA,state
0400000US01,1928379,13688,1833464,13482,94915,3776,47820,3626,47095,3256,1616147,13464,1551506,13541,64641,3947,39301,3583,25340,2364,213281,7763,189038,7045,24243,2708,5266,1121,18977,2413,8928,1399,8343,1408,585,436,489,408,96,103,41099,3685,37331,3520,3768,965,1564,635,2204,735,48924,3402,47246,3382,1678,592,1200,521,478,289,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,322541,5905,274203,6086,48338,2930,27976,2623,20362,2346,215678,5187,191366,5481,24312,2471,16024,2283,8288,1525,40654,3632,33064,3048,7590,1657,3256,920,4334,1460,3709,1167,3358,1105,351,329,228,254,123,151,46446,2341,32918,2442,13528,1396,6829,971,6699,1008,16054,1764,13497,1774,2557,813,1639,709,918,547,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2707593,15533,1964099,18877,743494,12643,390668,11568,352826,10392,2023952,17977,1526302,18157,497650,13095,289775,9978,207875,7921,374532,12818,214809,7688,159723,10144,57674,4533,102049,9084,55974,4177,33455,3646,22519,2952,9848,1928,12671,2180,129200,6586,85156,5101,44044,4961,19876,3304,24168,3860,123935,6389,104377,5744,19558,2648,13495,2293,6063,1476,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1228961,10799,1143651,11205,85310,4005,38338,3206,46972,3398,987535,11256,932104,11081,55431,3388,27056,2627,28375,2778,158605,6650,135425,5802,23180,3075,8351,1680,14829,2450,5136,1120,4896,1119,240,259,170,238,70,111,37719,3261,33541,2932,4178,1291,1967,705,2211,1171,39966,3313,37685,2789,2281,1090,794,503,1487,721,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16337246,39536,9445364,43799,6891882,40721,3515431,34837,3376451,34399,11926851,45574,7254499,42366,4672352,36198,2646428,32827,2025924,24304,2033750,25872,863112,16018,1170638,22984,439671,12383,730967,19740,810854,16913,343501,11586,467353,13463,163011,8061,304342,11254,786745,14859,430815,11565,355930,12164,140683,6502,215247,10101,779046,16629,553437,12675,225609,9382,125638,6652,99971,5647,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2384763,12996,1999432,14681,385331,10015,194144,8261,191187,8640,1793338,12923,1527690,14489,265648,8603,142967,7167,122681,7359,254863,9686,188410,9351,66453,4925,24410,3102,42043,3886,74891,4711,56796,3678,18095,2903,6017,1497,12078,2456,124541,5379,101718,4552,22823,2908,11431,1712,11392,2264,137130,5709,124818,5169,12312,1839,9319,1503,2993,884,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1697791,11729,1359987,13973,337804,11638,196514,7804,141290,8154,1368272,11664,1129648,13363,238624,8898,149756,6516,88868,5572,146441,6993,96217,5299,50224,5680,22784,3310,27440,3955,50571,4012,32753,3232,17818,2287,7269,1498,10549,1923,73032,4842,49397,3543,23635,3103,11191,1721,12444,2454,59475,3119,51972,3087,7503,1232,5514,1002,1989,593,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,410043,7121,362700,7010,47343,3137,28260,2611,19083,1958,334700,7462,299209,6812,35491,3180,23497,2512,11994,1802,38649,3177,32529,2926,6120,1205,2435,737,3685,995,9019,1675,7370,1414,1649,898,795,444,854,722,17277,2260,14106,1990,3171,1101,966,343,2205,1066,10398,1446,9486,1338,912,480,567,393,345,293,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,720382,12903,567779,11567,152603,6470,100294,5360,52309,4413,312973,8753,249601,7986,63372,4471,42784,3876,20588,2624,79600,5866,58454,4674,21146,3261,11327,1807,9819,2420,264602,8208,210199,7571,54403,3998,36594,3080,17809,2787,51709,3665,40232,3204,11477,1700,8156,1454,3321,1013,11498,1692,9293,1517,2205,683,1433,567,772,390,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8111142,28173,5879106,30199,2232036,22574,1195819,21608,1036217,17674,6439684,30077,4798099,29352,1641585,20485,966105,20254,675480,13527,884381,19678,544268,15448,340113,11712,123693,6656,216420,8556,158485,8950,79844,5782,78641,7204,23745,3093,54896,6869,302294,11525,197921,7642,104373,8690,40474,3986,63899,7725,326298,11200,258974,8809,67324,4867,41802,3461,25522,2797,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
