GEO_ID,C08501_001E,C08501_001M,C08501_002E,C08501_002M,C08501_003E,C08501_003M,C08501_004E,C08501_004M,C08501_005E,C08501_005M,C08501_006E,C08501_006M,C08501_007E,C08501_007M,C08501_008E,C08501_008M,C08501_009E,C08501_009M,C08501_010E,C08501_010M,C08501_011E,C08501_011M,C08501_012E,C08501_012M,C08501_013E,C08501_013M,C08501_014E,C08501_014M,C08501_015E,C08501_015M,C08501_016E,C08501_016M,C08501_017E,C08501_017M,C08501_018E,C08501_018M,C08501_019E,C08501_019M,C08501_020E,C08501_020M,C08501_021E,C08501_021M,C08501_022E,C08501_022M,C08501_023E,C08501_023M,C08501_024E,C08501_024M,C08501_025E,C08501_025M,C08501_026E,C08501_026M,C08501_027E,C08501_027M,C08501_028E,C08501_028M,C08501_029E,C08501_029M,C08501_030E,C08501_030M,C08501_031E,C08501_031M,C08501_032E,C08501_032M,C08501_033E,C08501_033M,C08501_034E,C08501_034M,C08501_035E,C08501_035M,C08501_036E,C08501_036M,C08501_037E,C08501_037M,C08501_038E,C08501_038M,C08501_039E,C08501_039M,C08501_040E,C08501_040M,C08501_041E,C08501_041M,C08501_042E,C08501_042M,NAME,C08501_001MA,C08501_001EA,C08501_002MA,C08501_002EA,C08501_003EA,C08501_003MA,C08501_004EA,C08501_004MA,C08501_005EA,C08501_005MA,C08501_006MA,C08501_006EA,C08501_007MA,C08501_007EA,C08501_008EA,C08501_008MA,C08501_009EA,C08501_009MA,C08501_010EA,C08501_010MA,C08501_011MA,C08501_011EA,C08501_012MA,C08501_012EA,C08501_013EA,C08501_013MA,C08501_014EA,C08501_014MA,C08501_015EA,C08501_015MA,C08501_016MA,C08501_016EA,C08501_017MA,C08501_017EA,C08501_018MA,C08501_018EA,C08501_019MA,C08501_019EA,C08501_020MA,C08501_020EA,C08501_021EA,C08501_021MA,C08501_022EA,C08501_022MA,C08501_023MA,C08501_023EA,C08501_024MA,C08501_024EA,C08501_025MA,C08501_025EA,C08501_026EA,C08501_026MA,C08501_027EA,C08501_027MA,C08501_028MA,C08501_028EA,C08501_029MA,C08501_029EA,C08501_030MA,C08501_030EA,C08501_031MA,C08501_031EA,C08501_032EA,C08501_032MA,C08501_033EA,C08501_033MA,C08501_034MA,C08501_034EA,C08501_035MA,C08501_035EA,C08501_036MA,C08501_036EA,C08501_037EA,C08501_037MA,C08501_038EA,C08501_038MA,C08501_039MA,C08501_039EA,C08501_040MA,C08501_040EA,C08501_041MA,C08501_041EA,C08501_042MA,C08501_042EA,state
0400000US13,4287027,22641,179675,7529,406142,9631,2094298,15322,959880,9403,343348,8145,303684,7594,3357081,24914,113964,5526,289013,8901,1654363,16838,773721,10202,278423,7974,247597,7611,494372,14934,35298,3934,66015,4892,251202,9617,91018,5670,28227,2949,22612,2473,101989,6673,5048,1337,12478,2069,45016,4728,25116,2984,9444,1761,4887,1299,151052,8073,16491,2294,24914,2700,66096,4833,24948,2594,9922,1664,8681,1729,182533,7137,8874,1364,13722,1927,77621,4813,45077,3414,17332,1890,19907,2536,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,629882,7186,24549,2056,66025,2828,281669,4500,142915,3246,55216,2640,59508,2841,422226,8796,11146,1488,38929,2952,197807,5636,98310,3341,37150,2441,38884,2568,101059,6431,4942,1235,13025,2208,43556,4101,24478,2286,8202,1343,6856,1202,33917,3209,2234,706,4570,1166,11852,1606,7089,1299,2857,754,5315,1236,45518,3136,5529,1073,8087,1643,18843,2110,6279,1090,3282,855,3498,843,27162,2434,698,342,1414,518,9611,1538,6759,1367,3725,929,4955,949,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,656843,6577,38094,2383,75622,3143,288671,4541,151069,3694,55434,2963,47953,2905,508675,7169,26476,2197,57025,3290,226593,4536,118871,3619,42931,2432,36779,2469,74513,4412,6414,1342,10657,1951,34857,3227,14950,1717,4679,1033,2956,718,5439,1127,412,296,550,430,2065,685,1288,411,879,456,245,199,34342,3196,4354,883,5602,1173,13605,2094,5501,1007,2830,846,2450,666,33874,2970,438,269,1788,856,11551,1821,10459,1441,4115,971,5523,989,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5968506,20652,258030,6252,581436,8454,2734339,16857,1394084,8851,519183,9139,481434,7745,4421567,23531,179302,5549,403627,8993,2018395,16315,1059011,10044,399530,8091,361702,6988,556538,13266,31909,2490,64892,4983,263633,8303,117445,6051,42640,3137,36019,2797,510850,11263,15440,2082,58036,4399,262514,8730,109069,5547,37695,2842,28096,2337,261332,8442,25644,2722,44938,3383,100977,5879,49823,3461,17820,1938,22130,1826,218219,5775,5735,1259,9943,1576,88820,4562,58736,3462,21498,1863,33487,2329,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2901321,16538,135263,5090,282110,6561,1292402,10863,695996,7233,257093,6742,238457,6160,2398127,16754,97821,4366,218766,5700,1071868,12002,593007,7709,216680,5637,199985,5679,282453,8329,19193,1894,35384,3390,135243,6062,58259,2995,19296,2454,15078,1804,22945,2380,1943,788,3280,901,9624,1786,4286,1132,2043,666,1769,681,103538,5101,13429,1824,18855,2189,36467,3209,18929,2030,8360,1399,7498,1196,94258,4901,2877,671,5825,1025,39200,3808,21515,2148,10714,1581,14127,1668,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1507545,11140,87064,3274,166138,4800,616092,7169,357582,3792,134037,3555,146632,4431,1181690,10379,64175,3177,123092,4925,484557,7539,290308,3780,108367,3679,111191,3894,163491,6273,10527,1376,19922,2544,77033,4280,33541,2629,11541,1336,10927,1220,14923,1804,625,330,3564,1004,6350,1262,2986,868,752,374,646,271,75948,3964,9353,1124,15969,1579,23513,2542,13893,1449,5459,839,7761,1088,71493,3075,2384,626,3591,743,24639,2091,16854,1746,7918,1375,16107,1308,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1387246,11754,76693,3262,155833,4924,584624,7529,328456,4380,114471,3930,127169,3860,1136528,13822,58760,3141,122591,5043,480275,8953,277408,5192,97506,3610,99988,3444,129793,5667,8116,1153,17209,2054,62560,3754,26320,2221,6847,1068,8741,1389,6721,1537,587,459,1062,739,2876,883,1416,527,430,275,350,241,54753,4000,6669,1085,8770,1460,20046,2719,9347,1461,4579,985,5342,879,59451,3586,2561,745,6201,1237,18867,2003,13965,1662,5109,929,12748,1362,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1834746,16795,82568,3692,175225,5870,858153,12214,425000,6229,149834,4610,143966,5554,1497631,17664,55440,3041,133603,5954,706760,11979,360179,6041,125506,4454,116143,4619,206448,7632,16494,2062,24476,2655,103872,5141,39276,2182,12816,1713,9514,1672,17692,2610,902,385,1587,654,7707,1919,4226,1010,1515,655,1755,586,53994,3820,6457,1205,10888,1480,19468,2450,8329,1270,3468,867,5384,906,58981,4174,3275,716,4671,999,20346,2563,12990,1735,6529,1145,11170,1381,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1828690,15492,87025,4186,198081,5977,819814,9919,422949,7667,151046,4965,149775,5039,1484797,16260,61514,3672,152896,5489,665855,9660,353037,6749,128106,4877,123389,5295,218012,7932,15638,2265,31098,2658,104036,5580,42224,3712,13297,1610,11719,1605,20408,2611,1901,775,2376,911,8886,1824,4286,1335,1780,644,1179,473,65775,4055,7430,1270,10780,1908,26074,3528,12632,1722,4059,787,4800,1158,39698,3507,542,238,931,434,14963,2200,10770,1501,3804,941,8688,1518,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,634690,7536,30099,1708,56479,2533,259627,4432,163778,3283,65316,2453,59391,2786,492243,7286,19857,1617,39325,2388,201300,4968,134088,3466,52300,2393,45373,2429,69797,4241,5185,1109,8297,1518,32222,2957,13688,1556,6012,1252,4393,1062,4256,1203,264,231,735,479,1971,723,833,397,233,179,220,193,36802,2707,4453,951,7260,1230,12439,1886,6677,977,2632,594,3341,798,31592,2352,340,188,862,425,11695,1644,8492,1165,4139,814,6064,954,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
