GEO_ID,C11001G_001E,C11001G_001M,C11001G_002E,C11001G_002M,C11001G_003E,C11001G_003M,C11001G_004E,C11001G_004M,C11001G_005E,C11001G_005M,NAME,C11001G_001MA,C11001G_001EA,C11001G_002EA,C11001G_002MA,C11001G_003EA,C11001G_003MA,C11001G_004EA,C11001G_004MA,C11001G_005MA,C11001G_005EA,state
0400000US01,13979,1681,8417,1374,5744,1040,2673,743,5562,1056,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10696,1644,7128,1277,4237,970,2891,917,3568,855,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,31961,2538,21341,2291,14140,1793,7201,1535,10620,1713,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12950,1404,8244,1310,5964,1075,2280,724,4706,1036,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,252043,6517,161405,5599,105628,5133,55777,3136,90638,4754,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29776,2939,18154,2002,11296,1605,6858,1426,11622,1984,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,14261,1937,9135,1643,6155,1271,2980,834,5126,971,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2302,655,1624,516,832,374,792,371,678,436,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,3434,881,1387,657,787,442,600,461,2047,616,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,86789,4743,59614,3805,42234,3394,17380,2079,27175,2329,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,27705,2652,18600,1963,12281,1458,6319,1287,9105,1470,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,60928,3301,44400,3071,28163,2533,16237,1765,16528,2337,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7659,1029,5751,983,4393,917,1358,501,1908,607,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,42716,3347,27824,2484,18851,2197,8973,1440,14892,2114,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,20319,2097,13148,1686,7765,1365,5383,1219,7171,1190,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,7803,1542,4883,1153,3062,885,1821,699,2920,976,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,13292,1807,8577,1448,6564,1319,2013,609,4715,1128,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,12300,1956,8448,1330,5448,995,3000,897,3852,1073,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,10691,1464,6643,1146,4283,862,2360,694,4048,932,Louisiana,null,null,null,null,null,null,null,null,null,null,22
