GEO_ID,C19101_001E,C19101_001M,C19101_002E,C19101_002M,C19101_003E,C19101_003M,C19101_004E,C19101_004M,C19101_005E,C19101_005M,C19101_006E,C19101_006M,C19101_007E,C19101_007M,C19101_008E,C19101_008M,C19101_009E,C19101_009M,C19101_010E,C19101_010M,C19101_011E,C19101_011M,NAME,C19101_001MA,C19101_001EA,C19101_002MA,C19101_002EA,C19101_003MA,C19101_003EA,C19101_004MA,C19101_004EA,C19101_005MA,C19101_005EA,C19101_006EA,C19101_006MA,C19101_007EA,C19101_007MA,C19101_008EA,C19101_008MA,C19101_009MA,C19101_009EA,C19101_010MA,C19101_010EA,C19101_011MA,C19101_011EA,state
0400000US01,1222858,13632,85260,5263,56420,4060,139911,5169,148852,5645,189309,6106,254508,7697,154887,5916,126181,5318,35175,2549,32355,2431,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157939,4094,5093,1028,5758,1344,9635,1264,12500,1667,20830,2259,32192,2139,28091,2064,27334,2065,10201,1303,6305,1000,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1476269,13649,67210,4775,49807,4024,142796,6460,160846,6021,239204,6821,303156,8245,201357,6292,192505,6185,62878,4078,56510,3249,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,758195,10004,49232,3829,36804,3250,100108,5169,102007,5100,131523,5458,158114,5280,88284,4234,60637,3010,16943,1861,14543,1534,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8303793,26257,331730,9268,278192,9710,745281,14172,753114,15358,1077820,15908,1555128,15701,1151776,13719,1341407,15453,529465,8819,539880,9504,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1196223,10837,49509,3995,36154,3243,88379,4350,107403,5296,166039,6290,244208,7346,186559,6749,189575,5517,68161,3728,60236,3125,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,894348,7766,27671,2493,19052,2507,50757,3528,62903,3895,97933,4612,167694,5282,149049,5366,172441,5175,66716,3546,80132,3290,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,213565,5010,8206,1465,4435,1080,16842,1782,18049,1789,34092,2855,44862,2785,33839,2652,34952,2542,9484,1343,8804,1204,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108759,4148,10235,1685,5415,1165,9542,1758,9412,1439,11723,1526,14961,1864,10689,1342,13814,1779,8808,1429,14160,1618,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4632974,21331,200358,8601,171954,7537,466554,11674,525877,13110,742985,13557,995981,13779,613172,12194,555344,11426,170186,6746,190563,5779,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2296694,17833,125384,6652,97741,5417,224749,7051,233795,7707,338420,10326,475058,10803,316327,8680,294416,7769,100058,4802,90746,4139,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,301102,5471,12297,1686,6900,1271,19206,2048,22111,2276,40190,3086,60591,3434,48832,3093,56048,3432,17891,1846,17036,1819,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,382686,5514,15025,1779,15526,1675,39851,3178,47554,3126,66090,3646,93949,4276,48837,2870,38372,2705,9486,1530,7996,1110,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3146342,17216,143927,5876,97623,5176,251347,7228,281515,8748,427576,9379,665684,11273,477947,10195,477267,8626,165538,5427,157918,6704,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1645031,12308,79630,5540,52035,3363,145086,5637,182024,6580,265583,7418,393770,8344,249231,6612,188863,5915,50402,3481,38407,2132,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,796970,7397,29500,2514,23615,2554,70845,3775,88041,4132,137437,4217,195593,5407,122526,4436,87570,3006,21271,1646,20572,1551,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,724553,7620,30376,2638,21613,2180,65331,4228,76988,3741,117449,4675,163631,4955,112319,4249,90954,3689,23869,2273,22023,1788,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1106404,10897,73439,5141,58551,3959,130641,5704,121791,4883,182240,6422,235290,6168,140376,4882,111427,4896,29084,2462,23565,2397,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1072568,11225,79487,4848,60309,4207,127509,6334,121336,5270,164266,6394,215049,7543,133106,4868,110546,3828,31822,2938,29138,2560,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
