GEO_ID,B21001I_001E,B21001I_001M,B21001I_002E,B21001I_002M,B21001I_003E,B21001I_003M,B21001I_004E,B21001I_004M,B21001I_005E,B21001I_005M,B21001I_006E,B21001I_006M,B21001I_007E,B21001I_007M,B21001I_008E,B21001I_008M,B21001I_009E,B21001I_009M,B21001I_010E,B21001I_010M,B21001I_011E,B21001I_011M,B21001I_012E,B21001I_012M,B21001I_013E,B21001I_013M,B21001I_014E,B21001I_014M,B21001I_015E,B21001I_015M,B21001I_016E,B21001I_016M,B21001I_017E,B21001I_017M,B21001I_018E,B21001I_018M,B21001I_019E,B21001I_019M,B21001I_020E,B21001I_020M,B21001I_021E,B21001I_021M,B21001I_022E,B21001I_022M,B21001I_023E,B21001I_023M,B21001I_024E,B21001I_024M,B21001I_025E,B21001I_025M,B21001I_026E,B21001I_026M,B21001I_027E,B21001I_027M,B21001I_028E,B21001I_028M,B21001I_029E,B21001I_029M,B21001I_030E,B21001I_030M,B21001I_031E,B21001I_031M,B21001I_032E,B21001I_032M,B21001I_033E,B21001I_033M,NAME,B21001I_001MA,B21001I_001EA,B21001I_002EA,B21001I_002MA,B21001I_003EA,B21001I_003MA,B21001I_004MA,B21001I_004EA,B21001I_005MA,B21001I_005EA,B21001I_006MA,B21001I_006EA,B21001I_007EA,B21001I_007MA,B21001I_008EA,B21001I_008MA,B21001I_009EA,B21001I_009MA,B21001I_010MA,B21001I_010EA,B21001I_011EA,B21001I_011MA,B21001I_012MA,B21001I_012EA,B21001I_013EA,B21001I_013MA,B21001I_014EA,B21001I_014MA,B21001I_015MA,B21001I_015EA,B21001I_016MA,B21001I_016EA,B21001I_017MA,B21001I_017EA,B21001I_018EA,B21001I_018MA,B21001I_019EA,B21001I_019MA,B21001I_020EA,B21001I_020MA,B21001I_021MA,B21001I_021EA,B21001I_022EA,B21001I_022MA,B21001I_023MA,B21001I_023EA,B21001I_024EA,B21001I_024MA,B21001I_025EA,B21001I_025MA,B21001I_026MA,B21001I_026EA,B21001I_027MA,B21001I_027EA,B21001I_028MA,B21001I_028EA,B21001I_029EA,B21001I_029MA,B21001I_030EA,B21001I_030MA,B21001I_031MA,B21001I_031EA,B21001I_032MA,B21001I_032EA,B21001I_033EA,B21001I_033MA,state
0400000US01,70326,1536,39165,1547,23993,1336,518,300,23475,1331,12637,1413,1410,649,11227,1383,1786,495,691,377,1095,337,452,301,296,237,156,181,297,244,220,221,77,95,31161,1362,15981,1468,0,265,15981,1468,11448,1314,409,249,11039,1320,1847,490,134,193,1713,436,1069,557,0,265,1069,557,816,460,102,164,714,398,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,22957,834,12021,771,5887,773,504,488,5383,709,5166,642,699,325,4467,664,654,214,155,154,499,224,232,169,200,163,32,55,82,98,82,98,0,235,10936,539,4706,663,49,88,4657,681,4542,607,170,230,4372,639,1349,384,50,89,1299,397,192,152,0,235,192,152,147,212,0,235,147,212,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1125780,1019,588438,1117,292908,1681,5569,1155,287339,2198,215698,1101,17717,2463,197981,2485,44612,673,12638,1753,31974,1832,21602,557,6616,1143,14986,1243,13618,467,6331,928,7287,911,537342,681,246574,959,1177,785,245397,1126,198815,834,1829,599,196986,1056,45870,651,394,305,45476,701,26204,630,99,124,26105,640,19879,649,249,222,19630,673,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,85519,1406,49398,1666,27153,1547,385,284,26768,1568,17357,1316,1130,497,16227,1352,3448,971,270,254,3178,912,957,443,259,289,698,392,483,295,275,239,208,185,36121,1423,18743,1224,0,257,18743,1224,14206,1099,272,236,13934,1159,1932,719,0,257,1932,719,1021,535,0,257,1021,535,219,205,0,257,219,205,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8451979,2139,4349319,2273,2051540,2082,43661,4180,2007879,5089,1687203,1560,76458,4309,1610745,4481,334958,1480,54409,3660,280549,4144,165312,1292,32274,2761,133038,2672,110306,997,34993,2668,75313,2798,4102660,1555,1781537,2127,8548,1666,1772989,2851,1578232,1534,7248,1226,1570984,1901,366261,868,1799,661,364462,1080,205249,1206,856,371,204393,1290,171381,1206,1200,580,170181,1345,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,607955,774,323554,877,156350,1640,4136,948,152214,1859,119852,1443,11243,1556,108609,2231,26326,878,9037,1269,17289,1363,12654,1027,5058,933,7596,897,8372,839,4747,833,3625,800,284401,849,127321,1413,822,523,126499,1551,106296,1360,687,379,105609,1359,25088,612,403,241,24685,641,15687,927,179,173,15508,942,10009,737,85,100,9924,743,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,264020,227,132634,622,63133,868,943,560,62190,940,51336,841,3038,895,48298,1091,10758,499,1648,604,9110,722,5241,375,1054,485,4187,572,2166,265,592,314,1574,269,131386,631,55628,1022,289,327,55339,1072,53623,1099,209,251,53414,1077,11913,264,52,87,11861,284,6228,540,0,269,6228,540,3994,521,0,269,3994,521,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,33686,136,18037,388,9397,422,206,218,9191,464,6879,422,384,219,6495,458,1153,495,475,419,678,325,439,286,0,261,439,286,169,191,169,191,0,261,15649,415,8018,673,32,52,7986,702,5617,514,0,261,5617,514,938,443,0,261,938,443,833,457,0,261,833,457,243,266,0,261,243,266,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,36347,346,19242,152,9672,123,216,242,9456,267,7213,84,202,213,7011,228,1441,2,137,121,1304,121,646,244,0,292,646,244,270,244,0,292,270,244,17105,266,7761,265,0,292,7761,265,6019,2,47,78,5972,78,1676,4,0,292,1676,4,1085,346,0,292,1085,346,564,347,0,292,564,347,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2680432,2295,1346855,3134,522881,3259,17001,2555,505880,3907,535003,2525,36193,2686,498810,3511,135217,1273,21601,2523,113616,2563,87948,1252,10503,1473,77445,1956,65806,1124,8699,1459,57107,1568,1333577,2131,444683,2158,3237,953,441446,2349,520688,2070,3212,865,517476,2151,153378,948,1000,551,152378,1094,112799,1277,450,268,112349,1322,102029,1295,358,259,101671,1348,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
