GEO_ID,B20004_001E,B20004_001M,B20004_002E,B20004_002M,B20004_003E,B20004_003M,B20004_004E,B20004_004M,B20004_005E,B20004_005M,B20004_006E,B20004_006M,B20004_007E,B20004_007M,B20004_008E,B20004_008M,B20004_009E,B20004_009M,B20004_010E,B20004_010M,B20004_011E,B20004_011M,B20004_012E,B20004_012M,B20004_013E,B20004_013M,B20004_014E,B20004_014M,B20004_015E,B20004_015M,B20004_016E,B20004_016M,B20004_017E,B20004_017M,B20004_018E,B20004_018M,NAME,B20004_001EA,B20004_001MA,B20004_002EA,B20004_002MA,B20004_003EA,B20004_003MA,B20004_004MA,B20004_004EA,B20004_005MA,B20004_005EA,B20004_006EA,B20004_006MA,B20004_007EA,B20004_007MA,B20004_008EA,B20004_008MA,B20004_009MA,B20004_009EA,B20004_010MA,B20004_010EA,B20004_011EA,B20004_011MA,B20004_012EA,B20004_012MA,B20004_013EA,B20004_013MA,B20004_014EA,B20004_014MA,B20004_015MA,B20004_015EA,B20004_016MA,B20004_016EA,B20004_017EA,B20004_017MA,B20004_018EA,B20004_018MA,state
0400000US01,29032,427,16669,499,23932,623,29101,656,41683,607,50656,722,35609,372,21257,694,31170,456,37055,728,53459,2104,70418,2394,22193,324,11560,506,17881,580,22952,702,33290,968,42376,716,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,36185,599,20183,3058,30170,2038,35420,1396,44810,3307,60170,3048,42286,1026,25406,3819,36308,1718,43030,4025,54640,3313,67660,6064,29632,1746,11504,1835,22103,1924,27219,1415,37688,3418,53155,1933,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,31678,226,19571,864,26235,414,31934,387,43812,1407,53491,1776,36557,319,23274,808,30797,527,37293,750,53699,2464,66938,2699,26684,391,13951,641,21574,700,27299,641,36204,654,44653,2089,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26276,291,17602,598,22546,481,26872,458,39764,1203,49033,1635,31618,354,20493,736,28530,793,33999,1481,48472,2417,61620,1896,21013,358,13585,896,17303,526,21347,686,33153,1723,42780,1098,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35297,121,18487,216,27461,344,36015,157,50941,220,71060,388,40709,131,21718,165,32010,247,42452,325,61205,297,85587,1390,29559,297,13255,254,22166,273,30278,221,41959,273,58666,1224,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,34428,490,20694,485,27648,856,32694,616,42823,1069,56161,1730,40640,333,23175,963,32646,1261,39863,963,53921,2367,71622,1275,28184,665,13494,1475,21470,556,26823,700,35516,703,44614,1899,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40673,309,22724,1575,31125,410,37754,971,52230,546,68004,1759,49013,1365,27476,1809,36991,826,46620,951,66257,1488,86620,2605,32359,450,18952,1562,25602,589,31460,622,41966,692,54166,2578,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35838,603,22125,1045,30502,1016,35485,1055,45602,1741,57196,3990,41640,672,26380,3353,37372,2104,41354,1224,54420,3740,65368,5266,30489,819,17588,2621,23121,1330,31285,1167,38589,2463,49845,2719,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,42266,1354,19557,1919,27833,2037,34476,2412,50618,1341,72400,3006,45081,2271,22999,2703,29631,2811,31528,2390,52969,3539,87370,7298,41168,1177,17533,2277,24724,5227,37185,4255,46189,3945,63235,4771,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,30585,128,18652,400,25200,220,31203,212,41058,310,52167,442,35348,246,21881,323,30324,275,36654,326,50248,470,66931,1552,25664,179,13691,472,20808,239,26634,337,35375,340,42748,1035,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
