GEO_ID,C24010A_001E,C24010A_001M,C24010A_002E,C24010A_002M,C24010A_003E,C24010A_003M,C24010A_004E,C24010A_004M,C24010A_005E,C24010A_005M,C24010A_006E,C24010A_006M,C24010A_007E,C24010A_007M,C24010A_008E,C24010A_008M,C24010A_009E,C24010A_009M,C24010A_010E,C24010A_010M,C24010A_011E,C24010A_011M,C24010A_012E,C24010A_012M,C24010A_013E,C24010A_013M,C24010A_014E,C24010A_014M,C24010A_015E,C24010A_015M,NAME,C24010A_001MA,C24010A_001EA,C24010A_002EA,C24010A_002MA,C24010A_003EA,C24010A_003MA,C24010A_004MA,C24010A_004EA,C24010A_005EA,C24010A_005MA,C24010A_006EA,C24010A_006MA,C24010A_007EA,C24010A_007MA,C24010A_008EA,C24010A_008MA,C24010A_009EA,C24010A_009MA,C24010A_010MA,C24010A_010EA,C24010A_011MA,C24010A_011EA,C24010A_012MA,C24010A_012EA,C24010A_013MA,C24010A_013EA,C24010A_014MA,C24010A_014EA,C24010A_015MA,C24010A_015EA,state
0400000US01,1494764,12378,829694,6964,245857,6229,79722,5076,138705,5804,7727,1341,180409,7053,177274,6228,665070,8184,254713,6504,107890,5410,247123,6349,2338,722,8036,1595,44970,3518,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,240716,5334,131190,3824,44394,2774,15274,1970,18405,2320,3748,991,29513,2483,19856,2264,109526,3308,48683,2601,19917,1920,35744,2814,393,278,1362,588,3427,985,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2207146,17301,1227419,11771,388749,10444,173268,9138,245694,9131,7169,2252,249218,9932,163321,7386,979727,11571,371310,8513,186049,7952,370892,8066,2176,776,10344,2311,38956,3716,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1018167,9948,547169,6371,145908,5206,55214,3502,95883,4542,11343,1713,109124,4836,129697,5450,470998,7173,161941,6129,89128,4336,174381,5937,1538,418,4763,1078,39247,3228,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10353290,42428,5767952,30526,2062453,18422,722826,17334,1086416,17614,115200,7491,979674,18887,801383,15528,4585338,25012,1856626,16325,821047,15933,1626440,20256,33886,3268,31840,3180,215499,8783,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2066785,14974,1124661,9728,417207,7906,138626,6369,200820,6872,8626,1514,213572,8716,145810,6517,942124,8962,389081,7645,170975,7272,333905,7949,2961,909,7654,1248,37548,3186,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1436598,10006,758591,7235,285987,7978,95639,4688,145305,4745,1573,503,121810,4825,108277,5906,678007,6847,304322,5936,108896,4809,229456,5846,438,279,3488,941,31407,2965,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,302309,4825,160554,3067,54872,2865,19602,2081,33191,2610,916,461,28140,2464,23833,2607,141755,3992,57210,2979,26340,2637,51540,2974,203,155,1230,597,5232,1287,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,132778,2962,67320,2491,51767,2519,5286,1645,8065,1389,549,460,708,406,945,474,65458,1923,49351,2351,5527,1340,10428,1661,0,292,152,183,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,6415884,29904,3499038,17408,1080596,15331,488820,13934,708816,12556,31638,4405,749631,15373,439537,13368,2916846,18309,1066819,14522,516818,12428,1175228,15375,12901,2370,33567,3157,111513,6021,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2841940,16363,1568755,10887,537370,8954,147025,6753,289462,7871,12152,2155,328372,9419,254374,9541,1273185,12230,527105,9974,193554,8657,471264,11201,3055,981,11042,1846,67165,4701,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,167189,4102,92043,2875,40019,3067,16858,2376,14251,1661,496,319,14323,2072,6096,1087,75146,2756,33191,2675,13096,1606,25787,2466,268,181,1093,688,1711,648,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,645098,6273,357111,4387,104795,3901,37671,3176,60690,3795,14328,1936,78178,4081,61449,3469,287987,4483,99392,3844,61106,3987,101515,4494,2631,778,5075,1238,18268,1974,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4610922,19196,2478579,13913,846395,10853,278784,7389,458374,9385,13750,1611,404366,9208,476910,10305,2132343,13479,847575,12204,375053,9184,766580,12831,3204,873,11440,1920,128491,5723,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2675427,13478,1434150,8720,385114,8511,149951,5468,230686,6810,9387,1582,271727,8323,387285,7812,1241277,10561,430742,8727,239858,5682,427626,7715,2110,633,9457,1461,131484,5701,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1458743,9088,767960,5360,233699,4677,84013,4278,128286,5378,12403,1430,122948,4564,186611,5896,690783,6543,248689,5256,142568,4477,237575,6100,2940,749,3807,710,55204,3017,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1219984,9678,651934,6143,213757,6245,73539,4051,111702,5028,11703,1502,114175,4455,127058,4827,568050,6420,220882,5653,108602,4335,196713,6124,1423,479,4973,927,35457,3159,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
