GEO_ID,C08412_001E,C08412_001M,C08412_002E,C08412_002M,C08412_003E,C08412_003M,C08412_004E,C08412_004M,C08412_005E,C08412_005M,C08412_006E,C08412_006M,C08412_007E,C08412_007M,C08412_008E,C08412_008M,C08412_009E,C08412_009M,C08412_010E,C08412_010M,C08412_011E,C08412_011M,C08412_012E,C08412_012M,C08412_013E,C08412_013M,C08412_014E,C08412_014M,C08412_015E,C08412_015M,C08412_016E,C08412_016M,C08412_017E,C08412_017M,C08412_018E,C08412_018M,C08412_019E,C08412_019M,C08412_020E,C08412_020M,C08412_021E,C08412_021M,C08412_022E,C08412_022M,C08412_023E,C08412_023M,C08412_024E,C08412_024M,C08412_025E,C08412_025M,C08412_026E,C08412_026M,C08412_027E,C08412_027M,C08412_028E,C08412_028M,C08412_029E,C08412_029M,C08412_030E,C08412_030M,NAME,C08412_001EA,C08412_001MA,C08412_002EA,C08412_002MA,C08412_003MA,C08412_003EA,C08412_004MA,C08412_004EA,C08412_005MA,C08412_005EA,C08412_006MA,C08412_006EA,C08412_007EA,C08412_007MA,C08412_008EA,C08412_008MA,C08412_009MA,C08412_009EA,C08412_010MA,C08412_010EA,C08412_011MA,C08412_011EA,C08412_012EA,C08412_012MA,C08412_013EA,C08412_013MA,C08412_014MA,C08412_014EA,C08412_015MA,C08412_015EA,C08412_016MA,C08412_016EA,C08412_017MA,C08412_017EA,C08412_018EA,C08412_018MA,C08412_019EA,C08412_019MA,C08412_020MA,C08412_020EA,C08412_021MA,C08412_021EA,C08412_022MA,C08412_022EA,C08412_023EA,C08412_023MA,C08412_024EA,C08412_024MA,C08412_025MA,C08412_025EA,C08412_026MA,C08412_026EA,C08412_027MA,C08412_027EA,C08412_028EA,C08412_028MA,C08412_029EA,C08412_029MA,C08412_030EA,C08412_030MA,state
0400000US01,1879455,13829,274223,7103,275458,8392,323274,9401,287588,8209,120558,5343,259892,9039,105885,5822,124410,4615,108167,5046,1012425,9827,138672,5600,137903,6616,163041,6641,148494,5837,64564,3692,149121,6651,60641,4017,73348,3351,76641,4260,867030,8802,135551,4662,137555,4663,160233,5335,139094,5387,55994,3638,110771,5971,45244,3637,51062,3223,31526,2583,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,306487,5433,87788,4588,56449,4072,55677,3714,43303,3498,12363,1689,21490,2417,7961,1576,9019,1372,12437,1564,166224,3793,48665,3031,30086,2611,28308,2729,22278,2237,6959,1153,11267,1887,4100,1140,5240,994,9321,1347,140263,4068,39123,2976,26363,2503,27369,2499,21025,2379,5404,1104,10223,1838,3861,1018,3779,1053,3116,947,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2583658,15660,351144,9674,347916,11483,386597,11707,386973,12702,163371,7322,391899,11032,173392,7963,211466,9786,170900,7926,1459805,9279,177462,6890,181249,8093,210376,8161,218909,9486,95584,5480,238462,8672,102021,5799,125869,7266,109873,5836,1123853,12430,173682,7404,166667,6771,176221,7074,168064,7525,67787,4117,153437,6696,71371,4294,85597,5300,61027,4165,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1188995,10676,242181,8627,206614,7432,211236,6899,169317,6949,58332,4047,129562,6168,54054,3973,65044,4233,52655,3698,642796,7422,122844,5729,105604,5169,111791,4738,89879,4785,30764,2740,76793,4247,30283,2479,39197,2937,35641,3034,546199,7443,119337,5687,101010,5121,99445,4982,79438,4549,27568,2260,52769,3812,23771,2747,25847,2620,17014,1901,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15558200,40356,1853289,22469,2124987,27152,2389869,27343,2277809,27142,868715,16840,2252244,25798,998639,17994,1215205,17841,1577443,21825,8771728,26943,934743,16665,1109607,19615,1298835,20215,1277780,17587,497996,13331,1323013,20613,594686,13056,719920,14004,1015148,17155,6786472,29274,918546,14293,1015380,16704,1091034,18550,1000029,19129,370719,10028,929231,14733,403953,11443,495285,11318,562295,13291,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2247633,12414,337017,10417,333521,9886,353479,9784,334340,8283,154677,6709,293699,7517,145584,6163,163000,6126,132316,6962,1247329,9928,168955,7860,176261,6690,188477,7753,181733,6705,89865,5442,170546,5377,83615,4549,100362,5651,87515,6232,1000304,9888,168062,6794,157260,6361,165002,5089,152607,5730,64812,4110,123153,5131,61969,3944,62638,3771,44801,2834,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1638316,12019,243299,7393,250483,7509,271749,7505,261530,9070,109239,5112,198587,6151,104698,4801,106394,6275,92337,4663,862193,9095,113554,5215,120275,5613,141723,5514,134415,5550,58219,3959,112446,5169,60512,3324,61998,4281,59051,3183,776123,8952,129745,5418,130208,5266,130026,4922,127115,5994,51020,3379,86141,4039,44186,3067,44396,3647,33286,3149,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,399645,6934,52682,3570,61710,3832,69751,3974,65537,3753,27529,2683,51270,3180,23765,2121,26322,2533,21079,2086,206729,4759,25945,2355,29440,2671,34576,2717,35591,2938,14116,1693,26596,2690,11629,1622,14463,1718,14373,1593,192916,4881,26737,2193,32270,2861,35175,3018,29946,2763,13413,1801,24674,2122,12136,1385,11859,1868,6706,1071,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,708884,12885,22408,2395,28663,2566,46610,3789,76568,5188,36985,3191,121430,5788,87201,5610,121578,5985,167441,6664,362864,10464,11934,1442,14276,1861,22549,2552,36172,3255,21343,2387,65242,4274,45192,3610,60708,4024,85448,5093,346020,8746,10474,1797,14387,1784,24061,2648,40396,3251,15642,2134,56188,3775,42009,3449,60870,4234,81993,4167,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7784844,29750,877606,17337,991911,19180,1176382,19776,1226762,20685,483157,12213,1256636,17356,551105,13752,643680,17143,577605,14717,4214982,20579,445401,10813,499261,13425,599205,15338,657300,15333,256712,8911,711641,13450,314705,9809,371578,11451,359179,11401,3569862,21026,432205,11632,492650,11675,577177,11923,569462,11301,226445,6913,544995,12421,236400,8710,272102,9454,218426,8911,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
