GEO_ID,C18020G_001E,C18020G_001M,C18020G_002E,C18020G_002M,C18020G_003E,C18020G_003M,C18020G_004E,C18020G_004M,C18020G_005E,C18020G_005M,C18020G_006E,C18020G_006M,C18020G_007E,C18020G_007M,NAME,C18020G_001EA,C18020G_001MA,C18020G_002EA,C18020G_002MA,C18020G_003EA,C18020G_003MA,C18020G_004MA,C18020G_004EA,C18020G_005MA,C18020G_005EA,C18020G_006EA,C18020G_006MA,C18020G_007EA,C18020G_007MA,state
0400000US01,25773,2447,9227,1548,2662,703,6565,1148,16546,1869,11089,1565,5457,984,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,27320,3032,4975,1129,2183,694,2792,784,22345,2741,14335,2141,8010,1453,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,70024,4772,11860,1875,3893,906,7967,1592,58164,4329,40495,3244,17669,2400,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20348,2357,7808,1302,2510,877,5298,1062,12540,1850,8565,1370,3975,1011,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,614247,16193,96479,5506,35132,2865,61347,4315,517768,15753,354391,11893,163377,8745,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,59657,4659,11097,2015,4239,1075,6858,1689,48560,4079,35480,3332,13080,2092,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31038,3579,4269,1088,1690,777,2579,778,26769,3105,18257,2436,8512,1538,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5007,1168,721,468,146,156,575,434,4286,1074,2871,842,1415,539,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5080,1330,988,474,410,265,578,407,4092,1158,2863,871,1229,623,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,166104,8212,27909,3060,11905,1794,16004,2289,138195,7325,100610,6156,37585,3433,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,54712,4460,10398,1544,4372,1075,6026,1296,44314,3984,29285,2812,15029,2141,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
