GEO_ID,B13004A_001E,B13004A_001M,B13004A_002E,B13004A_002M,B13004A_003E,B13004A_003M,B13004A_004E,B13004A_004M,B13004A_005E,B13004A_005M,B13004A_006E,B13004A_006M,B13004A_007E,B13004A_007M,NAME,B13004A_001MA,B13004A_001EA,B13004A_002EA,B13004A_002MA,B13004A_003EA,B13004A_003MA,B13004A_004EA,B13004A_004MA,B13004A_005MA,B13004A_005EA,B13004A_006MA,B13004A_006EA,B13004A_007EA,B13004A_007MA,state
0400000US01,781358,2891,37328,2942,28398,2706,8930,1621,744030,4139,421770,6670,322260,7227,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,120855,1406,7156,1272,5567,1139,1589,672,113699,1921,59907,2691,53792,2756,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1122673,7484,64461,4766,45880,3391,18581,3042,1058212,7676,523084,8233,535128,9356,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,525310,2725,29463,2261,21359,2093,8104,1632,495847,3362,278848,5109,216999,4908,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5384321,21663,278012,8702,199613,7804,78399,4130,5106309,21861,2443974,19966,2662335,22837,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1016748,5501,52362,3401,42277,2834,10085,1847,964386,6348,500916,8274,463470,8192,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,686636,4214,33799,2532,27037,2445,6762,1347,652837,4757,330771,5855,322066,6069,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,151503,1639,8216,1269,5813,1062,2403,837,143287,1999,70467,2978,72820,3285,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,65712,1321,1959,814,1717,796,242,227,63753,1584,18583,1670,45170,2039,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3133763,10594,151998,7308,103971,5152,48027,4489,2981765,11594,1527956,15139,1453809,15964,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
