GEO_ID,B18015_001E,B18015_001M,B18015_002E,B18015_002M,B18015_003E,B18015_003M,B18015_004E,B18015_004M,B18015_005E,B18015_005M,B18015_006E,B18015_006M,B18015_007E,B18015_007M,B18015_008E,B18015_008M,B18015_009E,B18015_009M,B18015_010E,B18015_010M,B18015_011E,B18015_011M,B18015_012E,B18015_012M,B18015_013E,B18015_013M,B18015_014E,B18015_014M,B18015_015E,B18015_015M,B18015_016E,B18015_016M,B18015_017E,B18015_017M,B18015_018E,B18015_018M,B18015_019E,B18015_019M,NAME,B18015_001MA,B18015_001EA,B18015_002EA,B18015_002MA,B18015_003EA,B18015_003MA,B18015_004MA,B18015_004EA,B18015_005MA,B18015_005EA,B18015_006MA,B18015_006EA,B18015_007MA,B18015_007EA,B18015_008EA,B18015_008MA,B18015_009MA,B18015_009EA,B18015_010MA,B18015_010EA,B18015_011MA,B18015_011EA,B18015_012MA,B18015_012EA,B18015_013EA,B18015_013MA,B18015_014MA,B18015_014EA,B18015_015MA,B18015_015EA,B18015_016MA,B18015_016EA,B18015_017MA,B18015_017EA,B18015_018MA,B18015_018EA,B18015_019EA,B18015_019MA,state
0400000US01,1019143,4401,24468,2895,2865,967,1505,523,1360,824,21603,2697,8991,1721,7848,1537,4361,1205,403,312,994675,5211,275355,7944,45923,3422,229432,7798,719320,7798,134773,5389,264267,8790,196058,6721,124222,6119,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157743,2210,2138,692,509,358,261,212,248,277,1629,585,237,197,733,479,591,330,68,111,155605,2340,40520,2909,10214,1577,30306,2748,115085,3321,15521,2177,43928,2889,34765,3407,20871,2575,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1446643,4048,18507,2314,3718,903,1870,764,1848,679,14789,2048,4112,1295,6678,1298,3009,991,990,695,1428136,4105,352433,10900,56961,3563,295472,11772,1075703,12346,232118,9060,356106,12110,293452,11502,194027,8683,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,619891,4369,17400,2301,1105,422,478,287,627,367,16295,2338,4737,1269,9561,1796,1260,522,737,594,602491,5226,153994,6421,23463,2243,130531,5796,448497,5968,68150,4091,191947,6263,116385,4871,72015,4768,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8768514,7402,128295,6654,28208,3047,11760,2199,16448,2411,100087,5811,40102,3742,37430,3156,16258,2681,6297,1236,8640219,10562,2484773,22079,341359,8435,2143414,21922,6155446,20636,1383084,21317,1959441,26749,1441143,20983,1371778,17481,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1142203,4340,16323,2095,2828,836,1260,489,1568,698,13495,2238,4002,1277,6851,1503,1673,684,969,565,1125880,4681,292762,8724,41220,2893,251542,8171,833118,9291,149304,6841,255790,9176,209656,6877,218368,6301,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,710546,2586,8466,1615,1296,554,903,445,393,230,7170,1464,1921,634,3294,1066,1658,527,297,271,702080,3145,227266,5697,28346,2315,198920,5641,474814,6002,49698,3572,162499,7170,113660,5647,148957,5806,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,188453,1532,3575,1255,483,289,68,112,415,250,3092,1177,1623,897,973,560,199,183,297,301,184878,2100,56378,3096,6686,1394,49692,2904,128500,3426,20011,2715,44434,3734,29255,2466,34800,3048,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,168088,4025,1559,657,409,349,297,322,112,136,1150,596,292,310,778,516,12,20,68,113,166529,4154,52142,4417,6285,1205,45857,4447,114387,2996,12804,2257,22968,2566,14057,1911,64558,2835,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3738983,7294,58892,4515,11352,1761,7083,1353,4269,1075,47540,4119,16805,2359,20990,2433,6783,1368,2962,920,3680091,8525,966548,18271,156722,7245,809826,16887,2713543,18223,467129,14732,1018129,18259,690595,14968,537690,11579,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
