GEO_ID,B10053_001E,B10053_001M,B10053_002E,B10053_002M,B10053_003E,B10053_003M,B10053_004E,B10053_004M,B10053_005E,B10053_005M,B10053_006E,B10053_006M,B10053_007E,B10053_007M,B10053_008E,B10053_008M,B10053_009E,B10053_009M,B10053_010E,B10053_010M,B10053_011E,B10053_011M,NAME,B10053_001MA,B10053_001EA,B10053_002MA,B10053_002EA,B10053_003EA,B10053_003MA,B10053_004EA,B10053_004MA,B10053_005EA,B10053_005MA,B10053_006MA,B10053_006EA,B10053_007MA,B10053_007EA,B10053_008EA,B10053_008MA,B10053_009EA,B10053_009MA,B10053_010EA,B10053_010MA,B10053_011EA,B10053_011MA,state
0400000US01,112765,6610,110135,6651,64419,4350,45234,3856,19185,2439,45716,4026,2630,941,241,214,241,214,0,265,2389,943,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15714,2576,12942,2329,5234,1087,2904,824,2330,706,7708,1999,2772,793,1161,563,296,182,865,542,1611,593,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,132142,7426,92249,6311,43121,4269,29133,3465,13988,2067,49128,4728,39893,4361,10841,2569,7701,2143,3140,1014,29052,3505,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66016,4472,63084,4374,39769,3672,29192,3256,10577,1487,23315,2767,2932,1114,379,291,263,258,116,135,2553,1049,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,956156,16048,396709,11964,156764,7237,95767,6056,60997,4392,239945,9146,559447,12165,116306,6447,74372,5132,41934,4386,443141,11758,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,80235,5178,59778,4485,29213,3293,18972,2375,10241,2169,30565,3139,20457,2655,5919,1595,5512,1596,407,272,14538,2244,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,51530,4571,36246,3247,13640,1995,8763,1423,4877,1154,22606,2456,15284,2567,3238,1281,2539,1162,699,515,12046,2278,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16540,2410,13962,2230,5331,1413,3624,1118,1707,817,8631,1596,2578,1030,276,200,113,131,163,160,2302,997,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12185,1773,10884,1619,5929,1231,3286,902,2643,783,4955,1070,1301,839,170,180,39,65,131,165,1131,836,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,367645,12348,240307,8988,111262,6354,71918,4440,39344,3755,129045,6778,127338,7490,31040,3709,18075,2556,12965,2631,96298,6597,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,204536,9377,178953,7730,90539,5525,63658,4942,26881,3062,88414,5905,25583,3626,4799,1325,3610,1233,1189,566,20784,3238,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,50597,4406,37154,4072,10431,1985,5826,1589,4605,1092,26723,3493,13443,2260,2299,834,1104,523,1195,534,11144,1980,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,19860,2265,18666,2117,9465,1539,6353,1425,3112,753,9201,1701,1194,558,327,269,298,265,29,51,867,530,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,246604,10465,176442,8168,81793,5109,55887,4208,25906,2685,94649,5890,70162,5207,17975,2567,12035,2094,5940,1546,52187,4526,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,103220,5990,96759,5687,48567,4006,35332,3348,13235,1983,48192,4246,6461,1215,1986,788,1627,696,359,350,4475,1028,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,29517,2996,27172,2875,13884,1990,9208,1645,4676,1049,13288,1968,2345,728,552,295,508,290,44,68,1793,669,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,37430,3102,31053,2585,16974,1873,12874,1642,4100,1008,14079,1828,6377,1356,2026,751,1765,682,261,276,4351,1241,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,81726,5750,79521,5685,44438,4543,33727,3644,10711,2002,35083,3045,2205,659,866,470,524,317,342,227,1339,573,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,113099,6475,109229,6316,57365,4998,40225,4136,17140,2093,51864,4125,3870,932,864,497,503,314,361,360,3006,860,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
