GEO_ID,B05003D_001E,B05003D_001M,B05003D_002E,B05003D_002M,B05003D_003E,B05003D_003M,B05003D_004E,B05003D_004M,B05003D_005E,B05003D_005M,B05003D_006E,B05003D_006M,B05003D_007E,B05003D_007M,B05003D_008E,B05003D_008M,B05003D_009E,B05003D_009M,B05003D_010E,B05003D_010M,B05003D_011E,B05003D_011M,B05003D_012E,B05003D_012M,B05003D_013E,B05003D_013M,B05003D_014E,B05003D_014M,B05003D_015E,B05003D_015M,B05003D_016E,B05003D_016M,B05003D_017E,B05003D_017M,B05003D_018E,B05003D_018M,B05003D_019E,B05003D_019M,B05003D_020E,B05003D_020M,B05003D_021E,B05003D_021M,B05003D_022E,B05003D_022M,B05003D_023E,B05003D_023M,NAME,B05003D_001MA,B05003D_001EA,B05003D_002MA,B05003D_002EA,B05003D_003MA,B05003D_003EA,B05003D_004EA,B05003D_004MA,B05003D_005EA,B05003D_005MA,B05003D_006MA,B05003D_006EA,B05003D_007MA,B05003D_007EA,B05003D_008MA,B05003D_008EA,B05003D_009MA,B05003D_009EA,B05003D_010EA,B05003D_010MA,B05003D_011EA,B05003D_011MA,B05003D_012MA,B05003D_012EA,B05003D_013MA,B05003D_013EA,B05003D_014MA,B05003D_014EA,B05003D_015EA,B05003D_015MA,B05003D_016EA,B05003D_016MA,B05003D_017MA,B05003D_017EA,B05003D_018MA,B05003D_018EA,B05003D_019MA,B05003D_019EA,B05003D_020MA,B05003D_020EA,B05003D_021EA,B05003D_021MA,B05003D_022EA,B05003D_022MA,B05003D_023MA,B05003D_023EA,state
0400000US01,45882,3284,21090,2359,5696,1145,3709,1011,1987,597,259,218,1728,570,15394,1714,1877,737,13517,1655,6506,1537,7011,1122,24792,1666,6125,864,4156,936,1969,659,592,352,1377,575,18667,1275,2256,557,16411,1376,7515,966,8896,1286,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30151,1962,13603,1555,3421,988,2348,830,1073,739,69,73,1004,737,10182,1001,1912,663,8270,1088,4549,780,3721,1056,16548,1015,3398,596,2438,629,960,398,733,354,227,189,13150,783,2293,702,10857,876,5954,825,4903,888,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,144858,3149,68267,2120,15893,1569,12246,1527,3647,1069,964,559,2683,985,52374,1131,12011,1797,40363,1819,19068,1850,21295,2342,76591,2041,16237,1590,12649,1742,3588,948,1115,528,2473,742,60354,1264,10409,1489,49945,1637,27667,2162,22278,1852,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,28168,2264,12269,1449,3775,883,3158,850,617,361,119,153,498,312,8494,993,1510,602,6984,967,3331,825,3653,771,15899,1354,3876,852,2834,905,1042,484,445,317,597,367,12023,966,2296,817,9727,845,5010,728,4717,803,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4483252,16220,2156194,9442,489071,6306,410838,6462,78233,4271,20187,2669,58046,3932,1667123,5648,391031,9639,1276092,11381,804253,11224,471839,11079,2327058,9582,461143,6080,383352,6512,77791,3407,21690,2332,56101,3928,1865915,6324,376234,9532,1489681,10575,938350,11202,551331,11605,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,133079,3599,62897,2316,14723,1464,10688,1305,4035,890,2067,687,1968,694,48174,1746,14463,2111,33711,2425,17875,1890,15836,2518,70182,2681,16326,1685,10638,1523,5688,1201,2484,824,3204,997,53856,1625,11402,1567,42454,1947,23830,2243,18624,2798,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,117054,2323,56703,1596,13363,1042,8942,1082,4421,1004,1058,465,3363,967,43340,1136,5831,1408,37509,1690,17296,1928,20213,1800,60351,1297,14573,802,9441,1021,5132,915,1749,605,3383,914,45778,874,6563,1304,39215,1303,19627,1548,19588,1490,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24413,1224,11710,936,3164,707,2609,719,555,271,119,149,436,251,8546,495,1203,472,7343,684,3278,877,4065,647,12703,815,3191,665,2377,689,814,544,281,269,533,401,9512,424,1428,468,8084,578,4226,588,3858,666,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19827,454,8738,731,1243,628,558,532,685,678,299,472,386,612,7495,425,2838,989,4657,950,1997,734,2660,905,11089,733,1017,608,351,416,666,534,388,424,278,358,10072,427,3816,739,6256,785,2735,748,3521,900,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,393427,4935,187370,3251,44439,1985,33575,2144,10864,1732,2479,784,8385,1640,142931,2295,21645,2592,121286,3314,70760,3494,50526,3328,206057,3608,42506,2577,31331,2406,11175,1655,4483,1049,6692,1254,163551,2093,20755,1874,142796,2531,86472,3245,56324,3149,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,254899,4190,123753,2921,32260,1912,25244,1929,7016,1336,1326,489,5690,1248,91493,1918,11436,1478,80057,2312,37155,2866,42902,2694,131146,2807,28263,1784,19121,1832,9142,1687,2693,1017,6449,1427,102883,1974,11062,1573,91821,2189,43992,3188,47829,3354,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
