GEO_ID,C19001_001E,C19001_001M,C19001_002E,C19001_002M,C19001_003E,C19001_003M,C19001_004E,C19001_004M,C19001_005E,C19001_005M,C19001_006E,C19001_006M,C19001_007E,C19001_007M,C19001_008E,C19001_008M,C19001_009E,C19001_009M,C19001_010E,C19001_010M,C19001_011E,C19001_011M,NAME,C19001_001MA,C19001_001EA,C19001_002EA,C19001_002MA,C19001_003EA,C19001_003MA,C19001_004EA,C19001_004MA,C19001_005EA,C19001_005MA,C19001_006MA,C19001_006EA,C19001_007EA,C19001_007MA,C19001_008EA,C19001_008MA,C19001_009EA,C19001_009MA,C19001_010EA,C19001_010MA,C19001_011EA,C19001_011MA,state
0400000US01,1796058,10547,214471,8004,136134,5090,251734,6645,222101,6949,263315,7432,317076,7954,177151,6444,139144,5481,38257,2631,36675,2733,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,229878,2779,10857,1359,12156,1723,19391,1922,20968,1926,33067,2420,46625,2587,34928,2426,32808,2397,11942,1368,7136,1001,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2224992,11475,157970,6649,119346,5838,262123,7662,263161,7929,361468,9530,430461,9567,254497,7645,234786,6079,75164,4328,66016,3680,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1103428,7576,123334,5625,87520,4520,169026,6422,148555,5580,180314,5432,192546,5706,100180,4745,67585,3048,18148,2026,16220,1591,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12151227,18090,725384,13327,635741,13013,1227858,17567,1173340,16371,1630433,19847,2223011,20025,1540744,16791,1696673,18409,649855,11116,648188,10594,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1846988,9333,126996,5116,91361,5569,189609,5761,198815,7277,275863,9098,351977,8318,236793,7383,228497,5889,77150,3709,69927,3273,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1325443,5814,75192,3815,58495,3816,110570,5003,114180,4524,165235,5381,246658,7013,186681,5706,202594,5889,76751,3762,89087,3567,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,320110,3955,19502,2389,14270,1556,34384,2693,31584,2881,51015,3553,63639,3839,42746,2986,41398,2897,11434,1430,10138,1290,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250456,3518,32514,3303,11341,1635,23052,2575,21752,2350,31591,2531,39551,2632,26368,2398,29332,2519,14437,1847,20518,2022,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106042,22495,543202,12079,423588,9471,882568,14266,879081,14557,1128398,18841,1360289,16241,776410,14189,680283,13726,204551,7386,227672,6377,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3376763,13781,295856,8831,203058,7246,383432,9976,388058,9399,510601,12980,642256,13806,387701,8547,348030,8751,115325,5149,102446,4368,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,432632,4384,28645,2688,16861,2040,35600,2731,35980,2920,58468,3529,86231,4411,61833,3694,66948,3726,22108,2138,19958,2006,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,548555,3560,38428,2948,34751,2767,71609,3382,76740,3812,91152,3885,115942,4494,58180,3167,41912,2617,10708,1583,9133,1261,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4724252,12168,355873,8057,253554,7877,497633,9270,474005,11682,675797,11036,932786,12303,594478,11698,570317,9827,190063,6054,179746,6686,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2435274,11216,192319,7429,142295,5622,301314,8042,298933,7338,391308,9680,506596,10236,291886,7714,212112,6184,55073,3576,43438,2267,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1208765,6039,87020,4238,77454,3937,147607,5339,154175,5265,208489,5691,250560,5605,138648,4511,98594,3484,23796,1742,22422,1658,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1088288,6040,82277,3411,66629,3587,133196,4823,135841,4564,175601,5659,212727,5161,129146,4821,101361,3734,27302,2554,24208,1888,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1651911,8409,189056,7648,129220,5205,230509,7393,193983,6205,261394,7582,298651,6512,162417,5223,127925,5561,32132,2562,26624,2527,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1564978,7812,189775,7111,126415,5663,208748,7159,187488,6646,226021,7602,273808,7713,157611,5016,126305,4269,36044,3327,32763,2750,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
