GEO_ID,C17007_001E,C17007_001M,C17007_002E,C17007_002M,C17007_003E,C17007_003M,C17007_004E,C17007_004M,C17007_005E,C17007_005M,C17007_006E,C17007_006M,C17007_007E,C17007_007M,NAME,C17007_001EA,C17007_001MA,C17007_002EA,C17007_002MA,C17007_003MA,C17007_003EA,C17007_004MA,C17007_004EA,C17007_005EA,C17007_005MA,C17007_006EA,C17007_006MA,C17007_007EA,C17007_007MA,state
0400000US01,738543,14726,234453,9793,96661,5626,137792,6364,504090,11356,249000,7322,255090,7980,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,121274,6833,23354,2740,11559,1807,11795,2003,97920,6114,57778,4368,40142,2971,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1141091,21177,265240,11732,125088,8405,140152,6608,875851,16923,471300,12331,404551,9688,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,459958,10759,144695,6708,59822,4217,84873,4653,315263,8127,154176,5509,161087,5356,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6304706,41884,1449262,25611,658198,16806,791064,19372,4855444,38076,2560354,27175,2295090,24196,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,938139,17237,207841,7892,97911,5380,109930,6177,730298,14305,384483,10035,345815,7996,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,598176,11296,109964,5791,46545,4191,63419,3366,488212,10531,235965,6708,252247,7257,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,156518,6310,34532,3385,14731,2363,19801,2373,121986,5776,59874,3225,62112,3946,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,198347,6451,41521,3607,19741,2299,21780,2456,156826,5638,75884,3895,80942,3240,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3533692,29855,803842,15736,337071,11066,466771,11221,2729850,26274,1422953,19447,1306897,15756,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
