GEO_ID,C05010_001E,C05010_001M,C05010_002E,C05010_002M,C05010_003E,C05010_003M,C05010_004E,C05010_004M,C05010_005E,C05010_005M,C05010_006E,C05010_006M,C05010_007E,C05010_007M,NAME,C05010_001EA,C05010_001MA,C05010_002MA,C05010_002EA,C05010_003MA,C05010_003EA,C05010_004MA,C05010_004EA,C05010_005MA,C05010_005EA,C05010_006EA,C05010_006MA,C05010_007EA,C05010_007MA,state
0400000US01,1023928,6974,461118,12759,433626,11978,27492,3166,562810,12480,538829,12283,23981,2923,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,168603,2003,56318,4641,49492,4274,6826,1646,112285,4650,100353,4876,11932,2217,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1520108,7541,681152,18364,380982,16038,300170,12496,838956,16981,667710,15752,171246,10282,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,633058,6161,314166,10738,283927,10417,30239,2443,318892,10605,299311,10202,19581,2739,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8948851,18890,3614982,37915,1323598,27241,2291384,31415,5333869,35571,3147459,29669,2186410,24944,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1103458,5140,385520,12230,252558,12136,132962,8685,717938,11659,622662,11617,95276,7423,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,778687,3848,190775,8847,146210,8206,44565,4937,587912,9324,475898,10352,112014,6904,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,187413,2970,56186,5220,46212,4606,9974,2303,131227,5284,111485,5279,19742,3626,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101679,2479,52277,3989,46301,4238,5976,1891,49402,3764,39346,3933,10056,1858,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3739678,11783,1509386,25720,981166,20941,528220,19019,2230292,24149,1589044,22853,641248,16635,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2253735,11621,930879,18596,745123,17900,185756,9898,1322856,18620,1140285,18930,182571,10400,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,270287,4440,81528,6995,59252,6142,22276,4039,188759,6886,143455,7596,45304,4564,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,373448,3423,159588,6617,130645,6609,28943,2546,213860,6508,196334,6779,17526,2359,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3049803,9356,1066816,19853,731410,15081,335406,14467,1982987,20281,1574365,16710,408622,12429,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1482603,6182,569418,15174,511605,15285,57813,4828,913185,15486,861874,15329,51311,4956,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,676683,3137,230881,8710,204280,8161,26601,2802,445802,8578,424541,8229,21261,2783,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,655889,3637,241261,8868,197444,8547,43817,4063,414628,8563,381667,8136,32961,3142,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,924413,4949,395485,11512,378350,11816,17135,2555,528928,11086,507769,10992,21159,2781,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1006756,6403,492495,12653,471855,12013,20640,3455,514261,11902,493670,12021,20591,2635,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,265136,2488,101236,5148,95005,5440,6231,2335,163900,5189,155306,5006,8594,1602,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1272445,6726,300400,13727,233741,13098,66659,5805,972045,13701,791354,13810,180691,9102,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1386540,5465,347371,9951,241063,9455,106308,8169,1039169,10667,838389,11560,200780,8457,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2337313,7811,862446,17876,762485,17008,99961,8015,1474867,17617,1336478,18645,138389,7764,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1200350,5132,335222,9477,256059,9617,79163,6606,865128,9529,789900,8887,75228,4569,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
