GEO_ID,C03002_001E,C03002_001M,C03002_002E,C03002_002M,C03002_003E,C03002_003M,C03002_004E,C03002_004M,C03002_005E,C03002_005M,C03002_006E,C03002_006M,C03002_007E,C03002_007M,C03002_008E,C03002_008M,C03002_009E,C03002_009M,C03002_010E,C03002_010M,C03002_011E,C03002_011M,C03002_012E,C03002_012M,NAME,C03002_001EA,C03002_001MA,C03002_002MA,C03002_002EA,C03002_003MA,C03002_003EA,C03002_004MA,C03002_004EA,C03002_005EA,C03002_005MA,C03002_006EA,C03002_006MA,C03002_007EA,C03002_007MA,C03002_008MA,C03002_008EA,C03002_009MA,C03002_009EA,C03002_010MA,C03002_010EA,C03002_011MA,C03002_011EA,C03002_012EA,C03002_012MA,state
0400000US01,4599030,0,4487598,1722,3171700,1221,1204136,4373,19524,2400,45539,3286,1416,1212,2828,1146,42455,3709,1411,665,41044,3625,111432,1722,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,670053,0,632555,854,443944,665,20419,1969,86688,2860,29622,1823,3526,722,616,511,47740,4253,656,562,47084,4268,37498,854,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6166318,0,4362941,0,3668571,2336,198854,4099,252214,4935,139386,2682,9326,1286,10410,2024,84180,7473,4573,1336,79607,7180,1803377,0,Arizona,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,04
0400000US05,2810872,0,2672589,1791,2145922,1207,435987,4599,21166,2161,28016,2252,1929,416,2325,1123,37244,3948,1060,625,36184,3821,138283,1791,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36457549,0,23383394,0,15600175,11660,2201043,11673,168486,6350,4424529,15210,120837,3384,150184,12651,718140,19834,53680,4520,664460,19442,13074155,0,California,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,06
0400000US08,4753377,0,3818967,0,3400011,2328,170995,4351,29223,2538,127082,2659,3700,548,9937,2268,78019,5318,3872,1084,74147,5418,934410,0,Colorado,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,08
0400000US09,3504809,0,3112874,0,2610863,3558,321569,3683,6493,1177,116322,2229,914,541,13958,4089,42755,3915,3834,1673,38921,3458,391935,0,Connecticut,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,09
0400000US10,853476,0,799640,0,586778,1087,173855,1620,2519,631,23678,938,154,182,2092,1159,10564,1954,597,517,9967,1847,53836,0,Delaware,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,10
0400000US11,581530,0,533755,0,183519,532,319076,2464,1563,311,19637,415,203,206,1969,1031,7788,2291,672,566,7116,2199,47775,0,District of Columbia,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,11
0400000US12,18089889,0,14446900,1791,11040168,8986,2700306,9731,46767,4262,385579,4605,7127,1632,63736,8463,203217,10578,21773,4192,181444,9663,3642989,1791,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9363941,0,8667795,2291,5501019,3920,2774395,8618,16687,2484,253808,4179,3736,1843,24726,4408,93424,7159,4901,1492,88523,7170,696146,2291,Georgia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1285498,0,1185834,0,315822,649,26815,2051,3117,879,501454,9914,105515,4111,1396,694,231715,11202,1441,714,230274,11222,99664,0,Hawaii,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,15
0400000US16,1466465,0,1327594,0,1265241,450,6105,1008,13708,1678,14884,1361,2021,851,666,361,24969,1769,611,361,24358,1750,138871,0,Idaho,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,16
0400000US17,12831970,0,10943531,1882,8357564,3315,1879591,6660,15407,1755,531905,4050,2826,959,25055,3835,131183,7210,10592,3139,120591,6815,1888439,1882,Illinois,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
