GEO_ID,B17020F_001E,B17020F_001M,B17020F_002E,B17020F_002M,B17020F_003E,B17020F_003M,B17020F_004E,B17020F_004M,B17020F_005E,B17020F_005M,B17020F_006E,B17020F_006M,B17020F_007E,B17020F_007M,B17020F_008E,B17020F_008M,B17020F_009E,B17020F_009M,B17020F_010E,B17020F_010M,B17020F_011E,B17020F_011M,B17020F_012E,B17020F_012M,B17020F_013E,B17020F_013M,B17020F_014E,B17020F_014M,B17020F_015E,B17020F_015M,B17020F_016E,B17020F_016M,B17020F_017E,B17020F_017M,NAME,B17020F_001EA,B17020F_001MA,B17020F_002MA,B17020F_002EA,B17020F_003EA,B17020F_003MA,B17020F_004EA,B17020F_004MA,B17020F_005EA,B17020F_005MA,B17020F_006EA,B17020F_006MA,B17020F_007MA,B17020F_007EA,B17020F_008EA,B17020F_008MA,B17020F_009EA,B17020F_009MA,B17020F_010EA,B17020F_010MA,B17020F_011EA,B17020F_011MA,B17020F_012MA,B17020F_012EA,B17020F_013MA,B17020F_013EA,B17020F_014MA,B17020F_014EA,B17020F_015EA,B17020F_015MA,B17020F_016EA,B17020F_016MA,B17020F_017MA,B17020F_017EA,state
0400000US01,34264,4295,10652,2934,2266,1040,365,313,2024,803,649,537,5227,1661,0,265,121,132,23612,3291,2961,853,705,356,2690,929,1462,647,15528,2242,95,102,171,249,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,621408,18877,120966,12041,15688,2353,2875,938,18348,2973,14786,2622,63738,6908,2654,744,2877,1252,500442,19482,44444,4036,8695,1424,53603,4021,53950,4021,315091,11777,16087,1859,8572,1456,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,65658,5367,18446,3990,3539,1067,802,473,2194,856,1386,653,10209,2365,66,119,250,249,47212,5037,4708,1095,752,411,4834,1200,4846,1120,31417,3342,461,331,194,203,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6162726,59183,1192925,39645,164086,8612,31568,3408,182069,10235,165899,8758,612484,20037,20886,2861,15933,2475,4969801,50092,449524,11306,83338,5496,497890,13131,509118,11298,3201984,32996,138203,5536,89744,5853,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,327833,13792,71037,7543,11077,2185,2419,891,9500,1928,9261,1788,36900,4089,1444,582,436,310,256796,13091,20413,2931,4660,1031,23484,2781,24581,2788,172383,8514,7431,1257,3844,873,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,177554,9866,44707,5956,5943,1418,1603,589,5922,1224,5262,1445,24813,3502,908,481,256,210,132847,9766,10053,1954,1120,553,11352,1831,14272,2029,92065,7228,2305,744,1680,695,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21244,3849,4333,2005,345,255,207,241,686,452,391,480,2704,1289,0,261,0,261,16911,3129,2022,703,386,320,1541,661,1463,805,11038,2112,461,329,0,261,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,27388,3416,4961,2578,281,309,0,292,649,702,1054,771,2977,1318,0,292,0,292,22427,3617,1741,726,294,480,1817,965,1305,626,16910,2471,321,222,39,69,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,755480,24213,137200,11000,19096,3191,3046,863,14887,2723,14932,2742,76999,5824,5267,1181,2973,922,618280,23023,44291,4656,8151,1556,53946,4398,60679,4576,427212,16226,14339,2276,9662,1809,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,348239,13770,82991,10905,15833,3247,2931,869,11286,2438,7713,1818,43538,5622,1379,786,311,344,265248,15075,31664,3483,4858,1235,27068,3605,19307,2845,178069,9731,3349,1293,933,595,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,13265,2268,1310,833,211,237,0,267,188,190,39,64,744,460,94,116,34,61,11955,2177,813,465,43,72,747,401,526,321,9194,1766,221,214,411,226,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,37130,4652,6435,1833,707,410,223,208,1083,460,937,416,3137,940,109,178,239,316,30695,3991,1866,647,731,318,3252,863,3708,921,20312,2668,596,305,230,301,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1079098,22496,205253,18007,29626,3954,5854,1493,31146,4422,26733,3226,105402,9503,3675,859,2817,1034,873845,23424,83065,4784,15500,2293,93249,5126,80542,4809,571360,14319,18874,2102,11255,1947,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
