GEO_ID,C17004_001E,C17004_001M,C17004_002E,C17004_002M,C17004_003E,C17004_003M,C17004_004E,C17004_004M,C17004_005E,C17004_005M,C17004_006E,C17004_006M,C17004_007E,C17004_007M,C17004_008E,C17004_008M,C17004_009E,C17004_009M,NAME,C17004_001EA,C17004_001MA,C17004_002MA,C17004_002EA,C17004_003MA,C17004_003EA,C17004_004EA,C17004_004MA,C17004_005EA,C17004_005MA,C17004_006EA,C17004_006MA,C17004_007EA,C17004_007MA,C17004_008MA,C17004_008EA,C17004_009MA,C17004_009EA,state
0400000US01,3511613,3936,514022,14045,38323,3315,176825,7499,298874,10252,2997591,14508,1344201,14855,733872,13101,919518,13291,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,498719,1441,46566,3961,3637,1123,24506,2558,18423,2539,452153,4497,184479,4985,177629,5180,90045,3490,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4632142,12525,577275,17353,60058,4609,201437,9281,315780,11517,4054867,15827,1823581,16403,1047038,14661,1184248,13205,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2132059,3705,321212,10501,29670,3312,119895,7219,171647,6819,1810847,11528,802488,9757,474520,9215,533839,8234,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27376057,10321,3165126,45025,310717,11449,1120866,20543,1733543,28133,24210931,46204,10508006,43201,6896701,42131,6806224,33034,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3629783,4004,391647,11246,39290,3955,171346,8124,181011,6719,3238136,11598,1526132,14572,1006450,16239,705554,10073,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2687085,3278,201581,8179,11642,2054,74235,4400,115704,6081,2485504,9244,1131171,11723,735146,10707,619187,9943,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,651101,1526,63172,5105,6503,1509,25282,2519,31387,3328,587929,5349,276439,6300,152483,6168,159007,4799,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,451350,1126,74815,5443,3965,1013,24987,2779,45863,4335,376535,5465,199929,4338,91464,5028,85142,3465,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14211464,7172,1611282,27603,139776,6498,527837,15160,943669,18775,12600182,27929,5576669,33147,3091750,27657,3931763,23862,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6952935,5754,901143,21252,85588,5767,316855,10686,498700,16901,6051792,21583,2949198,21524,1579929,21602,1522665,17415,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,995716,1954,87322,6539,6229,1669,27899,3083,53194,5049,908394,7038,427450,8227,232786,7758,248158,6082,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
