GEO_ID,B01002I_001E,B01002I_001M,B01002I_002E,B01002I_002M,B01002I_003E,B01002I_003M,NAME,B01002I_001EA,B01002I_001MA,B01002I_002EA,B01002I_002MA,B01002I_003MA,B01002I_003EA,state
0400000US01,24.2,0.9,24.7,1.1,23.6,1.2,Alabama,null,null,null,null,null,null,01
0400000US02,24.5,0.9,23.0,2.1,25.5,1.6,Alaska,null,null,null,null,null,null,02
0400000US04,25.5,0.1,25.5,0.1,25.5,0.2,Arizona,null,null,null,null,null,null,04
0400000US05,24.8,0.5,25.7,0.8,22.9,1.3,Arkansas,null,null,null,null,null,null,05
0400000US06,26.5,0.2,26.3,0.1,26.8,0.1,California,null,null,null,null,null,null,06
0400000US08,27.1,0.2,27.2,0.3,26.9,0.3,Colorado,null,null,null,null,null,null,08
0400000US09,28.0,0.3,27.4,0.3,28.8,0.4,Connecticut,null,null,null,null,null,null,09
0400000US10,25.5,0.9,26.3,2.1,25.3,1.0,Delaware,null,null,null,null,null,null,10
0400000US11,30.4,0.3,30.2,0.1,31.3,0.2,District of Columbia,null,null,null,null,null,null,11
0400000US12,33.2,0.1,31.9,0.2,34.6,0.1,Florida,null,null,null,null,null,null,12
0400000US13,25.9,0.3,26.8,0.3,24.5,0.4,Georgia,null,null,null,null,null,null,13
0400000US15,25.7,0.4,25.3,0.5,26.1,0.5,Hawaii,null,null,null,null,null,null,15
0400000US16,23.8,0.7,24.7,0.8,22.3,1.0,Idaho,null,null,null,null,null,null,16
0400000US17,26.5,0.2,26.7,0.2,26.1,0.2,Illinois,null,null,null,null,null,null,17
0400000US18,25.6,0.4,26.3,0.4,24.3,0.8,Indiana,null,null,null,null,null,null,18
0400000US19,22.8,0.9,23.3,1.5,22.1,1.3,Iowa,null,null,null,null,null,null,19
0400000US20,24.8,0.5,24.5,0.8,25.2,0.8,Kansas,null,null,null,null,null,null,20
0400000US21,26.7,1.1,27.3,1.1,25.1,2.2,Kentucky,null,null,null,null,null,null,21
0400000US22,31.2,0.6,30.1,1.4,32.2,1.6,Louisiana,null,null,null,null,null,null,22
0400000US23,24.6,2.0,26.5,6.0,22.0,5.1,Maine,null,null,null,null,null,null,23
0400000US24,28.3,0.3,28.2,0.3,28.6,0.6,Maryland,null,null,null,null,null,null,24
0400000US25,26.9,0.3,26.0,0.3,27.9,0.4,Massachusetts,null,null,null,null,null,null,25
0400000US26,26.4,0.4,26.6,0.4,26.2,0.7,Michigan,null,null,null,null,null,null,26
0400000US27,25.0,0.4,25.5,0.5,24.2,0.9,Minnesota,null,null,null,null,null,null,27
0400000US28,25.5,0.7,25.5,0.7,25.4,2.1,Mississippi,null,null,null,null,null,null,28
0400000US29,25.3,0.6,25.3,0.9,25.3,1.2,Missouri,null,null,null,null,null,null,29
0400000US30,24.0,2.1,24.9,3.5,22.6,3.2,Montana,null,null,null,null,null,null,30
0400000US31,24.0,0.9,25.7,1.2,22.0,1.0,Nebraska,null,null,null,null,null,null,31
0400000US32,26.5,0.2,26.8,0.3,26.2,0.2,Nevada,null,null,null,null,null,null,32
0400000US33,27.1,2.1,27.0,2.3,27.3,4.4,New Hampshire,null,null,null,null,null,null,33
0400000US34,30.4,0.1,29.7,0.2,31.1,0.2,New Jersey,null,null,null,null,null,null,34
0400000US35,29.3,0.2,28.2,0.4,30.3,0.2,New Mexico,null,null,null,null,null,null,35
0400000US36,30.3,0.2,29.1,0.1,31.5,0.2,New York,null,null,null,null,null,null,36
0400000US37,25.4,0.3,26.3,0.4,24.1,0.5,North Carolina,null,null,null,null,null,null,37
0400000US38,22.9,2.8,25.9,2.1,21.9,2.2,North Dakota,null,null,null,null,null,null,38
0400000US39,26.9,0.4,26.9,0.6,26.8,0.8,Ohio,null,null,null,null,null,null,39
0400000US40,24.3,0.4,24.6,0.5,23.8,0.6,Oklahoma,null,null,null,null,null,null,40
0400000US41,25.3,0.3,25.8,0.4,24.6,0.6,Oregon,null,null,null,null,null,null,41
0400000US42,26.2,0.3,25.9,0.4,26.6,0.6,Pennsylvania,null,null,null,null,null,null,42
0400000US44,25.9,0.4,25.4,0.4,26.5,0.7,Rhode Island,null,null,null,null,null,null,44
0400000US45,26.5,0.6,27.2,0.7,24.7,2.1,South Carolina,null,null,null,null,null,null,45
0400000US46,24.4,3.0,23.5,2.1,26.2,4.0,South Dakota,null,null,null,null,null,null,46
0400000US47,25.7,0.4,26.3,0.6,24.2,1.0,Tennessee,null,null,null,null,null,null,47
0400000US48,26.9,0.2,26.6,0.2,27.2,0.2,Texas,null,null,null,null,null,null,48
0400000US49,24.7,0.3,25.0,0.3,24.2,0.5,Utah,null,null,null,null,null,null,49
0400000US50,25.5,2.3,23.3,4.4,27.6,6.2,Vermont,null,null,null,null,null,null,50
0400000US51,27.1,0.4,27.0,0.4,27.3,0.6,Virginia,null,null,null,null,null,null,51
0400000US53,24.8,0.3,25.3,0.3,24.2,0.4,Washington,null,null,null,null,null,null,53
0400000US54,25.3,4.4,28.4,5.9,20.2,10.9,West Virginia,null,null,null,null,null,null,54
0400000US55,25.5,0.2,26.1,0.5,25.0,0.4,Wisconsin,null,null,null,null,null,null,55
0400000US56,29.5,1.7,29.8,2.8,29.2,2.7,Wyoming,null,null,null,null,null,null,56
0400000US72,34.7,0.1,32.8,0.1,36.4,0.2,Puerto Rico,null,null,null,null,null,null,72
