GEO_ID,B05003H_001E,B05003H_001M,B05003H_002E,B05003H_002M,B05003H_003E,B05003H_003M,B05003H_004E,B05003H_004M,B05003H_005E,B05003H_005M,B05003H_006E,B05003H_006M,B05003H_007E,B05003H_007M,B05003H_008E,B05003H_008M,B05003H_009E,B05003H_009M,B05003H_010E,B05003H_010M,B05003H_011E,B05003H_011M,B05003H_012E,B05003H_012M,B05003H_013E,B05003H_013M,B05003H_014E,B05003H_014M,B05003H_015E,B05003H_015M,B05003H_016E,B05003H_016M,B05003H_017E,B05003H_017M,B05003H_018E,B05003H_018M,B05003H_019E,B05003H_019M,B05003H_020E,B05003H_020M,B05003H_021E,B05003H_021M,B05003H_022E,B05003H_022M,B05003H_023E,B05003H_023M,NAME,B05003H_001EA,B05003H_001MA,B05003H_002MA,B05003H_002EA,B05003H_003EA,B05003H_003MA,B05003H_004MA,B05003H_004EA,B05003H_005MA,B05003H_005EA,B05003H_006EA,B05003H_006MA,B05003H_007MA,B05003H_007EA,B05003H_008EA,B05003H_008MA,B05003H_009MA,B05003H_009EA,B05003H_010MA,B05003H_010EA,B05003H_011MA,B05003H_011EA,B05003H_012EA,B05003H_012MA,B05003H_013MA,B05003H_013EA,B05003H_014MA,B05003H_014EA,B05003H_015MA,B05003H_015EA,B05003H_016MA,B05003H_016EA,B05003H_017EA,B05003H_017MA,B05003H_018MA,B05003H_018EA,B05003H_019MA,B05003H_019EA,B05003H_020MA,B05003H_020EA,B05003H_021EA,B05003H_021MA,B05003H_022MA,B05003H_022EA,B05003H_023EA,B05003H_023MA,state
0400000US01,3171700,1221,1552981,1729,358314,1584,357439,1602,875,419,543,370,332,223,1194667,551,1182735,2140,11932,1968,5719,1211,6213,1441,1618719,1723,334866,1569,333763,1694,1103,452,661,340,442,262,1283853,634,1269738,1872,14115,1697,8987,1269,5128,1009,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,443944,665,231763,654,52616,457,52212,581,404,258,269,230,135,113,179147,444,173781,1441,5366,1389,2219,724,3147,1137,212181,420,49623,400,49431,390,192,155,143,142,49,65,162558,148,156661,1293,5897,1260,3279,811,2618,989,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3668571,2336,1806728,1351,374361,1160,369898,1753,4463,1437,1281,534,3182,1316,1432367,772,1373149,4658,59218,4678,33820,3435,25398,2623,1861843,1778,355856,1326,351584,2018,4272,1473,1682,756,2590,1315,1505987,969,1428368,4900,77619,4617,44490,3436,33129,3163,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2145922,1207,1050506,2050,242594,1996,242068,1994,526,370,179,173,347,330,807912,664,801199,1431,6713,1413,3374,679,3339,1104,1095416,2016,231246,1877,230825,1933,421,259,50,83,371,248,864170,436,855626,1643,8544,1581,5451,1159,3093,759,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15600175,11660,7727595,6836,1519282,3493,1485917,5485,33365,3913,9617,2147,23748,2968,6208313,4848,5600329,14072,607984,13151,381927,11176,226057,8565,7872580,6123,1435431,3523,1403490,4652,31941,3389,9928,1745,22013,2903,6437149,4719,5758042,14687,679107,14349,442740,12210,236367,8052,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3400011,2328,1692198,1774,371171,1225,367622,1674,3549,950,1203,484,2346,809,1321027,1116,1281677,2708,39350,2673,20815,2277,18535,1983,1707813,1884,351006,1278,347402,1488,3604,996,1167,569,2437,821,1356807,1351,1306470,3286,50337,3213,29003,2494,21334,2005,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2610863,3558,1265584,2032,279150,807,273451,1450,5699,1265,1664,639,4035,1144,986434,1564,905238,4661,81196,4493,44798,3430,36398,3189,1345279,1772,265329,605,258423,1741,6906,1679,2210,1006,4696,1295,1079950,1551,983688,5644,96262,5376,54872,3529,41390,4269,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,586778,1087,284523,810,61771,174,61250,459,521,430,107,114,414,415,222752,767,215175,1334,7577,1192,4641,1087,2936,827,302255,520,58063,415,57958,442,105,156,11,19,94,154,244192,215,235711,1645,8481,1652,5793,1198,2688,977,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,183519,532,90652,413,9349,292,9008,249,341,249,97,168,244,190,81303,413,74486,1231,6817,1116,2903,808,3914,906,92867,332,8659,179,8392,297,267,239,46,67,221,231,84208,234,76690,1280,7518,1249,3313,839,4205,1000,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11040168,8986,5395453,6069,1038667,3491,1018832,4653,19835,3152,4954,1309,14881,2673,4356786,4399,4070033,10683,286753,9859,152661,5979,134092,8070,5644715,4905,978934,3532,962184,4448,16750,2422,4595,1320,12155,2085,4665781,3183,4333497,8984,332284,8319,184530,6503,147754,6726,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
