GEO_ID,B18020I_001E,B18020I_001M,B18020I_002E,B18020I_002M,B18020I_003E,B18020I_003M,B18020I_004E,B18020I_004M,B18020I_005E,B18020I_005M,B18020I_006E,B18020I_006M,B18020I_007E,B18020I_007M,B18020I_008E,B18020I_008M,B18020I_009E,B18020I_009M,B18020I_010E,B18020I_010M,B18020I_011E,B18020I_011M,B18020I_012E,B18020I_012M,B18020I_013E,B18020I_013M,B18020I_014E,B18020I_014M,B18020I_015E,B18020I_015M,B18020I_016E,B18020I_016M,B18020I_017E,B18020I_017M,B18020I_018E,B18020I_018M,B18020I_019E,B18020I_019M,B18020I_020E,B18020I_020M,B18020I_021E,B18020I_021M,B18020I_022E,B18020I_022M,B18020I_023E,B18020I_023M,B18020I_024E,B18020I_024M,B18020I_025E,B18020I_025M,B18020I_026E,B18020I_026M,B18020I_027E,B18020I_027M,B18020I_028E,B18020I_028M,B18020I_029E,B18020I_029M,B18020I_030E,B18020I_030M,B18020I_031E,B18020I_031M,NAME,B18020I_001MA,B18020I_001EA,B18020I_002EA,B18020I_002MA,B18020I_003MA,B18020I_003EA,B18020I_004MA,B18020I_004EA,B18020I_005MA,B18020I_005EA,B18020I_006MA,B18020I_006EA,B18020I_007MA,B18020I_007EA,B18020I_008EA,B18020I_008MA,B18020I_009MA,B18020I_009EA,B18020I_010MA,B18020I_010EA,B18020I_011MA,B18020I_011EA,B18020I_012MA,B18020I_012EA,B18020I_013EA,B18020I_013MA,B18020I_014MA,B18020I_014EA,B18020I_015MA,B18020I_015EA,B18020I_016MA,B18020I_016EA,B18020I_017MA,B18020I_017EA,B18020I_018MA,B18020I_018EA,B18020I_019EA,B18020I_019MA,B18020I_020MA,B18020I_020EA,B18020I_021MA,B18020I_021EA,B18020I_022MA,B18020I_022EA,B18020I_023MA,B18020I_023EA,B18020I_024EA,B18020I_024MA,B18020I_025MA,B18020I_025EA,B18020I_026MA,B18020I_026EA,B18020I_027MA,B18020I_027EA,B18020I_028MA,B18020I_028EA,B18020I_029MA,B18020I_029EA,B18020I_030EA,B18020I_030MA,B18020I_031MA,B18020I_031EA,state
0400000US01,70364,1973,5551,1124,2250,683,956,431,780,388,176,169,1294,584,515,307,779,482,3301,872,992,463,740,391,252,233,2309,754,446,288,1863,696,64813,2013,37438,1670,24579,1436,21185,1440,3394,798,12859,1459,10858,1380,2001,682,27375,1469,16416,1633,7411,1254,9005,1376,10959,1230,6784,1263,4175,1136,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,22997,999,3470,943,1446,544,727,388,378,262,349,365,719,313,304,199,415,267,2024,782,531,389,106,114,425,362,1493,731,1210,680,283,273,19527,1234,10188,1026,5156,827,3338,798,1818,744,5032,721,4518,751,514,279,9339,870,4941,808,2639,716,2302,794,4398,727,3096,705,1302,446,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1089424,2977,100297,5893,47216,3513,14471,2008,6823,1368,7648,1409,32745,2781,12953,1693,19792,2429,53081,3984,12124,2388,3772,1148,8352,2072,40957,3311,14043,1993,26914,2542,989127,6648,523339,3893,300598,3102,234226,4206,66372,4217,222741,2749,196129,3730,26612,2785,465788,4807,263047,3747,140252,5456,122795,5387,202741,3284,131574,4539,71167,4306,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,86043,1789,6659,1219,3099,804,995,456,500,338,495,344,2104,728,1679,629,425,301,3560,899,1022,459,240,233,782,391,2538,857,1348,599,1190,579,79384,2036,45915,1904,27646,1620,22662,1854,4984,1104,18269,1761,16789,1784,1480,668,33469,1438,19869,1216,9118,1335,10751,1517,13600,936,8644,1122,4956,1020,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8142053,7723,711705,14170,348609,8943,109597,5342,45568,3720,64029,4611,239012,7707,101212,5313,137800,5813,363096,10434,94895,5461,30668,3207,64227,4489,268201,8416,83139,5952,185062,5892,7430348,16270,3859409,10314,2115126,6900,1572324,10491,542802,11498,1744283,8303,1540190,9812,204093,6116,3570939,12007,1901186,7311,1012236,12598,888950,13297,1669753,8670,1054581,11440,615172,11848,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,578787,2570,65167,5111,33153,3196,9233,2100,3798,1261,5435,1338,23920,2374,9263,1740,14657,2022,32014,3181,8396,1418,3681,1060,4715,1272,23618,2491,8642,1587,14976,1748,513620,5459,273824,3753,155285,2616,126240,3835,29045,3254,118539,2650,103413,3052,15126,2118,239796,3593,132580,2326,72791,3126,59789,3197,107216,2838,71630,3285,35586,3218,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,253380,1518,33473,3437,14531,2412,4838,1359,3184,1176,1654,518,9693,1734,4058,1176,5635,1171,18942,2166,6095,1341,2695,980,3400,932,12847,1664,3423,1048,9424,1293,219907,3648,112870,2664,62654,1691,44337,2095,18317,2009,50216,1763,43436,1962,6780,1532,107037,2176,54912,1695,34052,2167,20860,1877,52125,2138,34705,2321,17420,1980,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,32912,805,2620,986,1320,679,207,200,128,162,79,119,1113,629,435,291,678,462,1300,704,619,540,349,389,270,291,681,380,163,158,518,354,30292,1232,16433,711,9745,613,7456,1031,2289,934,6688,663,5977,779,711,468,13859,909,8141,920,4541,834,3600,843,5718,639,3283,920,2435,752,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34607,550,2896,893,1516,616,390,350,128,156,262,260,1126,502,723,379,403,351,1380,615,257,236,153,198,104,129,1123,581,574,400,549,498,31711,985,17175,699,9844,437,7812,933,2032,869,7331,518,6067,777,1264,595,14536,665,8016,368,5638,609,2378,684,6520,586,5356,782,1164,556,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2383353,4100,232431,8770,113256,6667,29329,3498,14507,2081,14822,2849,83927,4862,38398,3554,45529,3199,119175,6304,22167,2755,9536,1728,12631,1937,97008,5662,29933,3079,67075,4592,2150922,10149,1105654,7331,530620,4695,419573,6925,111047,5464,575034,5559,514563,6669,60471,4359,1045268,6343,469318,3267,276080,5663,193238,6168,575950,5786,403978,7164,171972,6478,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
