GEO_ID,B20017A_001E,B20017A_001M,B20017A_002E,B20017A_002M,B20017A_003E,B20017A_003M,B20017A_004E,B20017A_004M,B20017A_005E,B20017A_005M,B20017A_006E,B20017A_006M,B20017A_007E,B20017A_007M,NAME,B20017A_001EA,B20017A_001MA,B20017A_002EA,B20017A_002MA,B20017A_003MA,B20017A_003EA,B20017A_004MA,B20017A_004EA,B20017A_005MA,B20017A_005EA,B20017A_006EA,B20017A_006MA,B20017A_007EA,B20017A_007MA,state
0400000US01,26981,325,33528,775,41903,405,11310,427,20442,377,30163,428,8846,328,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,33987,1843,40952,658,51381,1125,21776,1591,26848,1199,39399,2334,12119,789,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,29055,440,33031,706,41470,383,12334,401,24096,450,34492,666,11060,265,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,23630,402,29726,612,36754,568,11413,398,18498,469,26788,394,8489,465,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31731,136,37975,487,50615,188,15994,262,25594,211,40379,225,11942,119,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30694,222,36510,393,47194,691,14605,869,24395,419,36807,462,11178,226,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,36804,408,45609,642,56354,894,13293,915,29366,752,42965,968,12981,627,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,31895,603,39212,1520,49394,1433,11322,683,26268,1080,36192,755,10678,790,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,50781,1301,57381,4195,72002,3849,24425,4071,44172,3873,63583,4322,15902,2927,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,28465,305,32666,496,40971,242,13593,492,23612,275,32034,178,11259,137,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,30473,215,36365,326,45606,559,11844,296,23735,485,34073,664,10562,253,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,32150,1080,37361,2917,48098,4295,19877,1718,26686,1448,40044,2107,11488,1159,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23899,490,29716,694,39068,1439,12154,557,17507,544,28410,1138,8705,545,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,31231,152,40176,227,50802,271,12216,211,23761,372,36254,273,10704,157,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,27181,217,34177,384,42826,707,11364,299,21037,259,30802,250,9550,261,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,25628,221,31154,297,40191,308,9895,457,20646,275,30030,380,8930,292,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,26339,268,32089,339,41401,334,10132,392,20841,334,30913,391,9084,349,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,25305,278,30965,350,40342,356,11133,351,20224,318,29764,499,8772,296,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,27688,567,36034,502,44787,1041,15976,805,20257,391,30538,467,9493,445,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,25505,341,31080,453,40333,524,11228,467,20633,435,30451,524,9572,539,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,38441,679,46542,564,56429,873,14084,868,30464,427,43267,869,12407,419,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,35204,304,42363,369,54051,971,13542,852,28060,695,41376,315,12257,217,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,27896,326,36264,353,49299,665,11944,222,20980,177,34019,426,10023,161,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
