GEO_ID,B25013_001E,B25013_001M,B25013_002E,B25013_002M,B25013_003E,B25013_003M,B25013_004E,B25013_004M,B25013_005E,B25013_005M,B25013_006E,B25013_006M,B25013_007E,B25013_007M,B25013_008E,B25013_008M,B25013_009E,B25013_009M,B25013_010E,B25013_010M,B25013_011E,B25013_011M,NAME,B25013_001EA,B25013_001MA,B25013_002MA,B25013_002EA,B25013_003EA,B25013_003MA,B25013_004EA,B25013_004MA,B25013_005MA,B25013_005EA,B25013_006EA,B25013_006MA,B25013_007EA,B25013_007MA,B25013_008EA,B25013_008MA,B25013_009EA,B25013_009MA,B25013_010EA,B25013_010MA,B25013_011MA,B25013_011EA,state
0400000US01,1796058,10547,1289272,11970,217167,7811,397193,7367,349937,8193,324975,7549,506786,9952,121602,5410,154026,5990,152502,5460,78656,4777,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,229878,2779,148249,3302,11605,1241,36306,2389,51977,2638,48361,2929,81629,2772,8180,1269,24454,1953,32596,2464,16399,2048,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2224992,11475,1523041,12956,175203,6494,341597,8827,511879,9226,494362,9638,701951,12863,133014,6186,191110,8395,248727,7990,129100,7072,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1103428,7576,753412,8763,125429,4125,252371,6726,207836,5884,167776,5215,350016,7559,77148,4417,130423,6191,101051,5056,41394,3368,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12151227,18090,7102197,26399,856259,13534,1352952,15578,2208126,22205,2684860,18190,5049030,24989,1092833,16982,1172127,17352,1517565,17098,1266505,17671,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1846988,9333,1269421,10162,94603,4526,259118,7103,379075,7522,536625,8961,577567,10807,93875,5458,159864,6646,191753,6674,132075,5447,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1325443,5814,921382,7687,69044,3085,235399,7550,236220,6635,380719,8648,404061,6979,78856,4030,131573,5168,103803,5395,89829,4263,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,320110,3955,238194,3604,27028,2491,71634,3699,64561,3321,74971,3078,81916,3849,16341,2327,28035,2719,20840,2132,16700,1995,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250456,3518,114586,3453,9288,1196,15015,1732,19211,1876,71072,2912,135870,4564,24685,2569,30671,2805,26751,2504,53763,3488,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106042,22495,4994101,23446,558116,10736,1364874,17313,1517258,17287,1553853,15764,2111941,22368,396769,12529,670877,12806,621912,11848,422383,12621,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
