GEO_ID,C18020_001E,C18020_001M,C18020_002E,C18020_002M,C18020_003E,C18020_003M,C18020_004E,C18020_004M,C18020_005E,C18020_005M,C18020_006E,C18020_006M,C18020_007E,C18020_007M,C18020_008E,C18020_008M,C18020_009E,C18020_009M,C18020_010E,C18020_010M,C18020_011E,C18020_011M,C18020_012E,C18020_012M,C18020_013E,C18020_013M,C18020_014E,C18020_014M,C18020_015E,C18020_015M,NAME,C18020_001MA,C18020_001EA,C18020_002EA,C18020_002MA,C18020_003EA,C18020_003MA,C18020_004EA,C18020_004MA,C18020_005MA,C18020_005EA,C18020_006MA,C18020_006EA,C18020_007EA,C18020_007MA,C18020_008EA,C18020_008MA,C18020_009EA,C18020_009MA,C18020_010MA,C18020_010EA,C18020_011MA,C18020_011EA,C18020_012MA,C18020_012EA,C18020_013MA,C18020_013EA,C18020_014EA,C18020_014MA,C18020_015MA,C18020_015EA,state
0400000US01,2951988,4297,515649,10922,248413,6588,87772,4177,160641,5398,267236,7885,70911,4005,196325,6678,2436339,11525,1179029,7386,945736,8946,233293,7506,1257310,7861,832755,9225,424555,8149,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,452444,2307,63578,3804,33279,2539,16386,1990,16893,2334,30299,2731,12487,1840,17812,2169,388866,4580,195207,3345,149679,3707,45528,3403,193659,3476,135995,3962,57664,3332,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3860234,5265,437296,10859,209027,6958,87068,4496,121959,5451,228269,7504,76462,4125,151807,6580,3422938,12379,1727927,8124,1411157,10203,316770,9710,1695011,8021,1124217,12233,570794,12851,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1777162,4762,331810,9416,164605,5419,62788,3494,101817,4113,167205,6153,51618,3459,115587,4890,1445352,10473,707737,6679,574310,7690,133427,4954,737615,6782,510310,7768,227305,6326,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23637212,11405,2443463,28342,1195297,18729,468155,11514,727142,13209,1248166,17454,416571,12711,831595,13977,21193749,28162,10651114,20476,8486813,27292,2164301,21630,10542635,18455,6818047,27486,3724588,23902,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3175932,4473,333582,9918,170694,6664,82722,4434,87972,5328,162888,6290,67797,4385,95091,4932,2842350,10282,1431600,7626,1200507,9878,231093,8078,1410750,6565,1003411,9375,407339,9130,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2282855,3703,228855,7564,110401,4892,50204,3614,60197,3457,118454,4617,47021,3588,71433,3820,2054000,8305,1006844,5152,832168,6930,174676,6633,1047156,5220,756264,6938,290892,7253,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,548272,1494,68856,4171,34312,2777,13799,1890,20513,2017,34544,2855,11790,1911,22754,2278,479416,4091,231617,2921,188399,3897,43218,2885,247799,3128,177816,4364,69983,4036,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,396111,4501,43850,3797,20470,2244,6432,1237,14038,1697,23380,2598,7788,1747,15592,1903,352261,5524,163209,4386,123513,3581,39696,3429,189052,2731,134945,3805,54107,3580,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11280359,9827,1399794,20073,684104,15807,286540,10325,397564,10450,715690,14481,250271,8781,465419,11726,9880565,20937,4866707,17392,3984521,20310,882186,12474,5013858,14431,3445251,18788,1568607,15627,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6109836,7200,750334,13133,357803,8709,141969,5620,215834,7652,392531,9500,120050,5681,272481,8333,5359502,13485,2622129,10359,2121044,13405,501085,12431,2737373,11008,1846167,13230,891206,14700,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,801975,3569,77233,4686,43137,3202,17370,2061,25767,2396,34096,2766,14592,1530,19504,2139,724742,5787,350072,3856,284328,4982,65744,3659,374670,3449,267144,4826,107526,4564,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,930511,2620,119140,4854,61961,3569,27166,2477,34795,2738,57179,2877,21557,1966,35622,2470,811371,4969,406290,4332,341093,4700,65197,3238,405081,3301,278935,4669,126146,4759,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8341109,6406,823851,13170,407435,8948,164962,6472,242473,6795,416416,9038,150010,6272,266406,7566,7517258,13738,3734668,9906,3005910,13796,728758,11365,3782590,9716,2610803,14079,1171787,14521,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4087653,4336,517983,11808,251160,8499,108904,5238,142256,6227,266823,7269,91409,4157,175414,6066,3569670,12862,1780994,10043,1447856,10253,333138,8885,1788676,8444,1273682,11761,514994,9856,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1896485,2715,214508,5897,107954,4337,52464,3521,55490,3178,106554,4187,44527,2749,62027,3902,1681977,6407,844723,4711,718799,5752,125924,4498,837254,4558,654095,7114,183159,5285,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1756190,3397,207268,7083,103595,4200,47740,2716,55855,3530,103673,5262,46111,3709,57562,3361,1548922,7621,772580,4944,658293,6486,114287,4398,776342,5736,578528,6434,197814,5917,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2736210,4684,524209,12098,252287,7480,79703,4668,172584,6202,271922,7301,73032,4309,198890,5941,2212001,13445,1090359,8456,879093,9483,211266,7945,1121642,8916,776347,9595,345295,7973,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2732075,5364,438374,11293,227065,7328,77936,4827,149129,5561,211309,7758,67052,4265,144257,6560,2293701,13224,1087548,8184,859312,8471,228236,6439,1206153,9180,780242,9567,425911,9537,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,874798,2300,147097,5528,71366,3773,30465,2502,40901,2571,75731,3646,27655,2491,48076,2835,727701,5814,358069,4071,301063,4627,57006,3005,369632,3958,278360,5109,91272,3707,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3701954,4420,376220,10292,186313,7752,81608,5205,104705,5068,189907,6786,78652,5016,111255,5200,3325734,11184,1588553,8372,1322669,10122,265884,8391,1737181,7135,1281227,10371,455954,8493,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4268589,3903,465282,10946,233538,8878,94420,5831,139118,6644,231744,6731,85642,5049,146102,4993,3803307,11472,1851905,9298,1520143,11450,331762,8768,1951402,7216,1445157,10937,506245,10331,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6583481,5392,888307,13791,443141,8940,153679,5127,289462,7891,445166,8473,136350,4820,308816,6928,5695174,15219,2811265,9624,2171529,12688,639736,10269,2883909,9812,1973410,12022,910499,11720,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
