GEO_ID,C15002B_001E,C15002B_001M,C15002B_002E,C15002B_002M,C15002B_003E,C15002B_003M,C15002B_004E,C15002B_004M,C15002B_005E,C15002B_005M,C15002B_006E,C15002B_006M,C15002B_007E,C15002B_007M,C15002B_008E,C15002B_008M,C15002B_009E,C15002B_009M,C15002B_010E,C15002B_010M,C15002B_011E,C15002B_011M,NAME,C15002B_001MA,C15002B_001EA,C15002B_002MA,C15002B_002EA,C15002B_003MA,C15002B_003EA,C15002B_004EA,C15002B_004MA,C15002B_005MA,C15002B_005EA,C15002B_006EA,C15002B_006MA,C15002B_007EA,C15002B_007MA,C15002B_008MA,C15002B_008EA,C15002B_009MA,C15002B_009EA,C15002B_010MA,C15002B_010EA,C15002B_011MA,C15002B_011EA,state
0400000US01,710635,3556,314837,2457,84465,3768,123422,4978,72406,4325,34544,3152,395798,2660,97218,4266,126630,4575,106166,3915,65784,3827,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12652,1067,6658,835,525,491,2517,1154,2330,1014,1286,798,5994,668,992,694,1513,841,2620,1078,869,502,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,123037,2163,63409,1360,8460,1750,15909,2437,24300,2394,14740,2103,59628,1435,6448,1304,14334,1943,23538,2492,15308,1995,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,248308,3178,111149,2440,27623,2540,47176,3140,26753,2636,9597,1672,137159,2107,30749,2336,50628,3131,35846,2764,19936,2055,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1365596,7114,649288,5242,98676,4944,193126,7665,227931,7006,129555,5880,716308,4325,96744,4733,183397,7538,281040,7154,155127,5563,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,108083,2481,56052,1941,5822,1089,16216,2038,21065,2309,12949,2119,52031,1674,7896,1504,15934,1974,19964,2146,8237,1476,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,196621,2402,89067,1544,15524,1431,34149,2455,26196,2343,13198,1811,107554,1627,20769,1934,35636,2633,35019,2407,16130,2103,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,104931,1110,47741,838,9934,1667,18049,2025,10340,1612,9418,1575,57190,647,9490,1556,22002,2259,14601,1993,11097,1598,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,209733,1652,89023,747,19235,1925,31501,2932,19755,1957,18532,2182,120710,1247,25945,2475,38277,2664,32394,2604,24094,2037,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1590956,7996,737073,5142,184326,6322,269795,8637,178665,7512,104287,5895,853883,5091,184324,7388,293091,8802,232793,6840,143675,7273,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1632711,6577,734292,4950,156965,7063,269368,9051,187258,6966,120701,5216,898419,4025,173055,6110,287004,7122,260487,7762,177873,5308,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,16599,1242,9223,940,413,317,3172,890,3114,1012,2524,799,7376,733,134,164,2004,870,2663,809,2575,931,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,3708,1009,2007,751,386,268,317,265,623,428,681,500,1701,659,155,173,565,430,421,328,560,403,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1106342,4620,487011,3700,105426,3610,162164,6217,142081,4969,77340,4760,619331,3180,112068,5033,173255,6156,218487,6015,115521,5206,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,317551,3216,144263,1937,28584,2803,54696,3580,41348,3298,19635,2599,173288,2174,30610,2183,61731,3768,56603,3244,24344,2609,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,35434,1692,17898,1513,3389,797,6426,1130,5250,1049,2833,838,17536,1361,3748,972,5634,1145,5720,1515,2434,917,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,88462,2038,42577,1601,7130,1438,15051,1871,13403,1598,6993,1311,45885,1274,6922,1276,14704,1408,14353,1727,9906,1487,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,182566,3239,85870,2702,18298,1851,33502,2319,22890,2077,11180,1548,96696,1982,18590,2004,35157,2445,29838,2585,13111,1614,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,765312,4295,342198,3635,112691,4464,133728,5050,66755,4232,29024,2850,423114,2667,116523,5363,142958,5819,103189,4536,60444,3520,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5285,1261,3060,566,287,248,1230,542,829,375,714,468,2225,903,718,522,663,440,221,189,623,384,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1005995,4636,448310,3334,78534,4267,150740,5635,118575,5296,100461,4872,557685,2655,81883,3536,164232,5971,173517,5299,138053,4802,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
