GEO_ID,C11001F_001E,C11001F_001M,C11001F_002E,C11001F_002M,C11001F_003E,C11001F_003M,C11001F_004E,C11001F_004M,C11001F_005E,C11001F_005M,NAME,C11001F_001EA,C11001F_001MA,C11001F_002EA,C11001F_002MA,C11001F_003EA,C11001F_003MA,C11001F_004MA,C11001F_004EA,C11001F_005MA,C11001F_005EA,state
0400000US01,8554,1371,6478,1205,4002,974,2476,676,2076,668,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3435,887,2327,742,1630,623,697,439,1108,644,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,172718,6117,136845,5388,90473,4804,46372,3542,35873,3368,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17266,2153,14253,1694,8571,1814,5682,1244,3013,1126,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1550822,15040,1306489,14997,854372,12050,452117,10966,244333,8001,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,99784,3771,79018,3686,52597,3302,26421,2792,20766,2090,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,54207,2915,41946,2773,19207,1902,22739,2231,12261,1591,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5112,860,3990,798,2375,690,1615,513,1122,592,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8410,1304,5230,1111,3327,1123,1903,701,3180,1079,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,222371,8260,170279,7394,108855,5871,61424,4009,52092,4377,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,87410,4163,67548,3990,43452,4256,24096,2804,19862,2862,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,5035,1063,3305,773,2428,618,877,463,1730,732,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,9988,1415,8609,1344,6744,1200,1865,623,1379,484,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,280590,7170,234232,6590,157279,6653,76953,4569,46358,4084,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,40081,2524,32116,2527,21672,2142,10444,1335,7965,1344,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,12616,1434,10576,1410,7416,1261,3160,926,2040,609,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,29361,2385,21818,1968,13926,1730,7892,1477,7543,1488,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,8263,1393,6991,1306,4131,1055,2860,999,1272,620,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,13051,1634,9316,1320,5873,1104,3443,869,3735,1128,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1269,454,1139,444,713,341,426,209,130,150,Maine,null,null,null,null,null,null,null,null,null,null,23
