GEO_ID,B13008_001E,B13008_001M,B13008_002E,B13008_002M,B13008_003E,B13008_003M,B13008_004E,B13008_004M,B13008_005E,B13008_005M,B13008_006E,B13008_006M,B13008_007E,B13008_007M,B13008_008E,B13008_008M,B13008_009E,B13008_009M,B13008_010E,B13008_010M,B13008_011E,B13008_011M,B13008_012E,B13008_012M,B13008_013E,B13008_013M,B13008_014E,B13008_014M,B13008_015E,B13008_015M,NAME,B13008_001EA,B13008_001MA,B13008_002MA,B13008_002EA,B13008_003MA,B13008_003EA,B13008_004MA,B13008_004EA,B13008_005EA,B13008_005MA,B13008_006EA,B13008_006MA,B13008_007MA,B13008_007EA,B13008_008MA,B13008_008EA,B13008_009MA,B13008_009EA,B13008_010EA,B13008_010MA,B13008_011EA,B13008_011MA,B13008_012MA,B13008_012EA,B13008_013MA,B13008_013EA,B13008_014MA,B13008_014EA,B13008_015EA,B13008_015MA,state
0400000US01,1162158,4285,59396,3731,36872,3323,34108,3012,2764,733,22524,2641,21456,2591,1068,648,1102762,5710,543683,8841,518977,9028,24706,2260,559079,10404,546290,10580,12789,1732,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,179420,1863,12147,1698,8567,1593,7504,1513,1063,503,3580,826,3363,764,217,330,167273,2591,82435,3053,72737,2968,9698,1339,84838,3489,81126,3461,3712,1099,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1504850,3586,88982,4858,59793,3573,42280,3175,17513,2318,29189,3424,23504,3156,5685,1442,1415868,5381,679064,9374,505307,8821,173757,5573,736804,8868,639952,10901,96852,7672,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,687522,3095,41472,3099,25788,2312,23370,2392,2418,695,15684,2421,14628,2270,1056,656,646050,3837,339864,6142,319148,5841,20716,1916,306186,5813,295419,5852,10767,1557,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9446645,8577,515991,13067,356325,10690,193182,8426,163143,6490,159666,7389,110680,5711,48986,3489,8930654,15504,4211094,23082,2318047,20428,1893047,18725,4719560,24499,3657650,26998,1061910,17356,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1235374,3066,69358,4090,51696,3266,42491,2854,9205,1661,17662,2217,15599,2026,2063,938,1166016,5017,597671,9176,498537,7866,99134,4384,568345,10002,517012,9447,51333,3984,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890870,2835,44811,3134,32920,2862,24577,2196,8343,1517,11891,1893,9742,1940,2149,932,846059,3896,407365,7288,327576,6909,79789,4102,438694,7116,393797,6833,44897,4033,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219889,1528,13381,1757,8489,1357,6187,1104,2302,895,4892,1174,4522,1138,370,402,206508,2207,94936,3866,82538,3507,12398,1522,111572,4120,104443,3889,7129,1685,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,169915,984,7758,1329,3665,1098,2665,981,1000,547,4093,1110,3698,1017,395,406,162157,1666,39947,3073,31138,2839,8809,1288,122210,3049,109665,2979,12545,1832,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4337964,7863,221631,9227,137626,5879,98263,5016,39363,3248,84005,6240,70907,5520,13098,2583,4116333,11593,1993638,17795,1431223,16844,562415,12363,2122695,19085,1750285,19111,372410,10808,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
