GEO_ID,B25102_001E,B25102_001M,B25102_002E,B25102_002M,B25102_003E,B25102_003M,B25102_004E,B25102_004M,B25102_005E,B25102_005M,B25102_006E,B25102_006M,B25102_007E,B25102_007M,B25102_008E,B25102_008M,B25102_009E,B25102_009M,B25102_010E,B25102_010M,B25102_011E,B25102_011M,NAME,B25102_001EA,B25102_001MA,B25102_002MA,B25102_002EA,B25102_003MA,B25102_003EA,B25102_004MA,B25102_004EA,B25102_005EA,B25102_005MA,B25102_006EA,B25102_006MA,B25102_007EA,B25102_007MA,B25102_008MA,B25102_008EA,B25102_009MA,B25102_009EA,B25102_010EA,B25102_010MA,B25102_011EA,B25102_011MA,state
0400000US01,1289272,11970,789058,11033,548707,9034,108099,3799,58535,3247,73717,4372,500214,8788,320312,6940,40457,2713,20828,1911,118617,5234,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,148249,3302,102554,3334,6355,1098,10943,1245,75601,3235,9655,1132,45695,2226,7468,1106,5009,968,19645,1605,13573,1098,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1523041,12956,1084174,13330,207395,6541,430014,8993,421804,8853,24961,2108,438867,6668,151688,4385,117399,4053,114803,4624,54977,2982,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,753412,8763,439018,9299,283081,7533,86615,4305,47898,3161,21424,2152,314394,6698,220361,6000,46610,2790,20225,1900,27198,2067,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7102197,26399,5431478,25319,374349,9040,807723,12384,4182258,23022,67148,3793,1670719,15863,408490,7687,401663,6059,724437,11632,136129,4903,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1269421,10162,980544,9125,177305,5792,361017,6856,433569,7578,8653,1388,288877,5949,83930,3760,96548,4038,101238,4225,7161,1119,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,921382,7687,665431,8070,8131,1241,20676,1928,634220,7706,2404,697,255951,5671,7962,1139,11730,1420,234064,5395,2195,586,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238194,3604,158699,3796,57749,3288,56413,2952,41212,2018,3325,826,79495,3215,43887,3031,18769,1670,10543,1523,6296,1148,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114586,3453,87339,3430,16786,2137,16697,1576,49730,2549,4126,1031,27247,2073,9651,1353,7090,1446,9999,1362,507,333,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4994101,23446,3283171,21249,451097,10454,715700,12354,2024803,19462,91571,5028,1710930,16837,466844,10295,367461,9412,725162,13043,151463,4855,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
