GEO_ID,B24082_001E,B24082_001M,B24082_002E,B24082_002M,B24082_003E,B24082_003M,B24082_004E,B24082_004M,B24082_005E,B24082_005M,B24082_006E,B24082_006M,B24082_007E,B24082_007M,B24082_008E,B24082_008M,B24082_009E,B24082_009M,B24082_010E,B24082_010M,B24082_011E,B24082_011M,B24082_012E,B24082_012M,B24082_013E,B24082_013M,B24082_014E,B24082_014M,B24082_015E,B24082_015M,B24082_016E,B24082_016M,B24082_017E,B24082_017M,B24082_018E,B24082_018M,B24082_019E,B24082_019M,B24082_020E,B24082_020M,NAME,B24082_001MA,B24082_001EA,B24082_002EA,B24082_002MA,B24082_003EA,B24082_003MA,B24082_004EA,B24082_004MA,B24082_005MA,B24082_005EA,B24082_006MA,B24082_006EA,B24082_007MA,B24082_007EA,B24082_008EA,B24082_008MA,B24082_009EA,B24082_009MA,B24082_010MA,B24082_010EA,B24082_011MA,B24082_011EA,B24082_012MA,B24082_012EA,B24082_013EA,B24082_013MA,B24082_014EA,B24082_014MA,B24082_015EA,B24082_015MA,B24082_016MA,B24082_016EA,B24082_017MA,B24082_017EA,B24082_018MA,B24082_018EA,B24082_019EA,B24082_019MA,B24082_020EA,B24082_020MA,state
0400000US01,32488,579,32040,313,31459,329,50813,1820,30894,1124,35318,1103,39036,3865,57207,2880,27277,2013,9119,5681,21460,304,20393,335,20222,341,31011,1590,21903,1743,29283,1869,29720,1398,42169,2858,14286,1910,10037,6356,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41626,636,40160,2100,38766,3651,61811,13376,38414,5189,47158,6324,50850,1471,50439,5214,36950,8510,2499,0,27228,1060,23981,1410,23763,1371,36870,7747,31330,1343,31681,4074,37232,3348,38558,3872,19849,5227,7016,6834,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,***,"2,500-",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,33683,637,32356,393,31598,349,60308,4487,34834,3847,40677,1175,37815,2233,50192,1910,30163,2071,17151,7603,25493,363,24333,503,24009,511,32378,5205,27062,1094,31332,1036,31377,943,39803,2204,15428,1500,5480,2167,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30173,324,29872,618,28949,758,47464,6785,31193,2283,31638,1510,33796,2998,48687,3335,25363,1334,30227,21679,20322,363,19013,471,18857,468,25733,6256,22443,1546,25807,1451,26817,2070,36513,2404,11992,839,6179,905,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36991,152,35116,190,33180,365,70002,3551,37582,1344,53119,1176,54160,1744,51184,615,36475,554,12209,3274,27060,182,25143,208,24781,251,40052,2260,32213,464,36301,632,36922,673,44977,1415,20141,485,12685,1757,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,37284,367,36697,397,35711,448,53887,4796,34458,3589,42318,1241,42115,1277,57177,3626,31378,944,7446,6816,26466,369,25409,399,25099,409,32090,2062,30077,1215,31291,931,33293,1985,41913,1570,15445,1848,6342,4353,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,45537,711,44429,1419,42569,1212,68377,6332,41141,2343,51275,1209,55278,3474,54642,3853,41488,1846,50049,26645,30935,406,30096,573,29987,700,38418,8517,31929,1270,35990,1582,48033,2711,46704,2412,20520,1242,16726,10113,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,40061,1054,39258,1880,38869,1938,50656,10697,39006,5562,41537,1538,41791,1999,50042,5475,35013,4481,2866,1476,28772,1094,26974,854,26900,866,30509,5452,30209,3375,36577,2851,34657,4377,46634,2615,21777,4683,2499,0,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"2,500-",***,10
0400000US11,42339,1861,37420,2737,36541,1510,100001,0,37004,4341,42174,3536,46815,14442,68021,8266,60000,9958,-666666666,0,40460,1183,31837,2529,31369,2294,50449,23730,40342,2178,42707,5185,40848,2127,55272,5183,31020,8119,100001,0,District of Columbia,null,null,null,null,null,null,"100,000+",***,null,null,null,null,null,null,null,null,null,null,**,-,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"100,000+",***,11
0400000US12,32308,181,31682,211,30680,221,50240,824,31826,746,40888,536,36761,1081,48772,1877,27152,1187,18382,5190,24821,254,23072,283,22614,292,32493,2317,27464,681,32609,580,31586,565,41570,1240,15585,607,10666,1104,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
