GEO_ID,B10001_001E,B10001_001M,B10001_002E,B10001_002M,B10001_003E,B10001_003M,B10001_004E,B10001_004M,NAME,B10001_001EA,B10001_001MA,B10001_002EA,B10001_002MA,B10001_003MA,B10001_003EA,B10001_004MA,B10001_004EA,state
0400000US01,109731,7973,45485,4276,35126,4055,29120,3276,Alabama,null,null,null,null,null,null,null,null,01
0400000US02,9383,1438,4040,737,3372,704,1971,617,Alaska,null,null,null,null,null,null,null,null,02
0400000US04,109226,7818,54689,5016,30988,3258,23549,3134,Arizona,null,null,null,null,null,null,null,null,04
0400000US05,60675,4548,27967,3099,18918,2638,13790,1685,Arkansas,null,null,null,null,null,null,null,null,05
0400000US06,638058,19406,317296,11917,180788,9090,139974,6378,California,null,null,null,null,null,null,null,null,06
0400000US08,54973,5499,27963,3227,15425,2447,11585,2176,Colorado,null,null,null,null,null,null,null,null,08
0400000US09,30897,3558,13115,1851,9760,1819,8022,1402,Connecticut,null,null,null,null,null,null,null,null,09
0400000US10,11910,2528,6248,1546,2961,936,2701,976,Delaware,null,null,null,null,null,null,null,null,10
0400000US11,16801,2846,7315,1873,4122,1197,5364,1343,District of Columbia,null,null,null,null,null,null,null,null,11
0400000US12,276252,11930,128285,7286,78724,5590,69243,4849,Florida,null,null,null,null,null,null,null,null,12
0400000US13,182811,10582,82996,6572,52034,4700,47781,4173,Georgia,null,null,null,null,null,null,null,null,13
0400000US15,43227,4792,21544,2787,11905,1896,9778,1694,Hawaii,null,null,null,null,null,null,null,null,15
0400000US16,14696,2214,6485,1433,4621,1253,3590,881,Idaho,null,null,null,null,null,null,null,null,16
0400000US17,193488,10718,90171,5978,58282,4872,45035,4253,Illinois,null,null,null,null,null,null,null,null,17
0400000US18,88389,5773,40961,3579,25466,2932,21962,2086,Indiana,null,null,null,null,null,null,null,null,18
0400000US19,22696,2829,10759,1707,6524,1416,5413,1152,Iowa,null,null,null,null,null,null,null,null,19
0400000US20,32582,3522,15405,2278,9349,1656,7828,1448,Kansas,null,null,null,null,null,null,null,null,20
0400000US21,72310,5313,32022,3546,22108,2631,18180,2538,Kentucky,null,null,null,null,null,null,null,null,21
0400000US22,113464,8165,52249,4522,32736,3438,28479,3237,Louisiana,null,null,null,null,null,null,null,null,22
0400000US23,10274,1794,4183,746,3151,1029,2940,1059,Maine,null,null,null,null,null,null,null,null,23
0400000US24,90368,5731,41191,3526,25845,2924,23332,2760,Maryland,null,null,null,null,null,null,null,null,24
0400000US25,60935,4923,28492,3172,19774,2538,12669,1996,Massachusetts,null,null,null,null,null,null,null,null,25
0400000US26,127466,7406,58099,4489,36704,2849,32663,3348,Michigan,null,null,null,null,null,null,null,null,26
0400000US27,37621,3776,18686,2407,10938,1754,7997,1480,Minnesota,null,null,null,null,null,null,null,null,27
0400000US28,89373,6478,37433,3424,27600,3660,24340,2966,Mississippi,null,null,null,null,null,null,null,null,28
0400000US29,82246,7104,38979,3739,22874,3102,20393,2710,Missouri,null,null,null,null,null,null,null,null,29
