GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014M,B17025_015E,B17025_015M,NAME,B17025_001MA,B17025_001EA,B17025_002MA,B17025_002EA,B17025_003EA,B17025_003MA,B17025_004MA,B17025_004EA,B17025_005EA,B17025_005MA,B17025_006EA,B17025_006MA,B17025_007MA,B17025_007EA,B17025_008EA,B17025_008MA,B17025_009MA,B17025_009EA,B17025_010EA,B17025_010MA,B17025_011EA,B17025_011MA,B17025_012MA,B17025_012EA,B17025_013MA,B17025_013EA,B17025_014MA,B17025_014EA,B17025_015MA,B17025_015EA,state
0400000US01,4482152,2720,742064,20891,716606,20552,713278,20572,3328,977,25458,3012,3132,960,22326,2732,3740088,21126,3637828,21663,3610919,21903,26909,3031,102260,5181,36713,3237,65547,4957,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,651997,1058,70919,7094,64931,6879,64076,6847,855,507,5988,2397,1826,1124,4162,1922,581078,7134,540915,7621,530009,7924,10906,2087,40163,2816,20022,1901,20141,2320,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6052150,12167,857349,27234,669834,22391,660972,21628,8862,1921,187515,12950,34245,3508,153270,12391,5194801,25586,4466576,28991,4406488,28493,60088,5286,728225,16109,237529,9371,490696,15450,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2729090,2973,471155,16444,450679,16345,448617,16215,2062,781,20476,3013,3201,961,17275,2758,2257935,16253,2173924,16190,2159479,16189,14445,2075,84011,4298,26814,2643,57197,3892,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35675356,7967,4690140,69184,3142186,49904,3102266,49331,39920,3770,1547954,35306,377170,12906,1170784,32284,30985216,70372,22741698,70078,22395047,70833,346651,10310,8243518,54234,3850153,34809,4393365,48078,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4653251,2663,556153,17838,455178,16594,449588,16672,5590,1378,100975,8690,14946,2199,86029,8343,4097098,17959,3713594,17195,3656301,17169,57293,4420,383504,13355,134775,6900,248729,12840,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3393432,2120,280108,12632,240159,11188,213415,10689,26744,3148,39949,5492,13502,2199,26447,4565,3113324,12738,2709212,17058,2629529,16796,79683,4414,404112,13054,194813,8757,209299,10678,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,828673,1089,91962,8734,81588,8011,80080,7962,1508,707,10374,2419,2923,1134,7451,2188,736711,8671,679126,9190,668948,9343,10178,1850,57585,4456,25694,3571,31891,3742,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,551161,908,108100,7848,98535,7781,97630,7734,905,632,9565,1947,2624,723,6941,1849,443061,8109,380118,8071,374212,8130,5906,1290,62943,4257,21377,2665,41566,4163,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17686295,6001,2226587,41963,1717189,36787,1643892,35600,73297,6705,509398,18398,158054,7529,351344,16089,15459708,42816,12580923,46698,12148352,44527,432571,14365,2878785,29172,1378053,19637,1500732,24084,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
