GEO_ID,B08007_001E,B08007_001M,B08007_002E,B08007_002M,B08007_003E,B08007_003M,B08007_004E,B08007_004M,B08007_005E,B08007_005M,B08007_006E,B08007_006M,B08007_007E,B08007_007M,B08007_008E,B08007_008M,B08007_009E,B08007_009M,B08007_010E,B08007_010M,B08007_011E,B08007_011M,B08007_012E,B08007_012M,B08007_013E,B08007_013M,B08007_014E,B08007_014M,B08007_015E,B08007_015M,NAME,B08007_001MA,B08007_001EA,B08007_002EA,B08007_002MA,B08007_003MA,B08007_003EA,B08007_004MA,B08007_004EA,B08007_005EA,B08007_005MA,B08007_006MA,B08007_006EA,B08007_007EA,B08007_007MA,B08007_008EA,B08007_008MA,B08007_009MA,B08007_009EA,B08007_010EA,B08007_010MA,B08007_011EA,B08007_011MA,B08007_012EA,B08007_012MA,B08007_013EA,B08007_013MA,B08007_014MA,B08007_014EA,B08007_015EA,B08007_015MA,state
0400000US01,1964398,13741,1879835,13768,1438820,13846,441015,9652,84563,4392,1059709,8879,1005410,9102,739130,9344,266280,7789,54299,3169,904689,9095,874425,8744,699690,8630,174735,6364,30264,2791,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,317371,5843,315499,5958,298195,6203,17304,2346,1872,779,170638,3779,168824,3952,155910,4156,12914,2042,1814,779,146733,3962,146675,3957,142285,4095,4390,936,58,64,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2731538,15079,2682224,15062,2578366,15013,103858,5457,49314,4003,1534501,8769,1500499,8835,1434325,9350,66174,4032,34002,2854,1197037,12403,1181725,12633,1144041,12318,37684,3082,15312,2507,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1223692,11014,1180529,10750,931635,12079,248894,6863,43163,3451,657446,7803,630070,7256,487274,7298,142796,5428,27376,2896,566246,7501,550459,7275,444361,7545,106098,4591,15787,1678,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16335802,38058,16254241,38396,13530194,39503,2724047,26384,81561,4452,9151822,25905,9093447,26322,7349521,30741,1743926,23067,58375,3956,7183980,27721,7160794,27808,6180673,25452,980121,14370,23186,2327,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2392520,12946,2364288,13083,1580933,14490,783355,10773,28232,2790,1321983,9567,1301851,9607,837148,10802,464703,8496,20132,2121,1070537,9461,1062437,9557,743785,9712,318652,7226,8100,1472,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1714985,11199,1604673,10427,1267069,11953,337604,8074,110312,5367,906786,7415,831151,7978,639578,9193,191573,5773,75635,4543,808199,8261,773522,8234,627491,8828,146031,4835,34677,2770,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,398315,6047,345688,6005,321354,6448,24334,2340,52627,3740,207409,4015,174814,4123,161447,4243,13367,1759,32595,2449,190906,4681,170874,4540,159907,4597,10967,1333,20032,2467,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,284007,4734,205362,6368,205362,6368,0,292,78645,4223,137849,3207,95981,4027,95981,4027,0,292,41868,2749,146158,3711,109381,4331,109381,4331,0,292,36777,2932,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8143041,27952,8042849,27707,6617214,28417,1425635,21411,100192,5170,4419938,18469,4345627,18913,3483087,18663,862540,16317,74311,4244,3723103,20249,3697222,19816,3134127,18696,563095,10973,25881,2499,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4295479,20805,4174155,22708,2516054,22527,1658101,17581,121324,6088,2340525,13036,2261352,14011,1311456,13689,949896,13405,79173,4565,1954954,15006,1912803,15511,1204598,16419,708205,12892,42151,3342,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,629113,6949,624869,6914,620677,6836,4192,869,4244,1120,341734,4650,338921,4713,335645,4744,3276,789,2813,802,287379,4551,285948,4471,285032,4468,916,376,1431,603,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
