GEO_ID,C20005A_001E,C20005A_001M,C20005A_002E,C20005A_002M,C20005A_003E,C20005A_003M,C20005A_004E,C20005A_004M,C20005A_005E,C20005A_005M,C20005A_006E,C20005A_006M,C20005A_007E,C20005A_007M,C20005A_008E,C20005A_008M,C20005A_009E,C20005A_009M,C20005A_010E,C20005A_010M,C20005A_011E,C20005A_011M,C20005A_012E,C20005A_012M,C20005A_013E,C20005A_013M,C20005A_014E,C20005A_014M,C20005A_015E,C20005A_015M,C20005A_016E,C20005A_016M,C20005A_017E,C20005A_017M,C20005A_018E,C20005A_018M,C20005A_019E,C20005A_019M,C20005A_020E,C20005A_020M,C20005A_021E,C20005A_021M,C20005A_022E,C20005A_022M,C20005A_023E,C20005A_023M,C20005A_024E,C20005A_024M,C20005A_025E,C20005A_025M,C20005A_026E,C20005A_026M,C20005A_027E,C20005A_027M,C20005A_028E,C20005A_028M,C20005A_029E,C20005A_029M,C20005A_030E,C20005A_030M,C20005A_031E,C20005A_031M,C20005A_032E,C20005A_032M,C20005A_033E,C20005A_033M,C20005A_034E,C20005A_034M,C20005A_035E,C20005A_035M,C20005A_036E,C20005A_036M,C20005A_037E,C20005A_037M,C20005A_038E,C20005A_038M,C20005A_039E,C20005A_039M,NAME,C20005A_001EA,C20005A_001MA,C20005A_002MA,C20005A_002EA,C20005A_003EA,C20005A_003MA,C20005A_004MA,C20005A_004EA,C20005A_005EA,C20005A_005MA,C20005A_006EA,C20005A_006MA,C20005A_007MA,C20005A_007EA,C20005A_008MA,C20005A_008EA,C20005A_009MA,C20005A_009EA,C20005A_010MA,C20005A_010EA,C20005A_011MA,C20005A_011EA,C20005A_012MA,C20005A_012EA,C20005A_013EA,C20005A_013MA,C20005A_014EA,C20005A_014MA,C20005A_015EA,C20005A_015MA,C20005A_016MA,C20005A_016EA,C20005A_017MA,C20005A_017EA,C20005A_018MA,C20005A_018EA,C20005A_019MA,C20005A_019EA,C20005A_020EA,C20005A_020MA,C20005A_021MA,C20005A_021EA,C20005A_022MA,C20005A_022EA,C20005A_023EA,C20005A_023MA,C20005A_024EA,C20005A_024MA,C20005A_025EA,C20005A_025MA,C20005A_026MA,C20005A_026EA,C20005A_027MA,C20005A_027EA,C20005A_028MA,C20005A_028EA,C20005A_029MA,C20005A_029EA,C20005A_030MA,C20005A_030EA,C20005A_031MA,C20005A_031EA,C20005A_032MA,C20005A_032EA,C20005A_033EA,C20005A_033MA,C20005A_034EA,C20005A_034MA,C20005A_035EA,C20005A_035MA,C20005A_036MA,C20005A_036EA,C20005A_037MA,C20005A_037EA,C20005A_038EA,C20005A_038MA,C20005A_039MA,C20005A_039EA,state
0400000US01,2606406,4598,1262385,2802,640214,7779,113,134,640101,7791,11485,1460,61827,3442,104942,5261,200588,7214,142761,5795,118498,4320,622171,7512,330427,6544,291744,6449,133141,4676,58197,3644,31687,2999,37101,2947,17841,1990,13777,1781,1344021,2956,400293,6513,52,87,400241,6523,10140,1540,83776,4845,104052,5095,124465,5112,54598,3174,23210,2237,943728,6908,574453,7950,369275,8111,199079,6404,83103,4137,32400,2835,42092,2915,8636,1429,3965,885,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,365708,2286,191563,1506,91508,3056,0,235,91508,3056,1440,541,4207,1028,11271,1926,26217,2129,23202,1960,25171,2244,100055,3058,28534,1764,71521,3213,21514,2165,11742,1707,8692,1241,13210,1670,9989,1668,6374,936,174145,1461,56889,2952,0,235,56889,2952,1018,449,4631,1352,10508,1574,22328,2309,13190,1465,5214,1009,117256,3214,46883,2846,70373,3108,29944,2596,13319,1665,8788,1271,10442,1479,5972,1213,1908,570,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3728344,13857,1847938,9081,923056,12603,104,120,922952,12604,15352,2225,108123,6520,155027,7144,270723,8571,181515,6235,192212,6044,924882,11629,482368,6984,442514,11804,186800,7014,91320,5949,50369,3783,54249,3853,30979,2799,28797,2346,1880406,7941,585134,9412,106,126,585028,9413,14256,2087,89325,4504,131147,6244,195138,7067,97703,4506,57459,3597,1295272,12346,759346,11564,535926,10704,244296,8692,127867,6195,56357,3380,68987,4197,26454,2492,11965,1717,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1770693,4959,861001,3590,407822,6674,117,117,407705,6685,8501,1381,51428,3665,86065,4738,132596,4826,71807,3625,57308,2588,453179,6784,238697,5589,214482,6560,95896,4669,45532,3276,26058,2584,26771,2358,12193,1658,8032,1110,909692,2651,276884,6636,101,122,276783,6649,8405,1465,70716,3750,79373,4254,80872,4095,27042,2168,10375,1527,632808,6568,363951,6025,268857,6131,147428,5344,63737,3876,21609,2181,26666,1831,7199,1051,2218,651,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17271624,41807,8592318,23257,4141143,30160,730,404,4140413,30116,62897,4111,432362,11437,544186,13905,981253,15713,884801,14471,1234914,15153,4451175,23841,2082347,15545,2368828,20669,853736,14831,476858,12040,267655,9934,317706,7643,211962,6456,240911,6311,8679306,24252,2499691,18893,534,306,2499157,18831,63805,4165,342156,11528,399747,11141,751416,12182,511529,11733,430504,9566,6179615,23215,3410022,21340,2769593,19986,1177724,17124,598124,11526,322672,8155,333394,7262,211367,6498,126312,6174,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3131383,10150,1557869,6599,820939,9442,192,167,820747,9456,17962,2622,67575,4547,110027,4969,234004,7575,189856,6181,201323,5426,736930,9352,283057,6439,453873,8716,179411,6013,87177,5163,60709,4898,59928,3605,32813,2750,33835,2815,1573514,5531,520795,9121,0,271,520795,9121,13780,1782,61451,3888,101825,5531,184758,5940,102569,4938,56412,3303,1052719,8470,491496,8063,561223,7764,254692,6375,127276,5655,64839,3152,72232,3701,29960,2268,12224,1372,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2273924,7919,1089661,5163,568050,6577,129,113,567921,6570,6452,1105,22652,2584,50978,3722,146373,5280,156348,5777,185118,6013,521611,7384,236692,4915,284919,6774,117785,4864,50778,3869,28501,2717,35361,2657,25542,2173,26952,1980,1184263,4301,370001,6713,49,80,369952,6730,5127,1180,24408,2440,59695,3858,130100,5482,90391,3969,60231,3759,814262,8102,416078,7375,398184,6548,158526,4520,87119,4124,54043,3640,51021,3413,33345,2445,14130,1543,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,499777,2673,240551,1775,124068,2902,76,128,123992,2908,1056,613,7639,1310,14922,1585,39258,2604,32096,2631,29021,2092,116483,2923,57358,2416,59125,2754,26206,2022,12297,1589,6137,1080,8047,1518,3651,811,2787,677,259226,1462,85967,3952,58,93,85909,3949,1665,593,8035,1458,19543,2483,32538,2225,15573,1947,8555,1529,173259,4075,95502,3332,77757,3533,37172,2494,15773,2008,8822,1231,9235,1332,5140,1084,1615,482,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,181272,2495,89352,1514,52077,2438,0,292,52077,2438,257,193,2715,1139,4101,1293,8732,1245,11331,1542,24941,1684,37275,2403,12840,1827,24435,2344,7458,1844,3316,1045,3351,1070,3411,945,2286,588,4613,944,91920,1453,41949,2159,0,292,41949,2159,209,238,1968,863,1558,584,9947,1510,11155,1554,17112,1733,49971,2363,17686,1604,32285,2311,12482,1812,5335,1402,3017,813,5825,1184,2431,670,3195,814,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11390279,20220,5534975,12667,2637147,19656,725,469,2636422,19743,37576,3098,296796,9844,467501,11548,803878,13599,528046,9761,502625,10784,2897828,18161,1629336,11324,1268492,17090,498693,10653,269933,10076,155419,6049,166021,5383,88505,4463,89921,4634,5855304,12317,1790993,15511,490,271,1790503,15539,41945,3815,299988,10349,437214,10814,601796,11960,256980,8561,152580,6515,4064311,17878,2520861,17389,1543450,16768,688063,11985,380132,10466,173676,6531,196151,6729,71241,3747,34187,2654,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
