GEO_ID,B12001_001E,B12001_001M,B12001_002E,B12001_002M,B12001_003E,B12001_003M,B12001_004E,B12001_004M,B12001_005E,B12001_005M,B12001_006E,B12001_006M,B12001_007E,B12001_007M,B12001_008E,B12001_008M,B12001_009E,B12001_009M,B12001_010E,B12001_010M,B12001_011E,B12001_011M,B12001_012E,B12001_012M,B12001_013E,B12001_013M,B12001_014E,B12001_014M,B12001_015E,B12001_015M,B12001_016E,B12001_016M,B12001_017E,B12001_017M,B12001_018E,B12001_018M,B12001_019E,B12001_019M,NAME,B12001_001EA,B12001_001MA,B12001_002EA,B12001_002MA,B12001_003MA,B12001_003EA,B12001_004MA,B12001_004EA,B12001_005EA,B12001_005MA,B12001_006EA,B12001_006MA,B12001_007EA,B12001_007MA,B12001_008MA,B12001_008EA,B12001_009MA,B12001_009EA,B12001_010EA,B12001_010MA,B12001_011EA,B12001_011MA,B12001_012EA,B12001_012MA,B12001_013EA,B12001_013MA,B12001_014MA,B12001_014EA,B12001_015MA,B12001_015EA,B12001_016EA,B12001_016MA,B12001_017EA,B12001_017MA,B12001_018EA,B12001_018MA,B12001_019MA,B12001_019EA,state
0400000US01,3682816,2732,1758307,3104,524415,8881,989335,12747,906583,12989,82752,5302,37106,3094,45646,4015,47319,3311,197238,7653,1924509,3452,464300,8525,989309,11521,894118,11704,95191,4888,58452,3832,36739,3257,224841,5590,246059,6935,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,524378,1179,268702,1496,100301,3032,137806,3507,121633,4098,16173,2109,3825,952,12348,1729,4273,739,26322,2404,255676,1636,71597,2855,136494,3750,121650,3715,14844,2219,4452,1194,10392,2002,16056,1658,31529,2977,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4806252,1626,2391494,1991,809989,10150,1268266,12942,1142744,12579,125522,7061,40683,3598,84839,6641,61425,4113,251814,8121,2414758,1720,631529,9086,1250060,12606,1126104,12714,123956,6237,55887,3997,68069,5204,216324,6157,316845,8837,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2237108,2323,1083858,2899,295960,7103,633099,9110,584367,9063,48732,3238,21498,1972,27234,2768,28401,2423,126398,5857,1153250,2475,242500,5482,620589,8638,568917,9446,51672,3997,31554,3040,20118,2347,138694,4874,151467,5548,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,28569779,3305,14185501,4738,5374190,25966,7378359,29465,6397682,31648,980677,19131,280535,9066,700142,17174,308020,8095,1124932,14803,14384278,4184,4358728,22946,7174194,31015,6221104,31367,953090,18410,428585,13050,524505,13792,1242329,16083,1609027,17708,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3778016,2360,1893890,2244,616469,10063,1046895,13121,959503,12901,87392,5772,25330,2620,62062,5320,39143,2889,191383,6974,1884126,2320,480257,7953,1018221,12302,930850,11321,87371,5337,42482,3670,44889,3992,142697,4363,242951,7889,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2839111,909,1365379,1595,465858,6579,749444,7036,694930,7621,54514,4143,16944,1894,37570,3403,37595,2522,112482,5569,1473732,1492,413846,6800,754357,9196,691792,9380,62565,5043,27518,2916,35047,3550,144347,4370,161182,6366,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,685569,860,327645,760,110620,3516,175122,4603,161873,4826,13249,2142,5694,1236,7555,1776,9957,1235,31946,2615,357924,679,104274,3632,176360,4870,156957,5133,19403,2476,11019,2008,8384,1555,34393,1858,42897,2806,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,486138,487,224285,635,127764,3918,73973,4184,56528,3784,17445,2795,7570,1532,9875,2128,5973,908,16575,1576,261853,537,134843,3846,73444,3814,55949,3875,17495,2276,8822,1623,8673,1617,26529,1983,27037,2589,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14789121,3369,7188654,6147,2229277,18452,3959474,23138,3551884,22175,407590,12805,149824,7758,257766,9794,222528,7469,777375,14352,7600467,5678,1811613,15804,3900217,20561,3495346,21814,404871,11172,205727,8360,199144,8686,887842,12748,1000795,16843,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7325075,3740,3571721,4490,1243271,13634,1897432,17052,1684650,19403,212782,8813,75671,5294,137111,6563,74248,3906,356770,10907,3753354,3746,1065537,11693,1859137,17055,1658738,19974,200399,9415,107496,6524,92903,5871,343956,8114,484724,10553,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1039527,595,516879,1104,187083,4331,274630,5017,245036,4980,29594,2843,4543,863,25051,2637,12880,1583,42286,2949,522648,1052,145110,3738,269796,5021,240355,5054,29441,2774,8077,1495,21364,2203,52200,2689,55542,3498,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1140486,1327,570069,1670,154324,4901,339725,6622,321604,6971,18121,2113,8090,1700,10031,1336,12264,1600,63756,4004,570417,1619,118661,3492,330131,6374,314187,6394,15944,1965,7569,1364,8375,1372,48071,2592,73554,4184,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,10169211,2444,4953359,3136,1781789,15516,2640164,18943,2421638,19292,218526,8469,77494,4594,141032,7042,127491,4885,403915,10061,5215852,2805,1536413,12334,2603989,16899,2378959,18204,225030,8024,111929,6168,113101,4643,530365,9296,545085,11522,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5010795,3062,2440311,3002,753400,8622,1352757,10878,1269321,12697,83436,4267,34261,3190,49175,3699,63835,3271,270319,8066,2570484,3240,633575,7501,1341890,10983,1259723,11353,82167,4073,45039,3662,37128,2900,258184,5744,336835,7663,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
