GEO_ID,B18020G_001E,B18020G_001M,B18020G_002E,B18020G_002M,B18020G_003E,B18020G_003M,B18020G_004E,B18020G_004M,B18020G_005E,B18020G_005M,B18020G_006E,B18020G_006M,B18020G_007E,B18020G_007M,B18020G_008E,B18020G_008M,B18020G_009E,B18020G_009M,B18020G_010E,B18020G_010M,B18020G_011E,B18020G_011M,B18020G_012E,B18020G_012M,B18020G_013E,B18020G_013M,B18020G_014E,B18020G_014M,B18020G_015E,B18020G_015M,B18020G_016E,B18020G_016M,B18020G_017E,B18020G_017M,B18020G_018E,B18020G_018M,B18020G_019E,B18020G_019M,B18020G_020E,B18020G_020M,B18020G_021E,B18020G_021M,B18020G_022E,B18020G_022M,B18020G_023E,B18020G_023M,B18020G_024E,B18020G_024M,B18020G_025E,B18020G_025M,B18020G_026E,B18020G_026M,B18020G_027E,B18020G_027M,B18020G_028E,B18020G_028M,B18020G_029E,B18020G_029M,B18020G_030E,B18020G_030M,B18020G_031E,B18020G_031M,NAME,B18020G_001EA,B18020G_001MA,B18020G_002MA,B18020G_002EA,B18020G_003MA,B18020G_003EA,B18020G_004EA,B18020G_004MA,B18020G_005EA,B18020G_005MA,B18020G_006EA,B18020G_006MA,B18020G_007MA,B18020G_007EA,B18020G_008MA,B18020G_008EA,B18020G_009EA,B18020G_009MA,B18020G_010EA,B18020G_010MA,B18020G_011EA,B18020G_011MA,B18020G_012EA,B18020G_012MA,B18020G_013MA,B18020G_013EA,B18020G_014MA,B18020G_014EA,B18020G_015EA,B18020G_015MA,B18020G_016EA,B18020G_016MA,B18020G_017EA,B18020G_017MA,B18020G_018MA,B18020G_018EA,B18020G_019MA,B18020G_019EA,B18020G_020EA,B18020G_020MA,B18020G_021EA,B18020G_021MA,B18020G_022EA,B18020G_022MA,B18020G_023EA,B18020G_023MA,B18020G_024MA,B18020G_024EA,B18020G_025MA,B18020G_025EA,B18020G_026EA,B18020G_026MA,B18020G_027EA,B18020G_027MA,B18020G_028EA,B18020G_028MA,B18020G_029MA,B18020G_029EA,B18020G_030MA,B18020G_030EA,B18020G_031EA,B18020G_031MA,state
0400000US01,25773,2447,9227,1548,4291,959,1030,466,544,340,486,294,3261,810,1203,503,2058,608,4936,992,980,486,263,191,717,406,3956,796,652,365,3304,718,16546,1869,7316,1109,3793,856,2491,741,1302,511,3523,813,3067,781,456,321,9230,1490,4434,914,2457,708,1977,629,4796,1120,3074,970,1722,550,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,27320,3032,4975,1129,2334,695,1064,587,535,431,529,430,1270,459,471,293,799,379,2641,806,745,386,162,129,583,376,1896,723,1015,470,881,470,22345,2741,11645,1871,7492,1302,3830,1046,3662,971,4153,1014,3548,1038,605,353,10700,1640,6567,1208,3683,966,2884,906,4133,1071,3274,839,859,510,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,70024,4772,11860,1875,5380,1202,1427,545,494,325,933,483,3953,1106,1200,547,2753,884,6480,1449,1331,573,673,402,658,400,5149,1350,1526,609,3623,1245,58164,4329,28663,2708,17293,2509,11879,2223,5414,1291,11370,1667,9223,1441,2147,794,29501,3208,16734,2402,10786,1770,5948,1282,12767,1830,8607,1449,4160,966,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20348,2357,7808,1302,4335,1008,826,624,475,456,351,392,3509,874,1201,621,2308,656,3473,732,810,400,159,190,651,339,2663,621,675,292,1988,537,12540,1850,6392,1142,2972,836,2037,636,935,451,3420,811,2835,818,585,358,6148,1215,3697,940,1594,445,2103,796,2451,722,2099,660,352,252,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,614247,16193,96479,5506,47465,4025,18290,2449,5483,1124,12807,2148,29175,2861,10989,1695,18186,2372,49014,3469,14376,2075,6742,1562,7634,1510,34638,2759,11918,1720,22720,1965,517768,15753,250428,9236,151510,7496,96668,5664,54842,4028,98918,5114,85685,4760,13233,1623,267340,9926,160205,6653,91721,4543,68484,4987,107135,5972,80317,5122,26818,2587,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,59657,4659,11097,2015,6228,1457,2074,858,593,402,1481,747,4154,996,1542,621,2612,877,4869,1160,2088,682,1259,533,829,460,2781,827,845,377,1936,736,48560,4079,22011,2653,13978,2101,9619,1722,4359,1177,8033,1224,7211,1172,822,367,26549,2737,16475,2246,10655,1790,5820,1370,10074,1355,7995,1208,2079,752,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31038,3579,4269,1088,1486,709,382,245,86,121,296,202,1104,636,711,624,393,230,2783,859,840,382,430,281,410,264,1943,751,463,364,1480,639,26769,3105,12380,1904,6440,1331,3548,1043,2892,967,5940,1216,4617,1062,1323,532,14389,1918,7756,1351,5123,1203,2633,706,6633,1307,4969,1134,1664,542,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5080,1330,988,474,282,230,5,8,5,8,0,292,277,229,101,128,176,170,706,372,260,211,49,81,211,202,446,301,255,254,191,179,4092,1158,1511,738,955,510,475,293,480,419,556,391,417,346,139,202,2581,834,1655,638,1243,575,412,273,926,457,728,410,198,182,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,166104,8212,27909,3060,14728,2466,4994,1717,1995,1013,2999,1223,9734,1686,4112,1036,5622,1199,13181,1664,2960,796,1267,573,1693,580,10221,1467,4531,994,5690,1041,138195,7325,69401,4526,40263,3625,29932,3493,10331,1805,29138,2604,24936,2454,4202,1046,68794,4873,35495,3481,21354,2297,14141,2385,33299,3071,24388,2498,8911,1283,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
