GEO_ID,C16008_001E,C16008_001M,C16008_002E,C16008_002M,C16008_003E,C16008_003M,C16008_004E,C16008_004M,C16008_005E,C16008_005M,C16008_006E,C16008_006M,C16008_007E,C16008_007M,C16008_008E,C16008_008M,C16008_009E,C16008_009M,C16008_010E,C16008_010M,C16008_011E,C16008_011M,C16008_012E,C16008_012M,C16008_013E,C16008_013M,C16008_014E,C16008_014M,C16008_015E,C16008_015M,C16008_016E,C16008_016M,C16008_017E,C16008_017M,C16008_018E,C16008_018M,C16008_019E,C16008_019M,C16008_020E,C16008_020M,NAME,C16008_001EA,C16008_001MA,C16008_002MA,C16008_002EA,C16008_003MA,C16008_003EA,C16008_004MA,C16008_004EA,C16008_005EA,C16008_005MA,C16008_006EA,C16008_006MA,C16008_007MA,C16008_007EA,C16008_008MA,C16008_008EA,C16008_009EA,C16008_009MA,C16008_010EA,C16008_010MA,C16008_011EA,C16008_011MA,C16008_012EA,C16008_012MA,C16008_013MA,C16008_013EA,C16008_014MA,C16008_014EA,C16008_015MA,C16008_015EA,C16008_016EA,C16008_016MA,C16008_017EA,C16008_017MA,C16008_018MA,C16008_018EA,C16008_019MA,C16008_019EA,C16008_020EA,C16008_020MA,state
0400000US01,4305303,2767,4176793,5741,4096025,7905,55455,5036,16238,1778,6357,1383,2718,1046,128510,4988,40039,3386,14431,1769,4722,1330,8720,1709,9572,1763,2594,1141,88471,4808,13870,1988,47629,2916,8565,2038,15228,2341,3179,1440,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,622572,1070,575987,3890,518547,5645,13298,2517,7756,1483,7000,1354,29386,2015,46585,3622,22339,2411,5406,1025,3247,1053,2467,709,10293,1310,926,1067,24246,2923,2876,1003,6104,1626,4010,1297,10368,2042,888,701,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5687173,1432,4768606,18723,3975320,20509,607313,14700,43577,3156,19335,2651,123061,6294,918567,18755,272698,10194,64770,3977,126162,7249,38865,4699,33205,3263,9696,2236,645869,16206,54212,4872,510537,15178,34778,4269,34595,3740,11747,3904,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2616131,1982,2509692,4243,2439245,5578,50517,2935,10080,1889,6245,1685,3605,2041,106439,4179,30500,2591,8850,1387,10807,1870,2944,778,6916,1071,983,671,75939,3779,8206,1659,55072,3109,3546,1190,7315,1323,1800,1114,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33784883,2490,23949559,49834,18501650,60181,4319467,41065,412189,11930,638223,13766,78030,7711,9835324,49720,4256293,35943,563637,11943,1479268,26556,609040,17580,1477763,20963,126585,8869,5579031,45512,349690,11398,3789887,41653,438242,15603,924718,20337,76494,7743,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4414382,1529,3931796,12749,3578046,14922,273496,9594,48561,3900,21708,2529,9985,2280,482586,12726,149870,7439,42228,3287,40997,4061,27693,3096,33952,3739,5000,1244,332716,13398,33188,3359,230619,10839,26276,3560,30141,4493,12492,3047,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3302738,762,2854348,13319,2530190,15117,207097,7899,98459,6216,11639,1982,6963,1444,448390,13343,210836,9225,66049,4939,32376,3752,81635,5800,24227,2723,6549,1653,237554,11580,43068,4522,69390,5250,90478,7952,28209,3317,6409,2084,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,796385,442,727859,4703,681630,5222,30234,2765,12142,2108,1874,782,1979,1256,68526,4777,28944,3949,11398,2559,4707,1540,5803,1230,4005,854,3031,1364,39582,4221,7227,1633,16821,2457,6394,2022,5953,1403,3187,1313,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,546550,609,473693,4236,442499,4434,18824,2664,8776,1597,1517,736,2077,883,72857,4248,23861,2899,10053,1661,5708,1393,4386,1226,2419,782,1295,520,48996,3941,10222,2144,20491,2898,9014,1966,4811,1288,4458,1476,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16972259,2858,13565856,30765,11921734,34192,1310493,20860,263614,11054,40483,3783,29532,4024,3406403,30226,1546540,19270,390454,12401,756596,14058,260938,10880,103416,5611,35136,3044,1859863,27214,298704,11189,1104879,23674,350212,15195,74149,5420,31919,4585,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
