GEO_ID,B01001F_001E,B01001F_001M,B01001F_002E,B01001F_002M,B01001F_003E,B01001F_003M,B01001F_004E,B01001F_004M,B01001F_005E,B01001F_005M,B01001F_006E,B01001F_006M,B01001F_007E,B01001F_007M,B01001F_008E,B01001F_008M,B01001F_009E,B01001F_009M,B01001F_010E,B01001F_010M,B01001F_011E,B01001F_011M,B01001F_012E,B01001F_012M,B01001F_013E,B01001F_013M,B01001F_014E,B01001F_014M,B01001F_015E,B01001F_015M,B01001F_016E,B01001F_016M,B01001F_017E,B01001F_017M,B01001F_018E,B01001F_018M,B01001F_019E,B01001F_019M,B01001F_020E,B01001F_020M,B01001F_021E,B01001F_021M,B01001F_022E,B01001F_022M,B01001F_023E,B01001F_023M,B01001F_024E,B01001F_024M,B01001F_025E,B01001F_025M,B01001F_026E,B01001F_026M,B01001F_027E,B01001F_027M,B01001F_028E,B01001F_028M,B01001F_029E,B01001F_029M,B01001F_030E,B01001F_030M,B01001F_031E,B01001F_031M,NAME,B01001F_001MA,B01001F_001EA,B01001F_002EA,B01001F_002MA,B01001F_003MA,B01001F_003EA,B01001F_004MA,B01001F_004EA,B01001F_005EA,B01001F_005MA,B01001F_006EA,B01001F_006MA,B01001F_007MA,B01001F_007EA,B01001F_008MA,B01001F_008EA,B01001F_009MA,B01001F_009EA,B01001F_010EA,B01001F_010MA,B01001F_011EA,B01001F_011MA,B01001F_012MA,B01001F_012EA,B01001F_013MA,B01001F_013EA,B01001F_014MA,B01001F_014EA,B01001F_015MA,B01001F_015EA,B01001F_016EA,B01001F_016MA,B01001F_017EA,B01001F_017MA,B01001F_018MA,B01001F_018EA,B01001F_019MA,B01001F_019EA,B01001F_020MA,B01001F_020EA,B01001F_021EA,B01001F_021MA,B01001F_022EA,B01001F_022MA,B01001F_023EA,B01001F_023MA,B01001F_024MA,B01001F_024EA,B01001F_025MA,B01001F_025EA,B01001F_026EA,B01001F_026MA,B01001F_027EA,B01001F_027MA,B01001F_028EA,B01001F_028MA,B01001F_029MA,B01001F_029EA,B01001F_030MA,B01001F_030EA,B01001F_031MA,B01001F_031EA,state
0400000US01,34990,4307,20136,2747,2441,882,3126,939,1289,600,578,420,996,617,2027,615,2436,721,2590,803,2720,685,1472,620,424,293,0,265,37,62,0,265,14854,2150,2873,817,1785,750,711,473,473,314,411,274,1712,701,1714,657,1072,506,2366,607,879,438,508,282,95,102,231,270,24,45,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11968,2391,5547,1328,0,235,199,147,138,151,339,325,746,539,428,264,1100,547,202,233,1467,750,419,211,279,195,147,153,83,104,0,235,6421,1945,654,582,523,441,155,185,325,236,0,235,640,393,483,425,642,386,1349,619,1023,427,581,446,46,83,0,235,0,235,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,633350,18921,326741,11599,29482,2876,30343,2913,32410,2774,17114,2095,12597,1584,27727,2926,31485,3112,31647,2977,50258,3447,34608,2762,16716,1653,8126,1163,3766,924,462,295,306609,10131,31940,3139,29932,2830,27349,2588,17315,1746,11165,1662,24895,2185,24823,2647,25754,2299,45270,2707,33300,2114,16869,1612,10668,1268,5614,979,1715,670,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,68264,5663,37856,3781,4467,923,3863,729,3246,759,1790,546,1067,500,3223,1048,5066,988,3356,874,6700,1476,3046,911,1496,782,265,171,271,256,0,257,30408,2655,4593,981,3203,743,2804,655,921,430,652,398,3843,821,3256,770,2292,598,4945,838,2621,776,843,383,262,284,173,196,0,257,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6296602,59882,3230929,32927,317873,8466,293099,9359,295640,9092,170351,5937,111768,3791,287874,7439,326945,8000,303737,7506,523814,9370,326781,7280,160367,4012,70271,3571,36260,2790,6149,1219,3065673,31071,306905,8775,288426,9077,281023,8807,169018,4983,106612,4248,257032,7270,268876,5871,266084,7215,472729,7788,317911,6931,171886,4214,91338,3937,52204,3762,15629,1994,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,337442,13603,181682,8373,16586,2124,14234,2023,15423,1940,9117,1451,5979,954,17168,2212,19899,2621,18553,2195,29264,2469,19379,2113,9789,1354,4302,1046,1890,574,99,136,155760,7369,15726,1808,15119,1967,12672,1854,8547,1226,3417,852,12815,1727,13062,1683,15030,1731,24653,2218,19468,1794,8194,1286,4732,727,1896,657,429,249,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,183188,9941,96049,5649,7737,1153,8440,1479,7383,1383,5708,1001,3041,766,10736,1980,11344,1686,9416,1637,16391,1888,9676,1661,4070,917,1649,549,260,264,198,227,87139,5509,8580,1501,6040,1304,7414,1178,5343,1011,2651,636,7462,1217,9681,1109,7713,1407,14624,1712,10013,1442,4345,900,1737,639,1309,604,227,276,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21555,3839,11777,2279,1030,567,1557,627,742,420,354,275,617,366,747,371,1245,465,1377,614,2819,999,731,449,254,355,304,333,0,261,0,261,9778,2098,1457,649,1099,555,582,493,413,297,182,213,893,327,1374,683,1270,645,1997,676,254,190,100,165,157,208,0,261,0,261,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28127,3566,15723,1990,1205,422,1641,637,444,392,601,221,536,371,811,424,1903,686,2269,636,3479,710,1654,402,1015,311,126,142,0,292,39,69,12404,2025,1156,573,741,420,1163,544,529,201,932,566,712,410,1057,534,1086,440,2429,439,1608,609,796,369,195,200,0,292,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,770503,24337,402992,13278,30782,3167,29217,3476,34792,2776,18849,2256,15289,1844,39865,2873,43375,3629,42604,3930,72083,4511,38905,3585,23660,2750,9182,1718,3069,817,1320,659,367511,13856,34676,3605,28573,3083,28677,3280,18808,1751,12415,1933,29023,2750,33402,3001,33262,3221,62206,3938,44040,3412,23308,2533,10468,1488,6663,1387,1990,856,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
