GEO_ID,C19101A_001E,C19101A_001M,C19101A_002E,C19101A_002M,C19101A_003E,C19101A_003M,C19101A_004E,C19101A_004M,C19101A_005E,C19101A_005M,C19101A_006E,C19101A_006M,C19101A_007E,C19101A_007M,C19101A_008E,C19101A_008M,C19101A_009E,C19101A_009M,C19101A_010E,C19101A_010M,C19101A_011E,C19101A_011M,NAME,C19101A_001EA,C19101A_001MA,C19101A_002EA,C19101A_002MA,C19101A_003EA,C19101A_003MA,C19101A_004EA,C19101A_004MA,C19101A_005MA,C19101A_005EA,C19101A_006MA,C19101A_006EA,C19101A_007EA,C19101A_007MA,C19101A_008EA,C19101A_008MA,C19101A_009EA,C19101A_009MA,C19101A_010MA,C19101A_010EA,C19101A_011MA,C19101A_011EA,state
0400000US01,894960,9751,39748,3609,30071,2563,82965,3908,100001,4851,141381,5196,200844,6980,128439,5004,109382,4844,31651,2399,30478,2331,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,116019,3658,2722,751,2201,817,4447,883,7694,1207,14082,1826,24839,1917,22308,2120,23077,1933,9024,1213,5625,943,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1184435,11507,44779,3807,33118,3223,103972,5788,122956,5078,185705,5810,246227,7754,170504,5607,168574,5669,56813,3560,51787,3108,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,613147,8046,28146,2934,24990,2535,74804,4061,79569,4877,108927,4651,133907,5090,76744,3633,56136,2809,15587,1711,14337,1553,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5204404,21579,163641,6922,137644,6008,406095,11409,423510,10360,635082,12797,969120,12544,746874,12308,923768,12821,378321,8252,420349,9136,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1016817,9416,33754,2919,25624,2885,68399,4172,85027,4850,135166,5241,211205,6661,165706,6454,172438,5176,62003,3583,57495,3090,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,733661,7207,13935,1801,11961,2069,32760,2347,46244,3394,75758,3939,135464,4215,129321,5078,152940,5287,60865,3335,74413,3371,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,159802,3655,4379,1300,2284,739,9844,1508,13952,1471,24097,2152,33780,2339,26836,2114,29280,2212,7994,1075,7356,1139,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,32186,2237,440,333,432,277,462,260,1103,518,1015,460,2429,683,2703,634,6490,1070,5343,1022,11769,1475,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3659689,19955,125189,7042,112944,5536,332284,9981,384253,10518,582005,11225,802221,11824,508729,10475,484838,10192,151524,6225,175702,5513,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1515624,12191,48770,3531,43468,3679,116439,5891,134175,6406,210383,8274,329413,7854,232641,7017,236129,6343,85063,4274,79143,3899,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,89464,2665,3683,936,2418,827,5027,1137,5307,1225,11262,1753,17736,1978,14434,1743,15924,1944,5771,967,7902,1056,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,359674,5600,13321,1774,13481,1499,37679,3071,43903,2771,62223,3369,88749,4030,46312,2796,36900,2665,9363,1537,7743,1115,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2336485,14712,67144,4178,52969,3952,147300,5567,190928,7315,304756,8263,505796,9429,384977,8705,397766,7253,142792,4430,142057,6268,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
