GEO_ID,C19001H_001E,C19001H_001M,C19001H_002E,C19001H_002M,C19001H_003E,C19001H_003M,C19001H_004E,C19001H_004M,C19001H_005E,C19001H_005M,C19001H_006E,C19001H_006M,C19001H_007E,C19001H_007M,C19001H_008E,C19001H_008M,C19001H_009E,C19001H_009M,C19001H_010E,C19001H_010M,C19001H_011E,C19001H_011M,NAME,C19001H_001MA,C19001H_001EA,C19001H_002MA,C19001H_002EA,C19001H_003EA,C19001H_003MA,C19001H_004MA,C19001H_004EA,C19001H_005MA,C19001H_005EA,C19001H_006EA,C19001H_006MA,C19001H_007MA,C19001H_007EA,C19001H_008EA,C19001H_008MA,C19001H_009EA,C19001H_009MA,C19001H_010MA,C19001H_010EA,C19001H_011EA,C19001H_011MA,state
0400000US42,4113288,12219,269525,7375,254485,5999,480543,8371,464905,9380,619816,9433,820515,11001,504100,9553,441912,8487,134410,4799,123077,5208,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,339614,3509,21978,2480,19466,2094,33423,2802,31722,2801,44655,2697,65609,3483,50796,3486,47614,3202,13044,1439,11307,1521,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1136516,7226,77681,4319,64803,3355,124925,5662,132309,5478,185824,6327,232327,6403,144307,5796,111352,4879,30750,2236,32238,2485,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,285059,2562,22524,1979,18103,1616,34460,2323,36829,2870,46500,2669,61398,2893,33578,2116,21421,2100,4581,844,5665,1130,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1901429,8790,175655,7423,129410,5645,235901,6859,235912,6540,298393,7351,366294,9825,199728,5691,159488,6111,49798,3033,50850,2945,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,4512751,15699,284353,8586,221310,7575,434374,10110,448003,9979,640595,11847,862991,12746,592198,11106,600967,11808,206131,6177,221829,6400,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,704571,5044,34921,2670,27637,2464,70311,3683,75237,3908,117752,5197,163983,5184,95590,4203,78826,3207,22810,2213,17504,1470,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,244828,2411,15305,1544,15267,1863,28284,2047,26684,2081,41401,2681,50700,2468,30511,1867,25807,1768,5973,962,4896,843,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2084533,9020,107165,5297,90582,4665,174542,5547,189015,7278,279621,8128,407579,8989,283617,7520,301990,7402,125244,4430,125178,4530,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,2023434,8354,127165,4981,96389,4625,186942,6019,201936,6287,305174,7810,415539,8388,277838,8003,259813,7265,80314,3954,72324,3733,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,704497,5512,77257,3876,60717,3156,113404,4677,96711,4557,112221,4680,121291,4044,64958,4139,42024,3031,8169,1391,7745,1269,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1980869,8056,107937,4424,108998,3609,211756,5485,223172,5366,314678,7395,442848,8594,270301,5193,206945,5130,49575,2611,44659,2696,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,187322,2603,10825,1667,8412,1336,23071,2178,23746,2378,29405,2261,39926,2536,24171,2078,19796,1757,4768,1029,3202,873,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,15619,1511,3421,712,899,397,1938,591,2190,770,1112,497,2616,778,1173,480,1284,524,563,386,423,318,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
