GEO_ID,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,NAME,B25072_001EA,B25072_001MA,B25072_002MA,B25072_002EA,B25072_003MA,B25072_003EA,B25072_004MA,B25072_004EA,B25072_005EA,B25072_005MA,B25072_006MA,B25072_006EA,B25072_007MA,B25072_007EA,B25072_008MA,B25072_008EA,B25072_009MA,B25072_009EA,B25072_010EA,B25072_010MA,B25072_011EA,B25072_011MA,B25072_012EA,B25072_012MA,B25072_013MA,B25072_013EA,B25072_014MA,B25072_014EA,B25072_015MA,B25072_015EA,B25072_016EA,B25072_016MA,B25072_017EA,B25072_017MA,B25072_018MA,B25072_018EA,B25072_019MA,B25072_019EA,B25072_020EA,B25072_020MA,B25072_021EA,B25072_021MA,B25072_022EA,B25072_022MA,B25072_023EA,B25072_023MA,B25072_024MA,B25072_024EA,B25072_025EA,B25072_025MA,B25072_026MA,B25072_026EA,B25072_027EA,B25072_027MA,B25072_028MA,B25072_028EA,B25072_029EA,B25072_029MA,state
0400000US01,506786,9952,69333,4515,11317,2092,6358,1443,4694,1274,5727,1382,31464,2772,9773,1965,137648,5449,37150,3274,16405,2162,14359,2062,9132,1489,44520,4094,16082,1930,235521,6779,63185,3789,28366,3403,19907,2465,16127,1960,75126,3705,32810,2638,64284,3712,10599,1635,5836,941,6013,979,4762,977,21117,2431,15957,1986,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,81629,2772,10232,1496,1629,507,1013,574,1526,655,1079,599,3297,855,1688,552,24380,2034,6723,1350,3270,947,2296,755,2042,749,7081,1414,2968,730,42549,2481,11530,1543,5422,1105,4644,1087,3303,801,11669,1666,5981,1128,4468,858,824,352,149,129,388,280,761,332,1626,536,720,278,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,701951,12863,91569,5146,15214,2366,11194,1926,8630,1557,8424,1627,42319,3507,5788,1369,206050,7197,55805,3967,29540,3530,25283,2821,18742,2498,66558,4776,10122,1682,322903,9382,90308,5295,40871,3805,33891,3022,28459,2999,107832,5594,21542,2451,81429,4757,11081,1871,5772,1266,8280,1465,7075,1373,37618,3196,11603,1708,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,350016,7559,51368,3340,7406,1585,5936,1371,4562,1203,4340,1455,24478,2875,4646,1356,92517,4265,27557,2580,8984,1635,8393,1535,7239,1348,30242,2921,10102,1886,162194,5490,44248,3608,19250,2605,13367,1734,12189,2063,51412,3970,21728,2580,43937,2817,5795,1116,3649,796,5400,925,3701,906,14472,1702,10920,1427,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5049030,24989,468873,10082,54974,4363,44861,3469,42836,3106,40625,3576,252648,7625,32929,3109,1353254,14855,296606,8157,181628,7603,158248,7600,128291,5725,537293,12920,51188,4496,2655369,21889,618393,12021,319135,9025,294034,9530,229732,7940,1075917,13903,118158,6035,571534,9159,61765,3875,38572,3122,68335,3862,50471,3667,303185,7980,49206,3250,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,577567,10807,90824,4170,14056,2077,8247,1483,9394,1816,8226,1392,45689,3273,5212,1364,169684,6670,41398,3785,25018,2674,20662,2527,15865,2093,59069,3948,7672,1429,258887,8110,62654,4479,35267,2779,29166,2892,19176,2141,94485,4465,18139,2485,58172,3644,8327,1262,6013,1220,7422,1214,4454,1010,25232,2504,6724,1256,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,404061,6979,34028,3080,5607,1272,3901,1133,4114,1074,3255,993,15657,2096,1494,633,97983,5232,25274,2684,12798,1831,13705,1780,10034,1617,32863,3769,3309,1004,202371,6577,53845,3371,24741,2813,22421,2594,18125,2211,75022,4692,8217,1336,69679,3237,9221,1418,6311,1080,9968,1291,6857,1172,30461,2609,6861,1103,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,81916,3849,9094,1542,1097,548,528,285,947,565,1051,600,4589,1121,882,522,24185,2104,7332,1501,3112,902,1718,716,1811,684,9110,1680,1102,506,38681,2734,11522,1463,5487,1316,3604,931,3794,1104,12206,1521,2068,602,9956,1246,1342,489,1065,426,1493,570,584,304,4496,921,976,364,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,135870,4564,13563,1523,1451,527,1671,634,735,408,613,341,7863,1223,1230,649,38564,2184,9099,1537,5577,1203,4951,1083,3261,1015,13130,1748,2546,924,64855,3361,18671,2060,8387,1277,8290,1302,4482,1084,22773,2420,2252,665,18888,1876,4288,996,1567,492,2656,785,1917,638,7510,1427,950,511,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2111941,22368,261613,9105,34546,3626,26293,3138,25197,2778,23369,3139,128415,6967,23793,3279,534018,12105,104513,6637,75109,5073,63028,4364,49550,3801,211190,9194,30628,3527,1020754,14956,216699,7827,121046,6032,112803,5804,91619,5815,414323,12415,64264,4363,295556,7453,32367,3229,19946,2236,27031,2825,26579,2612,152326,5604,37307,3107,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
