GEO_ID,B18045_001E,B18045_001M,B18045_002E,B18045_002M,B18045_003E,B18045_003M,B18045_004E,B18045_004M,B18045_005E,B18045_005M,B18045_006E,B18045_006M,B18045_007E,B18045_007M,NAME,B18045_001MA,B18045_001EA,B18045_002MA,B18045_002EA,B18045_003EA,B18045_003MA,B18045_004MA,B18045_004EA,B18045_005MA,B18045_005EA,B18045_006MA,B18045_006EA,B18045_007MA,B18045_007EA,state
0400000US01,24438,416,10721,1593,17279,4260,7076,1893,24663,417,30869,269,19067,468,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,29979,1168,11131,7882,9858,24527,11490,8059,30107,906,36533,1034,24008,1168,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,27365,257,14397,1844,16593,3035,12363,1914,27477,306,31688,288,22943,445,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,22209,226,10376,1119,10948,792,8567,3427,22393,240,27728,576,18037,414,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29822,214,13964,1197,16678,1782,12222,931,30030,119,34720,320,24295,215,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29688,448,8632,2152,7946,2687,9413,2607,29948,369,35226,372,23717,439,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,34321,609,12515,2570,10951,2990,14557,2817,34652,587,41727,434,27787,710,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30898,513,20055,4674,23800,8980,16806,9169,31030,516,36679,957,25972,810,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,36701,984,14043,6852,9638,10635,16351,7940,36926,1024,39582,1862,35314,1714,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,26569,145,11948,710,15760,1208,10337,867,26687,146,31110,169,22386,143,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,26996,199,11416,1177,10989,1335,12511,2417,27134,200,31997,217,22259,246,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,30150,558,11500,2324,12357,9532,10641,3289,30261,511,35385,815,25969,640,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23541,479,7983,2370,12847,8029,6081,1746,23731,480,29525,764,17463,488,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,29604,273,12176,1531,13689,2795,11019,1882,29832,269,36152,234,23120,326,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,26477,197,9998,1079,11496,1627,8542,1451,26652,202,32867,384,20939,236,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,25310,216,5727,1451,5532,1715,5942,2177,25504,212,30965,301,20564,259,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,25684,278,10391,1931,11752,2090,8273,3330,25825,270,31434,326,20470,316,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,24901,314,9105,1658,9968,2851,8620,1901,25098,259,30757,322,20284,296,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23334,385,9467,1726,14395,4895,6999,1216,23592,393,31406,280,17245,291,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,25180,344,5001,1497,5294,2329,4721,1900,25363,336,30982,452,20612,428,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,35657,310,13700,3592,12595,4192,15100,5090,35844,308,41609,360,30564,312,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,32799,452,11185,1322,13234,2926,10547,1425,33136,446,41134,277,26876,351,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,27002,181,9168,1156,9841,1908,8734,1320,27180,185,35026,401,21137,181,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,30221,144,7443,1631,8523,3178,7022,1335,30430,145,36730,294,24208,361,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,22221,260,8999,2233,12601,4233,5925,3217,22382,275,27710,715,17781,509,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,25399,207,9437,1145,9951,1882,8941,1484,25584,208,31121,249,20879,252,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
