GEO_ID,C19101F_001E,C19101F_001M,C19101F_002E,C19101F_002M,C19101F_003E,C19101F_003M,C19101F_004E,C19101F_004M,C19101F_005E,C19101F_005M,C19101F_006E,C19101F_006M,C19101F_007E,C19101F_007M,C19101F_008E,C19101F_008M,C19101F_009E,C19101F_009M,C19101F_010E,C19101F_010M,C19101F_011E,C19101F_011M,NAME,C19101F_001MA,C19101F_001EA,C19101F_002EA,C19101F_002MA,C19101F_003EA,C19101F_003MA,C19101F_004EA,C19101F_004MA,C19101F_005MA,C19101F_005EA,C19101F_006MA,C19101F_006EA,C19101F_007EA,C19101F_007MA,C19101F_008EA,C19101F_008MA,C19101F_009EA,C19101F_009MA,C19101F_010MA,C19101F_010EA,C19101F_011MA,C19101F_011EA,state
0400000US01,6478,1205,904,576,764,447,1078,494,1314,486,954,430,361,303,512,304,369,308,140,122,82,136,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,136845,5388,7902,1774,7995,1841,20678,2297,19315,2183,27966,2668,27343,2624,14015,1936,9187,1460,1395,515,1049,424,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14253,1694,822,529,922,528,3841,1136,3622,1099,2399,810,1981,684,438,377,199,172,0,257,29,50,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1306489,14997,74030,4070,74824,4534,183714,7506,181016,8154,233808,7562,261857,8253,139147,6271,115337,5185,27376,3076,15380,2052,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,79018,3686,6567,1355,6217,1349,10114,1928,11507,2051,15365,1983,13942,1909,8308,1617,5102,1118,1315,589,581,321,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,41946,2773,5429,1252,3289,1031,7414,1627,5156,1405,5407,1234,7580,1530,3750,1152,2781,687,417,309,723,388,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3990,798,507,389,144,126,397,292,285,225,1235,562,568,299,352,339,451,395,0,261,51,85,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5230,1111,145,144,442,340,833,638,575,387,1075,597,952,591,316,273,436,445,314,264,142,213,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,170279,7394,9493,1570,9573,1651,23368,2751,25598,2986,32911,3784,36982,3297,17112,2194,10346,2089,2466,790,2430,955,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,67548,3990,5066,1446,5440,1683,12115,2155,9989,1972,13594,2103,11188,2237,5043,1142,3910,1162,566,339,637,492,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3305,773,306,286,0,267,134,163,374,284,782,420,875,392,571,396,263,215,0,267,0,267,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8609,1344,218,155,695,301,689,391,1363,572,1952,563,2314,650,994,539,358,243,0,253,26,47,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
