GEO_ID,B25055_001E,B25055_001M,B25055_002E,B25055_002M,B25055_003E,B25055_003M,B25055_004E,B25055_004M,B25055_005E,B25055_005M,B25055_006E,B25055_006M,B25055_007E,B25055_007M,B25055_008E,B25055_008M,B25055_009E,B25055_009M,B25055_010E,B25055_010M,B25055_011E,B25055_011M,B25055_012E,B25055_012M,B25055_013E,B25055_013M,NAME,B25055_001MA,B25055_001EA,B25055_002MA,B25055_002EA,B25055_003MA,B25055_003EA,B25055_004EA,B25055_004MA,B25055_005EA,B25055_005MA,B25055_006MA,B25055_006EA,B25055_007MA,B25055_007EA,B25055_008EA,B25055_008MA,B25055_009EA,B25055_009MA,B25055_010EA,B25055_010MA,B25055_011EA,B25055_011MA,B25055_012MA,B25055_012EA,B25055_013EA,B25055_013MA,state
0400000US01,440318,9527,347335,8510,1273,585,346062,8514,44543,2923,388,360,44155,2902,24418,2509,271,229,24147,2528,24022,2402,2750,785,21272,2134,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,70783,2952,59311,2920,287,234,59024,2945,7678,1194,60,103,7618,1207,1706,483,0,235,1706,483,2088,597,267,202,1821,535,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,662576,12576,531078,11241,1960,959,529118,11322,61074,3642,625,470,60449,3679,29736,2853,389,200,29347,2865,40688,3267,13486,2007,27202,2555,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,308567,7556,245492,7000,962,543,244530,7086,29871,2325,209,224,29662,2314,16350,1689,383,344,15967,1701,16854,1765,2894,756,13960,1721,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4869036,22963,3849995,21184,19359,2368,3830636,20932,490410,11170,3006,836,487404,11232,256651,6435,5339,1162,251312,6585,271980,6389,44153,2931,227827,6702,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,551308,10251,449877,8622,2040,743,447837,8626,48705,3241,368,293,48337,3230,24312,2683,660,409,23652,2695,28414,2427,6847,1106,21567,2020,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,388630,7155,282949,6879,1537,712,281412,6938,42112,2714,284,214,41828,2720,27919,2423,774,550,27145,2323,35650,2417,7198,1250,28452,2277,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,78251,3769,61221,3691,480,324,60741,3683,7939,1257,0,261,7939,1257,3712,815,43,69,3669,824,5379,963,869,355,4510,885,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,132537,4469,97872,4011,276,269,97596,4050,16172,1570,116,186,16056,1557,9477,1346,121,147,9356,1361,9016,1451,1512,571,7504,1312,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2001163,21240,1540789,20057,3848,1291,1536941,19819,198013,6790,2053,862,195960,6696,113389,5221,2349,890,111040,5356,148972,4945,42006,3303,106966,4025,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
