GEO_ID,S1602_C01_001E,S1602_C01_001M,S1602_C01_002E,S1602_C01_002M,S1602_C01_003E,S1602_C01_003M,S1602_C01_004E,S1602_C01_004M,S1602_C01_005E,S1602_C01_005M,S1602_C02_001E,S1602_C02_001M,S1602_C02_002E,S1602_C02_002M,S1602_C02_003E,S1602_C02_003M,S1602_C02_004E,S1602_C02_004M,S1602_C02_005E,S1602_C02_005M,S1602_C03_001E,S1602_C03_001M,S1602_C03_002E,S1602_C03_002M,S1602_C03_003E,S1602_C03_003M,S1602_C03_004E,S1602_C03_004M,S1602_C03_005E,S1602_C03_005M,S1602_C04_001E,S1602_C04_001M,S1602_C04_002E,S1602_C04_002M,S1602_C04_003E,S1602_C04_003M,S1602_C04_004E,S1602_C04_004M,S1602_C04_005E,S1602_C04_005M,NAME,S1602_C01_001EA,S1602_C01_001MA,S1602_C01_002MA,S1602_C01_002EA,S1602_C01_003EA,S1602_C01_003MA,S1602_C01_004MA,S1602_C01_004EA,S1602_C01_005EA,S1602_C01_005MA,S1602_C02_001MA,S1602_C02_001EA,S1602_C02_002EA,S1602_C02_002MA,S1602_C02_003MA,S1602_C02_003EA,S1602_C02_004MA,S1602_C02_004EA,S1602_C02_005MA,S1602_C02_005EA,S1602_C03_001EA,S1602_C03_001MA,S1602_C03_002EA,S1602_C03_002MA,S1602_C03_003EA,S1602_C03_003MA,S1602_C03_004MA,S1602_C03_004EA,S1602_C03_005MA,S1602_C03_005EA,S1602_C04_001MA,S1602_C04_001EA,S1602_C04_002EA,S1602_C04_002MA,S1602_C04_003EA,S1602_C04_003MA,S1602_C04_004MA,S1602_C04_004EA,S1602_C04_005MA,S1602_C04_005EA,state
0400000US01,1841665,12421,55082,3264,21551,2068,18759,1733,5999,1400,-888888888.0,-888888888.0,3.0,0.2,1.2,0.1,1.0,0.1,0.3,0.1,18324,2479,12019,1918,2269,804,3541,908,495,418,1.0,0.1,21.8,3.2,10.5,3.6,18.9,4.8,8.3,6.6,Alabama,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250741,3074,10814,1673,7915,1417,14074,1197,14117,1594,-888888888.0,-888888888.0,4.3,0.7,3.2,0.6,5.6,0.5,5.6,0.6,5207,1061,1424,750,558,400,2620,625,605,268,2.1,0.4,13.2,6.3,7.0,4.9,18.6,4.5,4.3,1.9,Alaska,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2552972,11005,505707,8625,70023,4097,60119,2478,71247,3589,-888888888.0,-888888888.0,19.8,0.3,2.7,0.2,2.4,0.1,2.8,0.1,103077,5455,73950,5082,5951,1091,11442,1477,11734,1344,4.0,0.2,14.6,1.0,8.5,1.4,19.0,2.4,16.5,1.7,Arizona,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1153082,8560,55464,2932,11454,1889,14010,1726,2877,1011,-888888888.0,-888888888.0,4.8,0.3,1.0,0.2,1.2,0.1,0.2,0.1,17628,2564,12108,2116,788,570,4471,1207,261,224,1.5,0.2,21.8,3.7,6.9,4.8,31.9,7.3,9.1,7.4,Arkansas,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13005097,17539,3365758,17218,767977,12156,1449961,11467,153797,6804,-888888888.0,-888888888.0,25.9,0.1,5.9,0.1,11.1,0.1,1.2,0.1,1171562,15323,653537,11949,116492,5566,376465,8888,25068,2842,9.0,0.1,19.4,0.3,15.2,0.7,26.0,0.6,16.3,1.4,California,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2139207,8774,246351,6290,66697,4261,45325,3030,24047,2694,-888888888.0,-888888888.0,11.5,0.3,3.1,0.2,2.1,0.1,1.1,0.1,56775,4176,37429,3333,5817,1254,10382,1814,3147,945,2.7,0.2,15.2,1.2,8.7,1.8,22.9,3.7,13.1,3.8,Colorado,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1356762,6513,165622,4218,108800,5669,35401,2310,18986,2306,-888888888.0,-888888888.0,12.2,0.3,8.0,0.4,2.6,0.2,1.4,0.2,72580,4473,44051,3110,18012,2153,7715,1394,2802,872,5.3,0.3,26.6,1.7,16.6,1.8,21.8,3.6,14.8,4.3,Connecticut,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,357937,4266,24542,1848,13553,1883,10305,1258,3706,1057,-888888888.0,-888888888.0,6.9,0.5,3.8,0.5,2.9,0.4,1.0,0.3,8574,1512,4970,1337,2045,770,1487,410,72,120,2.4,0.4,20.3,5.4,15.1,5.1,14.4,4.0,1.9,3.3,Delaware,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281475,3302,23988,1963,17094,1881,6751,1103,6490,1253,-888888888.0,-888888888.0,8.5,0.7,6.1,0.7,2.4,0.4,2.3,0.4,10135,1740,5605,1296,1341,618,1694,717,1495,617,3.6,0.6,23.4,5.0,7.8,3.5,25.1,9.1,23.0,8.1,District of Columbia,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7689964,22835,1585228,15396,462081,11768,139648,4926,62358,3952,-888888888.0,-888888888.0,20.6,0.2,6.0,0.2,1.8,0.1,0.8,0.1,533993,11837,419532,10514,77823,4597,27902,2793,8736,1818,6.9,0.1,26.5,0.6,16.8,0.9,20.0,1.9,14.0,2.6,Florida,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
