S1902_C01_007M,S1902_C01_008E,S1902_C01_008M,S1902_C01_009E,S1902_C01_009M,S1902_C01_010E,S1902_C01_010M,S1902_C01_011E,S1902_C01_011M,S1902_C01_012E,S1902_C01_012M,S1902_C01_013E,S1902_C01_013M,S1902_C01_014E,S1902_C01_014M,S1902_C01_015E,S1902_C01_015M,S1902_C01_016E,S1902_C01_016M,S1902_C01_017E,S1902_C01_017M,S1902_C01_018E,S1902_C01_018M,S1902_C01_019E,S1902_C01_019M,S1902_C01_020E,S1902_C01_020M,S1902_C01_021E,S1902_C01_021M,S1902_C01_022E,S1902_C01_022M,S1902_C01_023E,S1902_C01_023M,S1902_C01_024E,S1902_C01_024M,S1902_C01_025E,S1902_C01_025M,S1902_C01_026E,S1902_C01_026M,S1902_C01_027E,S1902_C01_027M,S1902_C02_001E,S1902_C02_001M,S1902_C02_002E,S1902_C02_002M,S1902_C02_003E,S1902_C02_003M,S1902_C02_004E,S1902_C02_004M,S1902_C02_005E,S1902_C02_005M,S1902_C02_006E,S1902_C02_006M,S1902_C02_007E,S1902_C02_007M,S1902_C02_008E,S1902_C02_008M,S1902_C02_009E,S1902_C02_009M,S1902_C02_010E,S1902_C02_010M,S1902_C02_011E,S1902_C02_011M,S1902_C02_012E,S1902_C02_012M,S1902_C02_013E,S1902_C02_013M,S1902_C02_014E,S1902_C02_014M,S1902_C02_015E,S1902_C02_015M,S1902_C02_016E,S1902_C02_016M,S1902_C02_017E,S1902_C02_017M,S1902_C02_018E,S1902_C02_018M,S1902_C02_019E,S1902_C02_019M,S1902_C02_020E,S1902_C02_020M,S1902_C02_021E,S1902_C02_021M,S1902_C02_022E,S1902_C02_022M,S1902_C02_023E,S1902_C02_023M,S1902_C02_024E,S1902_C02_024M,S1902_C02_025E,S1902_C02_025M,S1902_C02_026E,S1902_C02_026M,S1902_C02_027E,S1902_C02_027M,GEO_ID,S1902_C01_001E,S1902_C01_001M,S1902_C01_002E,S1902_C01_002M,S1902_C01_003E,S1902_C01_003M,S1902_C01_004E,S1902_C01_004M,S1902_C01_005E,S1902_C01_005M,S1902_C01_006E,S1902_C01_006M,S1902_C01_007E,S1902_C01_007MA,S1902_C01_008EA,S1902_C01_008MA,S1902_C01_009EA,S1902_C01_009MA,S1902_C01_010EA,S1902_C01_010MA,S1902_C01_011MA,S1902_C01_011EA,S1902_C01_012MA,S1902_C01_012EA,S1902_C01_013EA,S1902_C01_013MA,S1902_C01_014EA,S1902_C01_014MA,S1902_C01_015MA,S1902_C01_015EA,S1902_C01_016MA,S1902_C01_016EA,S1902_C01_017MA,S1902_C01_017EA,S1902_C01_018EA,S1902_C01_018MA,S1902_C01_019EA,S1902_C01_019MA,S1902_C01_020EA,S1902_C01_020MA,S1902_C01_021MA,S1902_C01_021EA,S1902_C01_022MA,S1902_C01_022EA,S1902_C01_023MA,S1902_C01_023EA,S1902_C01_024EA,S1902_C01_024MA,S1902_C01_025EA,S1902_C01_025MA,S1902_C01_026MA,S1902_C01_026EA,S1902_C01_027MA,S1902_C01_027EA,S1902_C02_001MA,S1902_C02_001EA,S1902_C02_002EA,S1902_C02_002MA,S1902_C02_003EA,S1902_C02_003MA,S1902_C02_004EA,S1902_C02_004MA,S1902_C02_005MA,S1902_C02_005EA,S1902_C02_006MA,S1902_C02_006EA,S1902_C02_007MA,S1902_C02_007EA,S1902_C02_008MA,S1902_C02_008EA,S1902_C02_009EA,S1902_C02_009MA,S1902_C02_010MA,S1902_C02_010EA,S1902_C02_011MA,S1902_C02_011EA,S1902_C02_012EA,S1902_C02_012MA,S1902_C02_013EA,S1902_C02_013MA,S1902_C02_014EA,S1902_C02_014MA,S1902_C02_015EA,S1902_C02_015MA,S1902_C02_016MA,S1902_C02_016EA,S1902_C02_017MA,S1902_C02_017EA,S1902_C02_018MA,S1902_C02_018EA,S1902_C02_019EA,S1902_C02_019MA,S1902_C02_020EA,S1902_C02_020MA,S1902_C02_021MA,S1902_C02_021EA,S1902_C02_022EA,S1902_C02_022MA,S1902_C02_023EA,S1902_C02_023MA,S1902_C02_024EA,S1902_C02_024MA,S1902_C02_025EA,S1902_C02_025MA,S1902_C02_026EA,S1902_C02_026MA,S1902_C02_027EA,S1902_C02_027MA,NAME,S1902_C01_001MA,S1902_C01_001EA,S1902_C01_002EA,S1902_C01_002MA,S1902_C01_003EA,S1902_C01_003MA,S1902_C01_004EA,S1902_C01_004MA,S1902_C01_005EA,S1902_C01_005MA,S1902_C01_006MA,S1902_C01_006EA,S1902_C01_007EA,state
0.4,1232515,11755,19.2,0.4,36.0,0.6,28.5,0.6,9.1,0.5,5.6,0.3,1.7,0.2,4849377,-555555555,68.5,0.1,26.6,0.2,0.5,0.1,1.2,0.1,0.0,0.1,1.4,0.1,1.8,0.1,4.0,0.1,66.1,0.1,34.2,-888888888.0,35.3,-888888888.0,27.2,-888888888.0,59464,699,62257,768,11759,1131,17071,165,8875,217,2234,233,22255,1195,70962,924,39037,2141,57796,1868,100066,2040,65727,2489,118884,4328,92026,7847,23606,256,26960,320,16240,430,23404,4978,25998,3366,36254,26164,10944,1594,13123,1817,15168,1264,27283,319,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,0400000US01,1841217,10615,72.4,0.4,16.1,0.4,34.9,0.4,6.8,0.3,1.7,0.1,20.8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1.0,165015,3765,9.3,1.0,32.4,1.6,38.0,1.7,8.3,0.8,9.3,0.9,2.7,0.7,736732,-555555555,65.6,0.4,3.4,0.3,14.0,0.4,6.0,0.3,1.1,0.2,1.4,0.3,8.5,0.6,6.7,0.1,61.8,0.1,28.9,-888888888.0,29.2,-888888888.0,24.0,-888888888.0,89094,2252,85771,2487,7956,918,16504,485,9289,669,4202,438,26835,1505,98975,2717,48059,4322,69081,2846,122797,5848,94376,5929,154043,8720,124145,15138,33062,758,40040,1102,24448,4652,17771,921,23032,2137,17759,3299,26827,6004,17925,1605,22029,1933,41142,1146,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,0400000US02,249659,2978,86.6,0.8,43.9,1.5,20.0,0.7,4.4,0.5,5.5,0.4,19.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0.3,1579481,13962,19.4,0.5,34.8,0.6,27.4,0.5,9.5,0.4,6.3,0.3,2.6,0.2,6731484,-555555555,78.3,0.4,4.2,0.1,4.4,0.1,3.2,0.1,0.2,0.1,6.4,0.3,3.3,0.2,30.5,-555555555.0,56.1,0.1,32.7,-888888888.0,33.1,-888888888.0,27.0,-888888888.0,68103,648,69113,723,20508,1351,18842,144,9662,231,2659,197,24089,576,78549,963,50044,1844,64524,1507,109254,1811,67853,2161,123509,3774,86220,4424,25715,244,28025,289,19557,842,12495,628,31176,1953,13436,2513,14425,610,13840,1097,14792,324,33099,373,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,0400000US04,2428743,11353,74.3,0.3,19.6,0.3,33.0,0.3,4.3,0.2,2.2,0.1,19.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,(X),(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0.5,752212,9854,18.6,0.6,35.4,0.8,30.7,0.7,8.2,0.5,5.3,0.4,1.8,0.2,2966369,-555555555,78.3,0.2,15.8,0.2,0.6,0.1,1.2,0.1,0.2,0.1,1.7,0.2,2.2,0.2,6.9,0.1,73.4,0.1,29.3,-888888888.0,29.8,-888888888.0,23.3,-888888888.0,57693,1098,59615,1353,15291,2573,17124,200,9034,217,2932,315,18678,621,68411,1546,38685,2177,55560,2437,95751,3260,62529,3460,105861,5855,78172,5398,22883,409,24750,467,15202,584,22221,3942,34785,6545,11345,2806,13742,1983,13272,1782,12530,860,25587,505,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,0400000US05,1131288,8373,73.5,0.6,16.3,0.4,35.4,0.5,6.8,0.3,2.3,0.2,18.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0.1,8762059,27318,12.9,0.2,34.4,0.2,28.2,0.2,11.5,0.1,8.5,0.1,4.5,0.1,38802500,-555555555,61.4,0.1,5.8,0.1,0.7,0.1,13.9,0.1,0.4,0.1,13.2,0.1,4.6,0.1,38.6,-555555555.0,38.3,0.1,32.6,-888888888.0,33.2,-888888888.0,25.3,-888888888.0,88595,345,88997,392,26380,649,17435,86,9628,101,4414,80,29230,354,98670,466,51503,770,79206,846,139708,1090,80998,1187,136600,1648,99286,1341,30441,107,34356,146,23333,418,20091,873,34524,387,23740,2146,15615,208,19537,518,16395,112,44871,213,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,0400000US06,12758648,18835,80.4,0.1,21.3,0.2,26.7,0.1,6.2,0.1,3.8,0.1,15.8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,(X),(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),California,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0.3,1315283,8405,12.2,0.3,31.9,0.6,36.6,0.6,9.2,0.4,7.9,0.3,2.3,0.2,5355866,-555555555,84.4,0.3,4.0,0.1,1.0,0.1,2.9,0.1,0.1,0.1,4.0,0.3,3.4,0.2,21.2,-555555555.0,68.8,0.1,28.3,-888888888.0,28.7,-888888888.0,23.5,-888888888.0,82295,867,81259,846,20851,1230,17586,197,9489,306,3254,290,27762,713,96931,1273,56084,2176,79178,2675,121346,2044,81528,3040,135197,5768,101472,6553,32357,350,34428,407,22141,1997,18579,1602,29612,1962,27334,13455,16823,997,18359,1701,17241,350,38222,471,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,0400000US08,2039592,7530,82.1,0.3,23.7,0.5,24.7,0.3,3.4,0.2,2.3,0.2,16.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,(X),(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0.4,887263,10002,12.2,0.5,31.3,0.8,33.1,0.7,10.1,0.5,10.3,0.5,3.1,0.3,3596677,-555555555,76.8,0.3,10.3,0.2,0.2,0.1,4.2,0.1,0.0,0.1,5.5,0.3,2.9,0.2,15.0,-555555555.0,68.6,0.1,31.9,-888888888.0,32.5,-888888888.0,25.8,-888888888.0,100948,1353,102995,1443,24414,2047,19067,223,9435,307,4477,349,27683,1042,121975,1752,59787,3740,101861,4125,158290,3393,99270,5140,162571,4649,121796,10694,39373,526,43973,656,22865,1052,20556,4643,40362,2066,-999999999,-999999999,16836,1294,18312,1741,19644,882,46575,689,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,0400000US09,1355817,6673,79.0,0.4,27.7,0.5,30.0,0.4,4.4,0.3,3.5,0.3,18.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,(X),(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0.9,233000,4645,16.8,1.0,31.6,1.4,28.5,1.4,11.1,1.1,9.5,0.9,2.6,0.5,935614,-555555555,69.2,0.4,21.7,0.4,0.4,0.1,3.9,0.1,0.0,0.1,2.2,0.4,2.6,0.4,8.9,-555555555.0,63.5,0.1,37.7,-888888888.0,37.4,-888888888.0,29.9,-888888888.0,78773,2040,78794,2325,13565,1615,19500,380,11069,962,2394,439,27120,2051,91131,2862,51861,2720,67754,4047,124548,5105,83274,10024,141391,7122,113063,15744,30488,712,34001,898,22961,1269,27067,7574,32971,2785,-999999999,-999999999,15601,2076,9364,1645,18331,1269,35232,917,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,0400000US10,349743,3705,77.4,0.9,22.3,1.0,33.5,0.8,4.2,0.5,2.5,0.4,23.8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,(X),(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0.8,117864,3359,14.5,1.7,34.1,2.3,33.2,2.0,12.0,1.4,3.0,0.8,3.2,0.7,658893,-555555555,40.2,0.6,48.8,0.4,0.3,0.1,3.8,0.2,0.0,0.1,4.4,0.7,2.5,0.4,10.4,-555555555.0,35.7,0.1,30.5,-888888888.0,34.0,-888888888.0,28.0,-888888888.0,103525,2816,110781,3025,23020,5006,14679,634,8688,622,3258,397,40494,3475,125324,4501,48631,10826,88083,8789,203801,10093,97292,13244,174020,25636,116099,20508,45877,1138,72754,2367,26602,1092,37391,21338,48105,6633,-999999999,-999999999,18308,2745,35323,6217,32817,3428,76392,2443,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,0400000US11,277378,3304,79.6,1.1,23.4,1.2,18.7,0.9,5.8,0.7,3.7,0.6,14.1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,(X),(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0.2,4693411,24879,20.5,0.3,34.5,0.4,27.2,0.3,9.2,0.2,6.0,0.2,2.6,0.1,19893297,-555555555,76.0,0.1,16.2,0.1,0.3,0.1,2.6,0.1,0.1,0.1,2.5,0.1,2.4,0.1,24.1,-555555555.0,55.6,0.1,34.0,-888888888.0,34.2,-888888888.0,27.7,-888888888.0,67510,426,67668,504,25400,740,18420,85,9310,159,2745,132,25361,503,79196,626,54464,1172,66764,1094,106554,1327,69286,1730,120729,2561,92442,4053,26582,166,29433,207,16410,278,20292,2632,27859,1286,22292,7923,16341,661,14847,912,18919,278,33043,261,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,0400000US12,7328046,25793,72.2,0.2,20.5,0.2,36.6,0.2,5.0,0.1,2.2,0.1,19.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,(X),(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,12
