GEO_ID,S1602_C01_001E,S1602_C01_001M,S1602_C01_002E,S1602_C01_002M,S1602_C01_003E,S1602_C01_003M,S1602_C01_004E,S1602_C01_004M,S1602_C01_005E,S1602_C01_005M,S1602_C01_006E,S1602_C01_006M,S1602_C01_007E,S1602_C01_007M,S1602_C01_008E,S1602_C01_008M,NAME,S1602_C01_001EA,S1602_C01_001MA,S1602_C01_002MA,S1602_C01_002EA,S1602_C01_003EA,S1602_C01_003MA,S1602_C01_004EA,S1602_C01_004MA,S1602_C01_005MA,S1602_C01_005EA,S1602_C01_006MA,S1602_C01_006EA,S1602_C01_007EA,S1602_C01_007MA,S1602_C01_008EA,S1602_C01_008MA,state
0400000US01,1.1,0.1,24.0,3.0,7.0,3.4,29.1,5.7,14.5,8.6,6.5,-888888888.0,5.7,-888888888.0,6.4,-888888888.0,Alabama,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),01
0400000US02,2.1,0.4,9.0,3.9,9.2,5.0,19.8,5.7,3.8,0.9,5.0,-888888888.0,4.0,-888888888.0,4.7,-888888888.0,Alaska,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),02
0400000US04,4.8,0.2,18.1,0.9,10.6,1.8,22.7,3.1,16.9,2.2,8.9,-888888888.0,8.2,-888888888.0,8.4,-888888888.0,Arizona,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),04
0400000US05,1.8,0.2,31.1,3.9,5.5,3.2,27.3,7.1,13.2,9.4,5.1,-888888888.0,3.5,-888888888.0,3.9,-888888888.0,Arkansas,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),05
0400000US06,9.3,0.1,20.4,0.4,16.5,0.7,27.7,0.7,17.9,1.8,6.6,-888888888.0,6.1,-888888888.0,6.4,-888888888.0,California,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),06
0400000US08,3.0,0.2,17.4,1.4,10.5,1.8,22.2,3.4,15.3,3.9,7.9,-888888888.0,7.4,-888888888.0,7.8,-888888888.0,Colorado,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),08
0400000US09,5.2,0.2,22.6,1.4,19.4,1.7,27.6,3.7,13.2,5.4,5.8,-888888888.0,5.0,-888888888.0,5.4,-888888888.0,Connecticut,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),09
0400000US10,2.2,0.4,18.2,4.1,10.3,4.2,22.5,7.1,3.4,3.1,6.7,-888888888.0,5.7,-888888888.0,6.1,-888888888.0,Delaware,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),10
0400000US11,3.9,0.7,25.1,4.9,7.9,3.9,23.3,8.6,25.5,9.3,7.5,-888888888.0,6.8,-888888888.0,7.4,-888888888.0,District of Columbia,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),11
0400000US12,6.8,0.2,27.5,0.6,17.6,1.0,21.0,1.9,12.7,2.5,6.8,-888888888.0,5.7,-888888888.0,6.0,-888888888.0,Florida,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),12
0400000US13,3.0,0.2,26.3,1.4,10.7,1.7,26.8,2.6,16.9,4.1,6.1,-888888888.0,5.1,-888888888.0,5.5,-888888888.0,Georgia,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),13
0400000US15,6.1,0.5,5.2,2.5,9.2,4.5,21.7,1.9,38.4,15.5,6.4,-888888888.0,6.2,-888888888.0,6.9,-888888888.0,Hawaii,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),15
0400000US16,2.1,0.4,21.8,4.4,4.1,2.8,24.2,8.8,27.1,10.8,6.9,-888888888.0,5.0,-888888888.0,5.6,-888888888.0,Idaho,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),16
0400000US17,4.6,0.1,21.0,0.9,21.1,1.2,23.8,1.7,17.6,3.6,5.6,-888888888.0,5.2,-888888888.0,5.5,-888888888.0,Illinois,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),17
0400000US18,1.7,0.1,22.1,2.4,10.8,2.0,29.6,3.6,20.1,5.8,5.7,-888888888.0,6.1,-888888888.0,6.9,-888888888.0,Indiana,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),18
0400000US19,1.6,0.2,21.1,3.4,9.1,2.8,30.8,6.3,37.5,11.1,6.4,-888888888.0,7.9,-888888888.0,8.8,-888888888.0,Iowa,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),19
0400000US20,2.2,0.2,20.6,2.5,10.6,3.3,24.0,4.2,18.2,7.3,5.9,-888888888.0,6.2,-888888888.0,7.2,-888888888.0,Kansas,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),20
0400000US21,1.4,0.1,27.9,3.5,11.0,2.8,30.4,5.3,30.8,8.5,6.9,-888888888.0,8.4,-888888888.0,9.3,-888888888.0,Kentucky,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),21
0400000US22,1.8,0.2,24.6,3.5,7.5,1.2,30.4,5.1,19.8,8.4,5.6,-888888888.0,6.0,-888888888.0,6.3,-888888888.0,Louisiana,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),22
0400000US23,1.2,0.2,8.5,4.6,9.7,2.2,20.1,10.3,29.2,10.9,4.4,-888888888.0,2.5,-888888888.0,3.1,-888888888.0,Maine,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),23
0400000US24,3.1,0.2,19.2,1.7,13.1,1.7,23.7,2.1,11.1,2.8,7.8,-888888888.0,7.0,-888888888.0,7.4,-888888888.0,Maryland,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),24
