GEO_ID,B17004_001E,B17004_001M,B17004_002E,B17004_002M,B17004_003E,B17004_003M,B17004_004E,B17004_004M,B17004_005E,B17004_005M,B17004_006E,B17004_006M,B17004_007E,B17004_007M,B17004_008E,B17004_008M,B17004_009E,B17004_009M,B17004_010E,B17004_010M,B17004_011E,B17004_011M,B17004_012E,B17004_012M,B17004_013E,B17004_013M,B17004_014E,B17004_014M,B17004_015E,B17004_015M,B17004_016E,B17004_016M,B17004_017E,B17004_017M,B17004_018E,B17004_018M,B17004_019E,B17004_019M,NAME,B17004_001EA,B17004_001MA,B17004_002EA,B17004_002MA,B17004_003MA,B17004_003EA,B17004_004EA,B17004_004MA,B17004_005EA,B17004_005MA,B17004_006EA,B17004_006MA,B17004_007EA,B17004_007MA,B17004_008MA,B17004_008EA,B17004_009MA,B17004_009EA,B17004_010EA,B17004_010MA,B17004_011EA,B17004_011MA,B17004_012EA,B17004_012MA,B17004_013MA,B17004_013EA,B17004_014MA,B17004_014EA,B17004_015EA,B17004_015MA,B17004_016EA,B17004_016MA,B17004_017EA,B17004_017MA,B17004_018MA,B17004_018EA,B17004_019MA,B17004_019EA,state
0400000US01,3761007,3724,634334,17440,256904,9456,28865,3186,71224,4653,156815,7272,377430,10608,30122,2824,107046,5077,240262,8679,3126673,17394,1528399,9633,811106,11054,264276,7446,453017,8223,1598274,10878,604560,9935,333692,8274,660022,10044,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,554734,1640,53981,3998,24719,2419,2261,949,10809,1334,11649,1648,29262,2559,1743,656,11659,1703,15860,2037,500753,4416,263600,2959,145097,4108,73108,3532,45395,2388,237153,2617,98770,3819,71970,3151,66413,3448,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5161345,4066,830523,18375,369048,11119,51500,3715,120939,7277,196609,7584,461475,10685,35010,2913,139758,7335,286707,8710,4330822,19462,2143851,11866,1105499,12668,417019,9915,621333,7928,2186971,12158,806457,12833,503036,10444,877478,10875,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2269261,3827,377928,10860,155257,6620,19313,2939,49275,3976,86669,5013,222671,6980,18744,2318,62910,3940,141017,5991,1891333,12129,938142,7620,506198,7834,158109,6101,273835,6582,953191,7526,369524,8389,206357,6799,377310,7583,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30084051,9551,4430025,43687,1945147,24288,265403,8726,628949,14415,1050795,19441,2484878,28264,162849,7181,729697,17419,1592332,20200,25654026,44455,12770341,24123,6764755,26940,2779695,26095,3225891,23864,12883685,30033,4680979,29160,3345661,28124,4857045,28247,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4135082,3526,456743,14293,205770,9549,26921,3081,90804,6012,88045,5494,250973,8478,20000,2316,99388,6089,131585,5397,3678339,14132,1844088,9401,1083130,10182,396665,8240,364293,7452,1834251,8846,759463,11009,504546,10853,570242,8473,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2817703,2837,273543,11057,110146,5715,8224,1623,38180,3178,63742,4167,163397,7187,7287,1492,51451,3855,104659,5815,2544160,11502,1245413,6016,684901,9292,273789,7199,286723,6623,1298747,7736,509110,7608,375534,8067,414103,7032,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,731171,1475,80721,5286,31922,2834,3591,797,9728,1544,18603,2150,48799,3439,3559,1171,15882,1945,29358,2690,650450,5340,315988,3367,165156,4054,64906,3540,85926,3390,334462,3520,142231,4828,77929,3929,114302,3608,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,522048,829,84105,5510,34290,3792,2541,988,9793,1708,21956,3040,49815,3975,2815,881,14511,2332,32489,3161,437943,5435,209726,3739,129163,4119,38933,2775,41630,3153,228217,4195,126934,3961,46759,2807,54524,3138,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15948216,7385,2356293,41553,1014176,24242,123354,8692,288502,10511,602320,17358,1342117,24053,107208,6019,369811,13686,865098,18078,13591923,42439,6636233,24363,3307811,22648,1254661,20741,2073761,21662,6955690,23914,2615875,19684,1498039,20655,2841776,21778,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7640989,6116,1207588,24612,491973,12763,69982,4819,156049,7729,265942,9179,715615,15634,64277,4756,210228,7952,441110,12203,6433401,24862,3132779,13047,1735215,17612,578440,13743,819124,11415,3300622,16965,1358180,15095,731629,12585,1210813,14088,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1111259,1588,117221,7303,51251,4314,5169,1158,14820,2111,31262,3470,65970,4086,3944,1166,21275,2599,40751,3242,994038,7348,502158,4331,279336,4768,96732,4421,126090,4038,491880,4274,207895,5248,111614,4302,172371,4589,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1224899,3032,166224,8048,72111,4818,10521,1634,29841,3086,31749,3061,94113,5210,8995,1353,35483,3559,49635,3769,1058675,8498,530817,4938,281113,5983,117926,5588,131778,4766,527858,5798,181895,6647,153300,5698,192663,5975,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
