GEO_ID,C08113_001E,C08113_001M,C08113_002E,C08113_002M,C08113_003E,C08113_003M,C08113_004E,C08113_004M,C08113_005E,C08113_005M,C08113_006E,C08113_006M,C08113_007E,C08113_007M,C08113_008E,C08113_008M,C08113_009E,C08113_009M,C08113_010E,C08113_010M,C08113_011E,C08113_011M,C08113_012E,C08113_012M,C08113_013E,C08113_013M,C08113_014E,C08113_014M,C08113_015E,C08113_015M,C08113_016E,C08113_016M,C08113_017E,C08113_017M,C08113_018E,C08113_018M,C08113_019E,C08113_019M,C08113_020E,C08113_020M,C08113_021E,C08113_021M,C08113_022E,C08113_022M,C08113_023E,C08113_023M,C08113_024E,C08113_024M,C08113_025E,C08113_025M,C08113_026E,C08113_026M,C08113_027E,C08113_027M,C08113_028E,C08113_028M,C08113_029E,C08113_029M,C08113_030E,C08113_030M,NAME,C08113_001MA,C08113_001EA,C08113_002EA,C08113_002MA,C08113_003EA,C08113_003MA,C08113_004MA,C08113_004EA,C08113_005MA,C08113_005EA,C08113_006MA,C08113_006EA,C08113_007EA,C08113_007MA,C08113_008EA,C08113_008MA,C08113_009EA,C08113_009MA,C08113_010MA,C08113_010EA,C08113_011MA,C08113_011EA,C08113_012EA,C08113_012MA,C08113_013EA,C08113_013MA,C08113_014EA,C08113_014MA,C08113_015MA,C08113_015EA,C08113_016MA,C08113_016EA,C08113_017EA,C08113_017MA,C08113_018EA,C08113_018MA,C08113_019EA,C08113_019MA,C08113_020EA,C08113_020MA,C08113_021MA,C08113_021EA,C08113_022MA,C08113_022EA,C08113_023EA,C08113_023MA,C08113_024EA,C08113_024MA,C08113_025EA,C08113_025MA,C08113_026MA,C08113_026EA,C08113_027MA,C08113_027EA,C08113_028EA,C08113_028MA,C08113_029EA,C08113_029MA,C08113_030EA,C08113_030MA,state
0400000US01,2007426,13350,1900067,13178,107359,4948,60038,4125,47321,3374,1724178,15545,1639423,15387,84755,4610,50420,3976,34335,2803,171927,8594,156061,7815,15866,2529,5959,1323,9907,2118,8276,1749,7259,1659,1017,480,478,321,539,378,45812,4180,42221,3838,3591,1313,1415,747,2176,1027,57233,3661,55103,3559,2130,877,1766,787,364,392,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,359211,5456,303790,5520,55421,2939,37992,2787,17429,1861,249481,6163,218662,5707,30819,2631,21171,2378,9648,1246,43221,3223,33513,2489,9708,1760,6894,1401,2814,919,4703,1196,4386,1127,317,323,43,48,274,311,47891,2941,35457,3014,12434,1358,8157,1010,4277,901,13915,1891,11772,1691,2143,768,1727,721,416,251,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2831592,19395,2062664,20320,768928,13869,493080,14396,275848,10403,2178267,17614,1606650,16389,571617,12646,381107,12478,190510,8107,295724,9385,185516,6966,110208,7074,61545,5069,48663,4085,57615,5086,38365,3796,19250,2946,10127,1818,9123,2201,138333,7363,98174,5869,40159,4681,23247,2808,16912,3490,161653,6371,133959,6180,27694,3536,17054,2417,10640,2403,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1249674,12677,1159350,13136,90324,4281,40755,3464,49569,4252,1031366,13889,967123,13661,64243,4291,31353,3312,32890,3193,136027,7210,115547,6042,20480,2636,6965,1745,13515,2274,4072,1177,3820,1174,252,213,163,198,89,107,36834,2749,33521,2667,3313,1122,1438,551,1875,1008,41375,3177,39339,3068,2036,829,836,440,1200,696,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17254926,40650,9545299,39359,7709627,36343,4390403,35783,3319224,28836,12679198,45211,7206718,37832,5472480,34949,3280612,31872,2191868,22946,1813154,27870,761568,17945,1051586,20800,496667,14398,554919,12715,914442,15685,426038,11343,488404,12320,237538,8743,250866,10136,917157,14761,514152,10823,403005,11222,199517,7612,203488,7976,930975,16361,636823,14098,294152,8575,176069,7316,118083,4565,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2681200,13178,2245818,14528,435382,10324,267392,8346,167990,8312,2027739,15432,1722407,15745,305332,9689,198327,8081,107005,6537,258146,10065,184442,8118,73704,5628,34342,3463,39362,4488,88355,4521,67241,3869,21114,2416,10203,1874,10911,1774,132607,6586,114074,5961,18533,2487,12178,1859,6355,1630,174353,6876,157654,6152,16699,2225,12342,1761,4357,1539,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1765420,11499,1382972,12558,382448,9997,238938,8953,143510,5857,1379348,12794,1112637,11767,266711,10327,176978,8598,89733,5214,142584,7540,90503,5615,52081,4484,25675,2641,26406,3624,84731,4188,57853,3251,26878,3269,14553,2183,12325,2149,77163,4758,52646,4375,24517,3243,12977,1826,11540,2190,81594,4474,69333,4362,12261,1897,8755,1466,3506,1124,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,434766,5852,375242,5878,59524,3435,38033,3146,21491,2632,354350,7480,309152,6913,45198,3121,29376,2859,15822,2120,33132,3564,25933,2957,7199,1543,4013,1010,3186,1021,12635,2056,10672,1853,1963,596,1316,499,647,340,15362,2386,11901,1981,3461,1175,2163,985,1298,605,19287,2306,17584,2250,1703,769,1165,511,538,562,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,343062,5802,277002,6421,66060,4051,43793,3986,22267,2763,120528,5465,100112,4890,20416,2713,14385,2467,6031,1500,19166,2155,14380,1845,4786,1161,3145,928,1641,618,123707,5492,98374,4745,25333,2493,14611,1932,10722,2133,62649,3498,49935,3466,12714,2201,9534,1804,3180,1100,17012,2053,14201,1843,2811,877,2118,728,693,491,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8636223,32707,5952032,29855,2684191,25652,1586503,21319,1097688,22536,6886539,35014,4835861,28558,2050678,24069,1269615,18868,781063,18979,783105,17887,456271,12497,326834,12183,160656,9057,166178,8015,179401,7747,91754,4937,87647,6602,35352,4074,52295,5675,321317,11257,213992,9505,107325,6964,50712,4735,56613,5154,465861,12632,354154,10117,111707,6761,70168,5034,41539,4309,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
